Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2018-08-01
Time (HH:MM:SS):	17:22:36
Device Name:	SPCM50A
Serial Number:	M00451789
GUI Revision:	1.0 Build 2
Driver Revision:	1.0.1
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	100
Time between Bins [ms]:	10
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	No
Array Measurement Continuously:	non-applicable
Bins per Array:	non-applicable
Active APD Gating:	No
Fan Off:	Yes

Bin Number 	Counts per Bin 	Remarks
        1	           44 	
        2	           32 	
        3	           43 	
        4	           45 	
        5	           39 	
        6	           44 	
        7	           58 	
        8	           42 	
        9	           48 	
       10	           47 	
       11	           49 	
       12	           59 	
       13	           51 	
       14	           39 	
       15	           50 	
       16	           54 	
       17	           48 	
       18	           42 	
       19	           58 	
       20	           51 	
       21	           51 	
       22	           37 	
       23	           42 	
       24	           36 	
       25	           43 	
       26	           51 	
       27	           42 	
       28	           30 	
       29	           46 	
       30	           50 	
       31	           54 	
       32	           53 	
       33	           47 	
       34	           45 	
       35	           33 	
       36	           52 	
       37	           44 	
       38	           51 	
       39	           49 	
       40	           50 	
       41	           58 	
       42	           29 	
       43	           42 	
       44	           36 	
       45	           36 	
       46	           45 	
       47	           41 	
       48	           45 	
       49	           38 	
       50	           45 	
       51	           39 	
       52	           34 	
       53	           51 	
       54	           45 	
       55	           56 	
       56	           46 	
       57	           35 	
       58	           38 	
       59	           50 	
       60	           42 	
       61	           46 	
       62	           41 	
       63	           41 	
       64	           50 	
       65	           50 	
       66	           42 	
       67	           34 	
       68	           44 	
       69	           43 	
       70	           42 	
       71	           50 	
       72	           41 	
       73	           45 	
       74	           47 	
       75	           46 	
       76	           46 	
       77	           27 	
       78	           40 	
       79	           52 	
       80	           50 	
       81	           40 	
       82	           46 	
       83	           42 	
       84	           52 	
       85	           41 	
       86	           43 	
       87	           42 	
       88	           36 	
       89	           38 	
       90	           38 	
