Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2018-08-10
Time (HH:MM:SS):	10:54:50
Device Name:	SPCM50A
Serial Number:	M00451789
GUI Revision:	1.0 Build 2
Driver Revision:	1.0.1
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	100
Time between Bins [ms]:	10
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	No
Array Measurement Continuously:	non-applicable
Bins per Array:	non-applicable
Active APD Gating:	No
Fan Off:	No

Bin Number 	Counts per Bin 	Remarks
        1	         1099 	
        2	         1057 	
        3	         1053 	
        4	         1123 	
        5	         1080 	
        6	         1100 	
        7	         1070 	
        8	         1064 	
        9	         1093 	
       10	         1120 	
       11	         1058 	
       12	         1052 	
       13	         1015 	
       14	         1087 	
       15	         1066 	
       16	         1067 	
       17	         1096 	
       18	         1040 	
       19	         1108 	
       20	         1074 	
       21	         1100 	
       22	         1067 	
       23	         1025 	
       24	         1112 	
       25	         1071 	
       26	         1105 	
       27	         1017 	
       28	          969 	
       29	         1042 	
       30	         1119 	
       31	         1126 	
       32	         1100 	
       33	         1041 	
       34	         1093 	
       35	         1110 	
       36	         1174 	
       37	         1143 	
       38	         1068 	
       39	         1235 	
       40	         1149 	
       41	         1097 	
       42	         1105 	
       43	         1111 	
       44	         1089 	
       45	         1089 	
       46	         1086 	
       47	         1066 	
       48	         1109 	
       49	         1128 	
       50	         1127 	
       51	         1103 	
       52	         1197 	
       53	         1159 	
       54	         1136 	
       55	         1119 	
       56	         1059 	
       57	         1060 	
       58	         1087 	
       59	         1116 	
       60	         1072 	
       61	         1037 	
       62	         1150 	
       63	         1079 	
       64	         1144 	
       65	         1186 	
       66	         1146 	
       67	         1163 	
       68	         1170 	
       69	         1146 	
       70	         1149 	
       71	         1110 	
       72	         1100 	
       73	         1023 	
       74	         1031 	
       75	         1046 	
       76	         1041 	
       77	         1140 	
       78	         1088 	
       79	         1052 	
       80	         1083 	
       81	         1093 	
       82	         1066 	
       83	         1049 	
       84	         1043 	
       85	         1019 	
       86	         1042 	
       87	         1006 	
       88	         1055 	
       89	         1037 	
       90	         1048 	
       91	         1062 	
       92	         1039 	
       93	         1048 	
       94	         1037 	
       95	         1116 	
       96	         1061 	
       97	         1129 	
       98	         1134 	
       99	         1177 	
      100	         1137 	
      101	         1117 	
      102	         1123 	
      103	         1086 	
      104	         1097 	
      105	         1023 	
      106	         1150 	
      107	         1177 	
      108	         1128 	
      109	         1114 	
      110	         1158 	
      111	         1140 	
      112	         1119 	
      113	         1129 	
      114	         1171 	
      115	         1087 	
      116	         1093 	
      117	         1166 	
      118	         1145 	
      119	         1056 	
      120	         1071 	
      121	         1085 	
      122	         1114 	
      123	         1040 	
      124	         1042 	
      125	         1074 	
      126	         1014 	
      127	         1096 	
      128	         1183 	
      129	         1155 	
      130	         1142 	
      131	         1159 	
      132	         1124 	
      133	         1106 	
      134	         1126 	
      135	         1088 	
      136	         1021 	
      137	         1099 	
      138	         1128 	
      139	         1090 	
      140	         1104 	
      141	         1104 	
      142	         1170 	
      143	         1169 	
      144	         1151 	
      145	         1129 	
