Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2018-08-14
Time (HH:MM:SS):	15:05:19
Device Name:	SPCM50A
Serial Number:	M00451789
GUI Revision:	1.0 Build 2
Driver Revision:	1.0.1
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	100
Time between Bins [ms]:	10
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	No
Array Measurement Continuously:	non-applicable
Bins per Array:	non-applicable
Active APD Gating:	No
Fan Off:	No

Bin Number 	Counts per Bin 	Remarks
        1	         2949 	
        2	         3026 	
        3	         2845 	
        4	         2991 	
        5	         2961 	
        6	         2936 	
        7	         2968 	
        8	         3025 	
        9	         2988 	
       10	         3087 	
       11	         2984 	
       12	         3003 	
       13	         2953 	
       14	         2984 	
       15	         2918 	
       16	         3049 	
       17	         3019 	
       18	         3082 	
       19	         3027 	
       20	         2971 	
       21	         3044 	
       22	         3025 	
       23	         3071 	
       24	         2896 	
       25	         3016 	
       26	         2984 	
       27	         2963 	
       28	         3028 	
       29	         2946 	
       30	         2923 	
       31	         3075 	
       32	         2982 	
       33	         3020 	
       34	         3025 	
       35	         2959 	
       36	         2980 	
       37	         2911 	
       38	         2961 	
       39	         2998 	
       40	         3040 	
       41	         3028 	
       42	         3012 	
       43	         3111 	
       44	         3076 	
       45	         2877 	
       46	         2969 	
       47	         2943 	
       48	         3046 	
       49	         3027 	
       50	         2967 	
       51	         3016 	
       52	         2984 	
       53	         2984 	
       54	         3046 	
       55	         2987 	
       56	         3059 	
       57	         3061 	
       58	         3031 	
       59	         2983 	
       60	         2956 	
       61	         3064 	
       62	         3080 	
       63	         2986 	
       64	         3052 	
       65	         3089 	
       66	         2985 	
       67	         3063 	
       68	         3004 	
       69	         3024 	
       70	         2997 	
       71	         3015 	
       72	         2988 	
       73	         3031 	
       74	         3056 	
       75	         3019 	
       76	         3018 	
       77	         3099 	
       78	         2977 	
       79	         3043 	
       80	         3167 	
       81	         3120 	
       82	         3025 	
       83	         2990 	
       84	         3034 	
       85	         3086 	
       86	         3113 	
       87	         3055 	
       88	         3017 	
       89	         3069 	
       90	         3073 	
       91	         3098 	
       92	         3071 	
       93	         3003 	
       94	         3105 	
       95	         3098 	
       96	         3106 	
       97	         3039 	
       98	         2987 	
       99	         3057 	
      100	         3110 	
      101	         3052 	
      102	         2993 	
      103	         3032 	
      104	         3079 	
      105	         3053 	
      106	         3132 	
      107	         2942 	
      108	         3132 	
      109	         2988 	
      110	         3049 	
      111	         3018 	
      112	         3124 	
      113	         3120 	
      114	         3021 	
      115	         3103 	
      116	         3122 	
      117	         3066 	
      118	         3123 	
      119	         3030 	
      120	         3103 	
      121	         3173 	
      122	         3083 	
      123	         3076 	
      124	         3108 	
      125	         3044 	
      126	         3003 	
      127	         3172 	
      128	         3054 	
      129	         3099 	
      130	         3049 	
      131	         2984 	
      132	         3060 	
      133	         3033 	
      134	         3016 	
      135	         2993 	
      136	         2955 	
      137	         3079 	
      138	         3105 	
      139	         3089 	
      140	         3081 	
      141	         3041 	
      142	         3041 	
      143	         3049 	
      144	         3128 	
      145	         3045 	
