Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2018-08-14
Time (HH:MM:SS):	16:11:16
Device Name:	SPCM50A
Serial Number:	M00451789
GUI Revision:	1.0 Build 2
Driver Revision:	1.0.1
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	100
Time between Bins [ms]:	10
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	No
Array Measurement Continuously:	non-applicable
Bins per Array:	non-applicable
Active APD Gating:	No
Fan Off:	No

Bin Number 	Counts per Bin 	Remarks
        1	          888 	
        2	          886 	
        3	          966 	
        4	          894 	
        5	          862 	
        6	          876 	
        7	          882 	
        8	          947 	
        9	          923 	
       10	          924 	
       11	          891 	
       12	          905 	
       13	          925 	
       14	          960 	
       15	          939 	
       16	          970 	
       17	          933 	
       18	          880 	
       19	          941 	
       20	          934 	
       21	          920 	
       22	          954 	
       23	          871 	
       24	          921 	
       25	          920 	
       26	          879 	
       27	          856 	
       28	          945 	
       29	          895 	
       30	          991 	
       31	          905 	
       32	          903 	
       33	          956 	
       34	          945 	
       35	          898 	
       36	          953 	
       37	          905 	
       38	          910 	
       39	          864 	
       40	          878 	
       41	          873 	
       42	          899 	
       43	          863 	
       44	          930 	
       45	          925 	
       46	          914 	
       47	          860 	
       48	          923 	
       49	          938 	
       50	          869 	
       51	          967 	
       52	          939 	
       53	          942 	
       54	          929 	
       55	          957 	
       56	          857 	
       57	          903 	
       58	          953 	
       59	          934 	
       60	          924 	
       61	          914 	
       62	          884 	
       63	          848 	
       64	          887 	
       65	          910 	
       66	          918 	
       67	          893 	
       68	          934 	
       69	          870 	
       70	          953 	
       71	          906 	
       72	          911 	
       73	          909 	
       74	          934 	
       75	          898 	
       76	          884 	
       77	          902 	
       78	          887 	
       79	          866 	
       80	          890 	
       81	          875 	
       82	          873 	
       83	          923 	
       84	          850 	
       85	          860 	
       86	          873 	
       87	          910 	
       88	          868 	
       89	          894 	
       90	          890 	
       91	          888 	
       92	          911 	
       93	          889 	
       94	          957 	
       95	          886 	
       96	          887 	
       97	          905 	
       98	          875 	
       99	          834 	
      100	          908 	
      101	          920 	
      102	          898 	
      103	          907 	
      104	          906 	
      105	          917 	
      106	          926 	
      107	          932 	
      108	          920 	
      109	          882 	
      110	          870 	
      111	          918 	
      112	          884 	
      113	          871 	
      114	          876 	
      115	          892 	
      116	          836 	
      117	          877 	
      118	          905 	
      119	          919 	
      120	          860 	
      121	          890 	
      122	          952 	
      123	          916 	
      124	          992 	
      125	          900 	
      126	          873 	
      127	          843 	
      128	          891 	
      129	          880 	
      130	          910 	
      131	          865 	
      132	          958 	
      133	          948 	
      134	          909 	
      135	          928 	
      136	          900 	
      137	          933 	
      138	          917 	
      139	          892 	
      140	          923 	
      141	          940 	
      142	          929 	
      143	          939 	
      144	          920 	
      145	          893 	
