Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2018-08-15
Time (HH:MM:SS):	14:50:46
Device Name:	SPCM50A
Serial Number:	M00451789
GUI Revision:	1.0 Build 2
Driver Revision:	1.0.1
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	100
Time between Bins [ms]:	10
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	No
Array Measurement Continuously:	non-applicable
Bins per Array:	non-applicable
Active APD Gating:	No
Fan Off:	No

Bin Number 	Counts per Bin 	Remarks
        1	         5193 	
        2	         5162 	
        3	         5002 	
        4	         5038 	
        5	         5025 	
        6	         4973 	
        7	         5102 	
        8	         5111 	
        9	         5029 	
       10	         5059 	
       11	         5133 	
       12	         5063 	
       13	         4969 	
       14	         5117 	
       15	         4938 	
       16	         5096 	
       17	         5106 	
       18	         5096 	
       19	         5175 	
       20	         5081 	
       21	         5061 	
       22	         5210 	
       23	         5162 	
       24	         5287 	
       25	         5198 	
       26	         5061 	
       27	         5045 	
       28	         5053 	
       29	         5160 	
       30	         5184 	
       31	         5121 	
       32	         5184 	
       33	         5179 	
       34	         5227 	
       35	         5129 	
       36	         5245 	
       37	         5239 	
       38	         5403 	
       39	         5249 	
       40	         5286 	
       41	         5145 	
       42	         5244 	
       43	         5233 	
       44	         5250 	
       45	         5360 	
       46	         5357 	
       47	         5279 	
       48	         5356 	
       49	         5177 	
       50	         5178 	
       51	         5249 	
       52	         5130 	
       53	         5187 	
       54	         5256 	
       55	         5291 	
       56	         5238 	
       57	         5265 	
       58	         5198 	
       59	         5317 	
       60	         5128 	
       61	         5153 	
       62	         5212 	
       63	         5139 	
       64	         4987 	
       65	         5041 	
       66	         5257 	
       67	         5263 	
       68	         5163 	
       69	         5269 	
       70	         5239 	
       71	         5157 	
       72	         5031 	
       73	         5123 	
       74	         5175 	
       75	         5196 	
       76	         5241 	
       77	         5238 	
       78	         5175 	
       79	         5032 	
       80	         5091 	
       81	         5208 	
       82	         5285 	
       83	         5195 	
       84	         5335 	
       85	         5242 	
       86	         5184 	
       87	         5190 	
       88	         5190 	
       89	         5163 	
       90	         5168 	
       91	         5201 	
       92	         5335 	
       93	         5234 	
       94	         5191 	
       95	         5088 	
       96	         5201 	
       97	         5362 	
       98	         5183 	
       99	         5281 	
      100	         5017 	
      101	         5086 	
      102	         5102 	
      103	         5161 	
      104	         5088 	
      105	         5143 	
      106	         5042 	
      107	         5114 	
      108	         5172 	
      109	         5238 	
      110	         5245 	
      111	         5221 	
      112	         5093 	
      113	         5193 	
      114	         5039 	
      115	         5305 	
      116	         5224 	
      117	         5294 	
      118	         5104 	
      119	         5220 	
      120	         5245 	
      121	         5271 	
      122	         5150 	
      123	         5101 	
      124	         5141 	
      125	         5113 	
      126	         5183 	
      127	         5092 	
      128	         4974 	
      129	         5120 	
      130	         5123 	
      131	         5204 	
      132	         5113 	
      133	         5323 	
      134	         5114 	
      135	         5264 	
      136	         5331 	
      137	         5295 	
      138	         5145 	
      139	         5324 	
      140	         5198 	
      141	         5121 	
      142	         5192 	
      143	         5118 	
      144	         5287 	
      145	         5126 	
