Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2018-08-15
Time (HH:MM:SS):	13:09:43
Device Name:	SPCM50A
Serial Number:	M00451789
GUI Revision:	1.0 Build 2
Driver Revision:	1.0.1
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	100
Time between Bins [ms]:	10
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	No
Array Measurement Continuously:	non-applicable
Bins per Array:	non-applicable
Active APD Gating:	No
Fan Off:	No

Bin Number 	Counts per Bin 	Remarks
        1	         2093 	
        2	         2038 	
        3	         2044 	
        4	         1972 	
        5	         2036 	
        6	         2190 	
        7	         2159 	
        8	         2159 	
        9	         2178 	
       10	         2111 	
       11	         2101 	
       12	         2164 	
       13	         2168 	
       14	         2203 	
       15	         2089 	
       16	         2071 	
       17	         2144 	
       18	         2209 	
       19	         2175 	
       20	         2154 	
       21	         2044 	
       22	         2146 	
       23	         2178 	
       24	         2124 	
       25	         2144 	
       26	         2189 	
       27	         2200 	
       28	         2254 	
       29	         2176 	
       30	         2155 	
       31	         2161 	
       32	         2091 	
       33	         2130 	
       34	         2215 	
       35	         2268 	
       36	         2213 	
       37	         2222 	
       38	         2177 	
       39	         2128 	
       40	         2156 	
       41	         2255 	
       42	         2209 	
       43	         2286 	
       44	         2190 	
       45	         2258 	
       46	         2216 	
       47	         2239 	
       48	         2118 	
       49	         2043 	
       50	         2172 	
       51	         2136 	
       52	         2220 	
       53	         2188 	
       54	         2133 	
       55	         2140 	
       56	         2094 	
       57	         2189 	
       58	         2238 	
       59	         2158 	
       60	         2156 	
       61	         2100 	
       62	         2154 	
       63	         2204 	
       64	         2156 	
       65	         2127 	
       66	         2161 	
       67	         2267 	
       68	         2151 	
       69	         2161 	
       70	         2181 	
       71	         2125 	
       72	         2083 	
       73	         2149 	
       74	         2112 	
       75	         2094 	
       76	         2200 	
       77	         2223 	
       78	         2121 	
       79	         2144 	
       80	         2089 	
       81	         2100 	
       82	         2147 	
       83	         2130 	
       84	         2079 	
       85	         2046 	
       86	         2223 	
       87	         2109 	
       88	         2174 	
       89	         2146 	
       90	         2199 	
       91	         2091 	
       92	         2115 	
       93	         2110 	
       94	         2123 	
       95	         2064 	
       96	         2152 	
       97	         2118 	
       98	         2106 	
       99	         2097 	
      100	         2053 	
      101	         2179 	
      102	         2111 	
      103	         2098 	
      104	         2182 	
      105	         2119 	
      106	         2142 	
      107	         2147 	
      108	         2134 	
      109	         2161 	
      110	         2198 	
      111	         2232 	
      112	         2091 	
      113	         2286 	
      114	         2265 	
      115	         2241 	
      116	         2165 	
      117	         2153 	
      118	         2228 	
      119	         2136 	
      120	         2215 	
      121	         2202 	
      122	         2137 	
      123	         2107 	
      124	         2203 	
      125	         2207 	
      126	         2155 	
      127	         2044 	
      128	         2115 	
      129	         2115 	
      130	         2085 	
      131	         2125 	
      132	         2118 	
      133	         2070 	
      134	         2090 	
      135	         2149 	
      136	         2100 	
      137	         2063 	
      138	         2093 	
      139	         2125 	
      140	         2109 	
      141	         2103 	
      142	         2153 	
      143	         2170 	
      144	         2131 	
      145	         2174 	
