Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2018-08-03
Time (HH:MM:SS):	10:10:19
Device Name:	SPCM50A
Serial Number:	M00451789
GUI Revision:	1.0 Build 2
Driver Revision:	1.0.1
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	100
Time between Bins [ms]:	10
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	No
Array Measurement Continuously:	non-applicable
Bins per Array:	non-applicable
Active APD Gating:	No
Fan Off:	Yes

Bin Number 	Counts per Bin 	Remarks
        1	           45 	
        2	           55 	
        3	           66 	
        4	           56 	
        5	           55 	
        6	           62 	
        7	           63 	
        8	           67 	
        9	           32 	
       10	           53 	
       11	           64 	
       12	           82 	
       13	           62 	
       14	           53 	
       15	           68 	
       16	           65 	
       17	           69 	
       18	           56 	
       19	           52 	
       20	           52 	
       21	           65 	
       22	           57 	
       23	           70 	
       24	           50 	
       25	           81 	
       26	           53 	
       27	           57 	
       28	           66 	
       29	           59 	
       30	           85 	
       31	           70 	
       32	           60 	
       33	           62 	
       34	           50 	
       35	           68 	
       36	           57 	
       37	           50 	
       38	           53 	
       39	           63 	
       40	           57 	
       41	           54 	
       42	           59 	
       43	           50 	
       44	           51 	
       45	           57 	
       46	           65 	
       47	           58 	
       48	           73 	
       49	           56 	
       50	           61 	
       51	           51 	
       52	           46 	
       53	           54 	
       54	           53 	
       55	           70 	
       56	           62 	
       57	           64 	
       58	           50 	
       59	           64 	
       60	           62 	
       61	           56 	
       62	           65 	
       63	           58 	
       64	           68 	
       65	           73 	
       66	           54 	
       67	           59 	
       68	           53 	
       69	           58 	
       70	           60 	
       71	           35 	
       72	           57 	
       73	           60 	
       74	           71 	
       75	           44 	
       76	           45 	
       77	           59 	
       78	           52 	
       79	           57 	
       80	           50 	
       81	           71 	
       82	           67 	
       83	           47 	
       84	           61 	
       85	           65 	
       86	           67 	
       87	           56 	
       88	           65 	
       89	           64 	
       90	           48 	
       91	           55 	
       92	           61 	
       93	           49 	
       94	           39 	
       95	           62 	
       96	           73 	
       97	           75 	
       98	           69 	
       99	           62 	
      100	           65 	
      101	           53 	
      102	           55 	
      103	           69 	
      104	           44 	
      105	           62 	
      106	           58 	
      107	           63 	
      108	           63 	
      109	           67 	
      110	           60 	
      111	           67 	
      112	           57 	
      113	           74 	
      114	           60 	
      115	           58 	
      116	           50 	
      117	           61 	
      118	           51 	
      119	           60 	
      120	           60 	
      121	           65 	
      122	           63 	
      123	           48 	
      124	           60 	
      125	           70 	
      126	           57 	
      127	           58 	
      128	           66 	
      129	           50 	
      130	           77 	
      131	           67 	
      132	           57 	
      133	           55 	
      134	           62 	
      135	           59 	
      136	           54 	
      137	           52 	
      138	           62 	
      139	           74 	
      140	           54 	
      141	           62 	
      142	           60 	
      143	           80 	
      144	           71 	
      145	           52 	
      146	           50 	
      147	           49 	
      148	           68 	
      149	           47 	
      150	           46 	
      151	           64 	
      152	           59 	
      153	           65 	
      154	           66 	
      155	           74 	
      156	           57 	
      157	           57 	
      158	           67 	
      159	           67 	
      160	           54 	
      161	           52 	
      162	           68 	
      163	           61 	
      164	           61 	
      165	           53 	
      166	           60 	
      167	           68 	
      168	           67 	
      169	           58 	
      170	           52 	
      171	           63 	
      172	           79 	
      173	           72 	
      174	           60 	
      175	           59 	
      176	           61 	
      177	           57 	
      178	           63 	
      179	           62 	
      180	           66 	
      181	           75 	
      182	           67 	
      183	           68 	
      184	           52 	
      185	           66 	
      186	           54 	
      187	           48 	
      188	           44 	
      189	           72 	
      190	           55 	
