Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2018-08-03
Time (HH:MM:SS):	11:46:17
Device Name:	SPCM50A
Serial Number:	M00451789
GUI Revision:	1.0 Build 2
Driver Revision:	1.0.1
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	100
Time between Bins [ms]:	10
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	No
Array Measurement Continuously:	non-applicable
Bins per Array:	non-applicable
Active APD Gating:	No
Fan Off:	Yes

Bin Number 	Counts per Bin 	Remarks
        1	         1448 	
        2	         1443 	
        3	         1405 	
        4	         1460 	
        5	         1425 	
        6	         1380 	
        7	         1467 	
        8	         1339 	
        9	         1369 	
       10	         1437 	
       11	         1409 	
       12	         1518 	
       13	         1419 	
       14	         1303 	
       15	         1454 	
       16	         1445 	
       17	         1364 	
       18	         1328 	
       19	         1378 	
       20	         1389 	
       21	         1405 	
       22	         1482 	
       23	         1410 	
       24	         1408 	
       25	         1395 	
       26	         1425 	
       27	         1392 	
       28	         1352 	
       29	         1457 	
       30	         1397 	
       31	         1413 	
       32	         1431 	
       33	         1384 	
       34	         1447 	
       35	         1399 	
       36	         1361 	
       37	         1405 	
       38	         1425 	
       39	         1440 	
       40	         1461 	
       41	         1467 	
       42	         1389 	
       43	         1388 	
       44	         1403 	
       45	         1442 	
       46	         1383 	
       47	         1357 	
       48	         1507 	
       49	         1471 	
       50	         1406 	
       51	         1401 	
       52	         1415 	
       53	         1372 	
       54	         1440 	
       55	         1349 	
       56	         1499 	
       57	         1430 	
       58	         1438 	
       59	         1389 	
       60	         1516 	
       61	         1423 	
       62	         1479 	
       63	         1488 	
       64	         1449 	
       65	         1369 	
       66	         1427 	
       67	         1396 	
       68	         1415 	
       69	         1458 	
       70	         1458 	
       71	         1448 	
       72	         1475 	
       73	         1459 	
       74	         1414 	
       75	         1430 	
       76	         1477 	
       77	         1418 	
       78	         1432 	
       79	         1422 	
       80	         1469 	
       81	         1539 	
       82	         1465 	
       83	         1426 	
       84	         1520 	
       85	         1459 	
       86	         1454 	
       87	         1475 	
       88	         1422 	
       89	         1374 	
       90	         1447 	
       91	         1452 	
       92	         1392 	
       93	         1431 	
       94	         1499 	
       95	         1421 	
       96	         1386 	
       97	         1443 	
       98	         1452 	
       99	         1513 	
      100	         1457 	
      101	         1445 	
      102	         1432 	
      103	         1413 	
      104	         1439 	
      105	         1498 	
      106	         1423 	
      107	         1453 	
      108	         1431 	
      109	         1442 	
      110	         1452 	
      111	         1492 	
      112	         1416 	
      113	         1430 	
      114	         1440 	
      115	         1464 	
      116	         1390 	
      117	         1456 	
      118	         1429 	
      119	         1484 	
      120	         1479 	
      121	         1446 	
      122	         1328 	
      123	         1511 	
      124	         1465 	
      125	         1405 	
      126	         1444 	
      127	         1467 	
      128	         1521 	
      129	         1393 	
      130	         1481 	
      131	         1468 	
      132	         1425 	
      133	         1427 	
      134	         1464 	
      135	         1438 	
      136	         1370 	
      137	         1461 	
      138	         1513 	
      139	         1416 	
      140	         1423 	
      141	         1503 	
      142	         1414 	
      143	         1400 	
      144	         1459 	
      145	         1458 	
      146	         1436 	
      147	         1405 	
      148	         1408 	
      149	         1358 	
      150	         1445 	
      151	         1441 	
      152	         1475 	
      153	         1477 	
      154	         1425 	
      155	         1496 	
      156	         1527 	
      157	         1445 	
      158	         1454 	
      159	         1423 	
      160	         1440 	
      161	         1415 	
      162	         1460 	
      163	         1452 	
      164	         1491 	
      165	         1453 	
      166	         1457 	
      167	         1510 	
      168	         1493 	
      169	         1508 	
      170	         1481 	
      171	         1489 	
      172	         1354 	
      173	         1410 	
      174	         1487 	
      175	         1554 	
      176	         1413 	
      177	         1463 	
      178	         1471 	
      179	         1505 	
      180	         1529 	
      181	         1477 	
      182	         1501 	
      183	         1531 	
      184	         1471 	
      185	         1434 	
      186	         1510 	
      187	         1471 	
      188	         1500 	
      189	         1518 	
      190	         1491 	
