Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2018-08-03
Time (HH:MM:SS):	11:45:36
Device Name:	SPCM50A
Serial Number:	M00451789
GUI Revision:	1.0 Build 2
Driver Revision:	1.0.1
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	100
Time between Bins [ms]:	10
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	No
Array Measurement Continuously:	non-applicable
Bins per Array:	non-applicable
Active APD Gating:	No
Fan Off:	Yes

Bin Number 	Counts per Bin 	Remarks
        1	          695 	
        2	          711 	
        3	          726 	
        4	          714 	
        5	          718 	
        6	          733 	
        7	          688 	
        8	          753 	
        9	          721 	
       10	          707 	
       11	          692 	
       12	          699 	
       13	          705 	
       14	          647 	
       15	          720 	
       16	          737 	
       17	          757 	
       18	          686 	
       19	          721 	
       20	          733 	
       21	          731 	
       22	          718 	
       23	          729 	
       24	          721 	
       25	          717 	
       26	          741 	
       27	          718 	
       28	          660 	
       29	          710 	
       30	          690 	
       31	          714 	
       32	          695 	
       33	          684 	
       34	          742 	
       35	          739 	
       36	          728 	
       37	          731 	
       38	          704 	
       39	          705 	
       40	          707 	
       41	          698 	
       42	          703 	
       43	          757 	
       44	          697 	
       45	          689 	
       46	          718 	
       47	          672 	
       48	          675 	
       49	          668 	
       50	          702 	
       51	          699 	
       52	          750 	
       53	          716 	
       54	          742 	
       55	          687 	
       56	          747 	
       57	          715 	
       58	          730 	
       59	          705 	
       60	          708 	
       61	          714 	
       62	          719 	
       63	          708 	
       64	          717 	
       65	          778 	
       66	          675 	
       67	          731 	
       68	          738 	
       69	          681 	
       70	          816 	
       71	          683 	
       72	          688 	
       73	          697 	
       74	          733 	
       75	          709 	
       76	          702 	
       77	          732 	
       78	          696 	
       79	          721 	
       80	          730 	
       81	          748 	
       82	          730 	
       83	          717 	
       84	          725 	
       85	          737 	
       86	          756 	
       87	          680 	
       88	          771 	
       89	          686 	
       90	          671 	
       91	          706 	
       92	          707 	
       93	          699 	
       94	          704 	
       95	          760 	
       96	          701 	
       97	          738 	
       98	          721 	
       99	          743 	
      100	          700 	
      101	          778 	
      102	          747 	
      103	          715 	
      104	          740 	
      105	          680 	
      106	          675 	
      107	          691 	
      108	          726 	
      109	          716 	
      110	          738 	
      111	          701 	
      112	          730 	
      113	          723 	
      114	          726 	
      115	          725 	
      116	          710 	
      117	          669 	
      118	          711 	
      119	          711 	
      120	          691 	
      121	          698 	
      122	          705 	
      123	          731 	
      124	          678 	
      125	          752 	
      126	          721 	
      127	          755 	
      128	          701 	
      129	          732 	
      130	          748 	
      131	          706 	
      132	          749 	
      133	          687 	
      134	          673 	
      135	          707 	
      136	          665 	
      137	          691 	
      138	          738 	
      139	          757 	
      140	          743 	
      141	          685 	
      142	          736 	
      143	          722 	
      144	          702 	
      145	          724 	
      146	          743 	
      147	          772 	
      148	          742 	
      149	          713 	
      150	          760 	
      151	          687 	
      152	          755 	
      153	          684 	
      154	          715 	
      155	          740 	
      156	          770 	
      157	          741 	
      158	          753 	
      159	          773 	
      160	          782 	
      161	          705 	
      162	          760 	
      163	          721 	
      164	          724 	
      165	          752 	
      166	          815 	
      167	          758 	
      168	          742 	
      169	          750 	
      170	          721 	
      171	          754 	
      172	          696 	
      173	          671 	
      174	          748 	
      175	          714 	
      176	          749 	
      177	          741 	
      178	          705 	
      179	          703 	
      180	          710 	
      181	          719 	
      182	          721 	
      183	          704 	
      184	          788 	
      185	          727 	
      186	          736 	
      187	          718 	
      188	          686 	
      189	          728 	
      190	          801 	
      191	          676 	
