Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2018-08-03
Time (HH:MM:SS):	11:48:11
Device Name:	SPCM50A
Serial Number:	M00451789
GUI Revision:	1.0 Build 2
Driver Revision:	1.0.1
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	100
Time between Bins [ms]:	10
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	No
Array Measurement Continuously:	non-applicable
Bins per Array:	non-applicable
Active APD Gating:	No
Fan Off:	Yes

Bin Number 	Counts per Bin 	Remarks
        1	         2375 	
        2	         2430 	
        3	         2448 	
        4	         2420 	
        5	         2484 	
        6	         2425 	
        7	         2540 	
        8	         2378 	
        9	         2412 	
       10	         2507 	
       11	         2423 	
       12	         2393 	
       13	         2307 	
       14	         2400 	
       15	         2391 	
       16	         2318 	
       17	         2348 	
       18	         2429 	
       19	         2363 	
       20	         2346 	
       21	         2375 	
       22	         2369 	
       23	         2385 	
       24	         2409 	
       25	         2354 	
       26	         2427 	
       27	         2377 	
       28	         2478 	
       29	         2491 	
       30	         2386 	
       31	         2435 	
       32	         2461 	
       33	         2460 	
       34	         2476 	
       35	         2466 	
       36	         2469 	
       37	         2453 	
       38	         2513 	
       39	         2463 	
       40	         2535 	
       41	         2360 	
       42	         2627 	
       43	         2499 	
       44	         2339 	
       45	         2356 	
       46	         2461 	
       47	         2417 	
       48	         2404 	
       49	         2374 	
       50	         2423 	
       51	         2493 	
       52	         2444 	
       53	         2464 	
       54	         2419 	
       55	         2470 	
       56	         2502 	
       57	         2374 	
       58	         2453 	
       59	         2466 	
       60	         2461 	
       61	         2381 	
       62	         2426 	
       63	         2482 	
       64	         2433 	
       65	         2517 	
       66	         2462 	
       67	         2442 	
       68	         2437 	
       69	         2482 	
       70	         2491 	
       71	         2412 	
       72	         2461 	
       73	         2472 	
       74	         2517 	
       75	         2364 	
       76	         2460 	
       77	         2456 	
       78	         2473 	
       79	         2478 	
       80	         2512 	
       81	         2450 	
       82	         2429 	
       83	         2484 	
       84	         2407 	
       85	         2540 	
       86	         2396 	
       87	         2460 	
       88	         2518 	
       89	         2503 	
       90	         2396 	
       91	         2466 	
       92	         2449 	
       93	         2490 	
       94	         2417 	
       95	         2532 	
       96	         2432 	
       97	         2534 	
       98	         2539 	
       99	         2512 	
      100	         2397 	
      101	         2425 	
      102	         2557 	
      103	         2382 	
      104	         2502 	
      105	         2447 	
      106	         2400 	
      107	         2463 	
      108	         2443 	
      109	         2601 	
      110	         2423 	
      111	         2450 	
      112	         2536 	
      113	         2510 	
      114	         2554 	
      115	         2428 	
      116	         2574 	
      117	         2589 	
      118	         2522 	
      119	         2557 	
      120	         2523 	
      121	         2494 	
      122	         2455 	
      123	         2405 	
      124	         2492 	
      125	         2433 	
      126	         2534 	
      127	         2396 	
      128	         2473 	
      129	         2459 	
      130	         2510 	
      131	         2471 	
      132	         2549 	
      133	         2398 	
      134	         2507 	
      135	         2414 	
      136	         2399 	
      137	         2458 	
      138	         2491 	
      139	         2427 	
      140	         2496 	
      141	         2459 	
      142	         2441 	
      143	         2374 	
      144	         2358 	
      145	         2450 	
      146	         2421 	
      147	         2482 	
      148	         2439 	
      149	         2405 	
      150	         2474 	
      151	         2374 	
      152	         2377 	
      153	         2385 	
      154	         2512 	
      155	         2446 	
      156	         2385 	
      157	         2499 	
      158	         2475 	
      159	         2497 	
      160	         2504 	
      161	         2464 	
      162	         2449 	
      163	         2508 	
      164	         2475 	
      165	         2335 	
      166	         2474 	
      167	         2539 	
      168	         2428 	
      169	         2448 	
      170	         2461 	
      171	         2520 	
      172	         2434 	
      173	         2440 	
      174	         2410 	
      175	         2390 	
      176	         2416 	
      177	         2496 	
      178	         2447 	
      179	         2412 	
      180	         2457 	
      181	         2506 	
      182	         2360 	
      183	         2481 	
      184	         2479 	
      185	         2491 	
      186	         2410 	
      187	         2403 	
      188	         2390 	
      189	         2417 	
      190	         2393 	
