Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2018-08-03
Time (HH:MM:SS):	11:47:32
Device Name:	SPCM50A
Serial Number:	M00451789
GUI Revision:	1.0 Build 2
Driver Revision:	1.0.1
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	100
Time between Bins [ms]:	10
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	No
Array Measurement Continuously:	non-applicable
Bins per Array:	non-applicable
Active APD Gating:	No
Fan Off:	Yes

Bin Number 	Counts per Bin 	Remarks
        1	          488 	
        2	          505 	
        3	          433 	
        4	          468 	
        5	          498 	
        6	          471 	
        7	          431 	
        8	          459 	
        9	          465 	
       10	          458 	
       11	          474 	
       12	          484 	
       13	          479 	
       14	          452 	
       15	          465 	
       16	          473 	
       17	          454 	
       18	          451 	
       19	          460 	
       20	          467 	
       21	          498 	
       22	          413 	
       23	          472 	
       24	          430 	
       25	          455 	
       26	          484 	
       27	          450 	
       28	          440 	
       29	          461 	
       30	          431 	
       31	          433 	
       32	          443 	
       33	          450 	
       34	          456 	
       35	          459 	
       36	          475 	
       37	          424 	
       38	          439 	
       39	          484 	
       40	          434 	
       41	          465 	
       42	          494 	
       43	          481 	
       44	          478 	
       45	          434 	
       46	          491 	
       47	          475 	
       48	          470 	
       49	          486 	
       50	          440 	
       51	          472 	
       52	          457 	
       53	          462 	
       54	          422 	
       55	          469 	
       56	          454 	
       57	          482 	
       58	          441 	
       59	          476 	
       60	          460 	
       61	          451 	
       62	          467 	
       63	          485 	
       64	          468 	
       65	          442 	
       66	          412 	
       67	          441 	
       68	          490 	
       69	          447 	
       70	          457 	
       71	          471 	
       72	          461 	
       73	          459 	
       74	          456 	
       75	          506 	
       76	          435 	
       77	          412 	
       78	          506 	
       79	          485 	
       80	          465 	
       81	          453 	
       82	          455 	
       83	          474 	
       84	          483 	
       85	          449 	
       86	          431 	
       87	          455 	
       88	          482 	
       89	          459 	
       90	          496 	
       91	          489 	
       92	          514 	
       93	          424 	
       94	          479 	
       95	          461 	
       96	          475 	
       97	          483 	
       98	          461 	
       99	          467 	
      100	          443 	
      101	          449 	
      102	          441 	
      103	          423 	
      104	          442 	
      105	          463 	
      106	          459 	
      107	          480 	
      108	          459 	
      109	          465 	
      110	          490 	
      111	          449 	
      112	          457 	
      113	          453 	
      114	          465 	
      115	          499 	
      116	          470 	
      117	          434 	
      118	          443 	
      119	          481 	
      120	          418 	
      121	          472 	
      122	          507 	
      123	          448 	
      124	          452 	
      125	          508 	
      126	          462 	
      127	          440 	
      128	          475 	
      129	          477 	
      130	          461 	
      131	          474 	
      132	          450 	
      133	          480 	
      134	          451 	
      135	          443 	
      136	          444 	
      137	          456 	
      138	          495 	
      139	          452 	
      140	          459 	
      141	          443 	
      142	          439 	
      143	          466 	
      144	          499 	
      145	          434 	
      146	          478 	
      147	          483 	
      148	          405 	
      149	          435 	
      150	          479 	
      151	          480 	
      152	          502 	
      153	          485 	
      154	          456 	
      155	          466 	
      156	          491 	
      157	          477 	
      158	          452 	
      159	          437 	
      160	          470 	
      161	          426 	
      162	          442 	
      163	          464 	
      164	          496 	
      165	          480 	
      166	          449 	
      167	          449 	
      168	          481 	
      169	          465 	
      170	          421 	
      171	          471 	
      172	          452 	
      173	          468 	
      174	          442 	
      175	          467 	
      176	          474 	
      177	          453 	
      178	          449 	
      179	          475 	
      180	          441 	
      181	          487 	
      182	          496 	
      183	          486 	
      184	          505 	
      185	          425 	
      186	          471 	
      187	          479 	
      188	          499 	
      189	          497 	
      190	          434 	
