Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2018-08-03
Time (HH:MM:SS):	11:46:57
Device Name:	SPCM50A
Serial Number:	M00451789
GUI Revision:	1.0 Build 2
Driver Revision:	1.0.1
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	100
Time between Bins [ms]:	10
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	No
Array Measurement Continuously:	non-applicable
Bins per Array:	non-applicable
Active APD Gating:	No
Fan Off:	Yes

Bin Number 	Counts per Bin 	Remarks
        1	         2589 	
        2	         2589 	
        3	         2715 	
        4	         2719 	
        5	         2611 	
        6	         2588 	
        7	         2661 	
        8	         2603 	
        9	         2753 	
       10	         2653 	
       11	         2677 	
       12	         2663 	
       13	         2692 	
       14	         2699 	
       15	         2622 	
       16	         2652 	
       17	         2584 	
       18	         2650 	
       19	         2642 	
       20	         2718 	
       21	         2564 	
       22	         2651 	
       23	         2678 	
       24	         2687 	
       25	         2600 	
       26	         2562 	
       27	         2689 	
       28	         2730 	
       29	         2634 	
       30	         2647 	
       31	         2631 	
       32	         2640 	
       33	         2671 	
       34	         2560 	
       35	         2722 	
       36	         2711 	
       37	         2648 	
       38	         2623 	
       39	         2788 	
       40	         2680 	
       41	         2701 	
       42	         2715 	
       43	         2641 	
       44	         2706 	
       45	         2612 	
       46	         2634 	
       47	         2662 	
       48	         2721 	
       49	         2708 	
       50	         2667 	
       51	         2638 	
       52	         2667 	
       53	         2629 	
       54	         2642 	
       55	         2679 	
       56	         2701 	
       57	         2624 	
       58	         2547 	
       59	         2625 	
       60	         2683 	
       61	         2665 	
       62	         2599 	
       63	         2538 	
       64	         2576 	
       65	         2540 	
       66	         2657 	
       67	         2674 	
       68	         2637 	
       69	         2693 	
       70	         2663 	
       71	         2690 	
       72	         2614 	
       73	         2612 	
       74	         2671 	
       75	         2733 	
       76	         2628 	
       77	         2652 	
       78	         2631 	
       79	         2617 	
       80	         2725 	
       81	         2671 	
       82	         2679 	
       83	         2729 	
       84	         2740 	
       85	         2680 	
       86	         2616 	
       87	         2610 	
       88	         2639 	
       89	         2709 	
       90	         2714 	
       91	         2637 	
       92	         2635 	
       93	         2697 	
       94	         2632 	
       95	         2556 	
       96	         2596 	
       97	         2560 	
       98	         2720 	
       99	         2663 	
      100	         2605 	
      101	         2670 	
      102	         2705 	
      103	         2707 	
      104	         2765 	
      105	         2615 	
      106	         2693 	
      107	         2682 	
      108	         2690 	
      109	         2642 	
      110	         2671 	
      111	         2682 	
      112	         2686 	
      113	         2671 	
      114	         2568 	
      115	         2698 	
      116	         2597 	
      117	         2656 	
      118	         2558 	
      119	         2664 	
      120	         2791 	
      121	         2680 	
      122	         2655 	
      123	         2683 	
      124	         2629 	
      125	         2590 	
      126	         2731 	
      127	         2714 	
      128	         2802 	
      129	         2602 	
      130	         2658 	
      131	         2693 	
      132	         2710 	
      133	         2642 	
      134	         2763 	
      135	         2781 	
      136	         2638 	
      137	         2706 	
      138	         2711 	
      139	         2764 	
      140	         2707 	
      141	         2854 	
      142	         2663 	
      143	         2658 	
      144	         2834 	
      145	         2792 	
      146	         2656 	
      147	         2763 	
      148	         2748 	
      149	         2836 	
      150	         2775 	
      151	         2771 	
      152	         2743 	
      153	         2775 	
      154	         2770 	
      155	         2708 	
      156	         2698 	
      157	         2701 	
      158	         2658 	
      159	         2594 	
      160	         2699 	
      161	         2643 	
      162	         2666 	
      163	         2719 	
      164	         2695 	
      165	         2772 	
      166	         2639 	
      167	         2654 	
      168	         2713 	
      169	         2650 	
      170	         2766 	
      171	         2737 	
      172	         2689 	
      173	         2578 	
      174	         2645 	
      175	         2642 	
      176	         2684 	
      177	         2630 	
      178	         2679 	
      179	         2687 	
      180	         2694 	
      181	         2694 	
      182	         2748 	
      183	         2656 	
      184	         2656 	
      185	         2595 	
      186	         2734 	
      187	         2624 	
      188	         2607 	
      189	         2646 	
      190	         2720 	
