Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2018-08-03
Time (HH:MM:SS):	11:48:46
Device Name:	SPCM50A
Serial Number:	M00451789
GUI Revision:	1.0 Build 2
Driver Revision:	1.0.1
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	100
Time between Bins [ms]:	10
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	No
Array Measurement Continuously:	non-applicable
Bins per Array:	non-applicable
Active APD Gating:	No
Fan Off:	Yes

Bin Number 	Counts per Bin 	Remarks
        1	           25 	
        2	           17 	
        3	           14 	
        4	           20 	
        5	           29 	
        6	           14 	
        7	           14 	
        8	           15 	
        9	           24 	
       10	           18 	
       11	           18 	
       12	           20 	
       13	           16 	
       14	           35 	
       15	           13 	
       16	           16 	
       17	           23 	
       18	           16 	
       19	           24 	
       20	           24 	
       21	           17 	
       22	           13 	
       23	           22 	
       24	           19 	
       25	           26 	
       26	           16 	
       27	           16 	
       28	           21 	
       29	           24 	
       30	           16 	
       31	           23 	
       32	           13 	
       33	           28 	
       34	           16 	
       35	           25 	
       36	           28 	
       37	           29 	
       38	           19 	
       39	           17 	
       40	           19 	
       41	           22 	
       42	           17 	
       43	           16 	
       44	           21 	
       45	           15 	
       46	           14 	
       47	           23 	
       48	           20 	
       49	           16 	
       50	           22 	
       51	           16 	
       52	           21 	
       53	           17 	
       54	           16 	
       55	           24 	
       56	           29 	
       57	           17 	
       58	           17 	
       59	           22 	
       60	           15 	
       61	           11 	
       62	           16 	
       63	           21 	
       64	           14 	
       65	           21 	
       66	           27 	
       67	           18 	
       68	           24 	
       69	           22 	
       70	           21 	
       71	           21 	
       72	           18 	
       73	           17 	
       74	           13 	
       75	           21 	
       76	           19 	
       77	           18 	
       78	           15 	
       79	           15 	
       80	           21 	
       81	           27 	
       82	           21 	
       83	           19 	
       84	           24 	
       85	           20 	
       86	           20 	
       87	           18 	
       88	           18 	
       89	           12 	
       90	           12 	
       91	           19 	
       92	           20 	
       93	           25 	
       94	           20 	
       95	           24 	
       96	           23 	
       97	           22 	
       98	           23 	
       99	           22 	
      100	           13 	
      101	           22 	
      102	           20 	
      103	           22 	
      104	           11 	
      105	           25 	
      106	           22 	
      107	           24 	
      108	           18 	
      109	           31 	
      110	           21 	
      111	           21 	
      112	           19 	
      113	           22 	
      114	           17 	
      115	           13 	
      116	           16 	
      117	           27 	
      118	           19 	
      119	           13 	
      120	            6 	
      121	           22 	
      122	           19 	
      123	           19 	
      124	           25 	
      125	           16 	
      126	           22 	
      127	           16 	
      128	           26 	
      129	           16 	
      130	           21 	
      131	           22 	
      132	           18 	
      133	           20 	
      134	           20 	
      135	           19 	
      136	           23 	
      137	           18 	
      138	           18 	
      139	           13 	
      140	           20 	
      141	           24 	
      142	           17 	
      143	           27 	
      144	           20 	
      145	           18 	
      146	           14 	
      147	           19 	
      148	           19 	
      149	           12 	
      150	           18 	
      151	           16 	
      152	           28 	
      153	           14 	
      154	           15 	
      155	           21 	
      156	           32 	
      157	           18 	
      158	           25 	
      159	           26 	
      160	           21 	
      161	           22 	
      162	           25 	
      163	           22 	
      164	           25 	
      165	           30 	
      166	           17 	
      167	           19 	
      168	           29 	
      169	           17 	
      170	           17 	
      171	           19 	
      172	           19 	
      173	           21 	
      174	           18 	
      175	           21 	
      176	           22 	
      177	           23 	
      178	           29 	
      179	           37 	
      180	           16 	
      181	           25 	
      182	           13 	
      183	           11 	
      184	           20 	
      185	           26 	
      186	           14 	
      187	           16 	
      188	           24 	
      189	           17 	
      190	           22 	
