Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2018-08-06
Time (HH:MM:SS):	14:00:53
Device Name:	SPCM50A
Serial Number:	M00451789
GUI Revision:	1.0 Build 2
Driver Revision:	1.0.1
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	100
Time between Bins [ms]:	10
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	No
Array Measurement Continuously:	non-applicable
Bins per Array:	non-applicable
Active APD Gating:	No
Fan Off:	Yes

Bin Number 	Counts per Bin 	Remarks
        1	           74 	
        2	           56 	
        3	           51 	
        4	           55 	
        5	           56 	
        6	           54 	
        7	           51 	
        8	           46 	
        9	           55 	
       10	           65 	
       11	           46 	
       12	           56 	
       13	           59 	
       14	           59 	
       15	           60 	
       16	           55 	
       17	           43 	
       18	           54 	
       19	           59 	
       20	           55 	
       21	           48 	
       22	           53 	
       23	           62 	
       24	           54 	
       25	           52 	
       26	           60 	
       27	           56 	
       28	           57 	
       29	           53 	
       30	           47 	
       31	           57 	
       32	           54 	
       33	           40 	
       34	           62 	
       35	           64 	
       36	           49 	
       37	           54 	
       38	           51 	
       39	           49 	
       40	           51 	
       41	           60 	
       42	           70 	
       43	           56 	
       44	           58 	
       45	           62 	
       46	           52 	
       47	           49 	
       48	           62 	
       49	           35 	
       50	           49 	
       51	           51 	
       52	           44 	
       53	           56 	
       54	           65 	
       55	           56 	
       56	           43 	
       57	           59 	
       58	           51 	
       59	           49 	
       60	           65 	
       61	           54 	
       62	           59 	
       63	           44 	
       64	           73 	
       65	           54 	
       66	           42 	
       67	           47 	
       68	           61 	
       69	           58 	
       70	           59 	
       71	           42 	
       72	           47 	
       73	           51 	
       74	           45 	
       75	           61 	
       76	           39 	
       77	           47 	
       78	           54 	
       79	           46 	
       80	           61 	
       81	           48 	
       82	           65 	
       83	           49 	
       84	           49 	
       85	           44 	
       86	           43 	
       87	           57 	
       88	           44 	
       89	           55 	
       90	           74 	
       91	           63 	
       92	           72 	
       93	           57 	
       94	           55 	
       95	           62 	
       96	           49 	
       97	           67 	
       98	           60 	
       99	           48 	
      100	           50 	
      101	           59 	
      102	           53 	
      103	           55 	
      104	           71 	
      105	           60 	
      106	           54 	
      107	           60 	
      108	           61 	
      109	           61 	
      110	           48 	
      111	           58 	
      112	           56 	
      113	           60 	
      114	           53 	
      115	           62 	
      116	           53 	
      117	           45 	
      118	           46 	
      119	           55 	
      120	           60 	
      121	           67 	
      122	           64 	
      123	           54 	
      124	           67 	
      125	           46 	
      126	           60 	
      127	           56 	
      128	           55 	
      129	           55 	
      130	           47 	
      131	           53 	
      132	           53 	
      133	           46 	
      134	           76 	
      135	           55 	
      136	           52 	
      137	           72 	
      138	           51 	
      139	           68 	
      140	           55 	
      141	           62 	
      142	           60 	
      143	           50 	
      144	           56 	
      145	           51 	
