Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2018-08-06
Time (HH:MM:SS):	14:00:21
Device Name:	SPCM50A
Serial Number:	M00451789
GUI Revision:	1.0 Build 2
Driver Revision:	1.0.1
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	100
Time between Bins [ms]:	10
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	No
Array Measurement Continuously:	non-applicable
Bins per Array:	non-applicable
Active APD Gating:	No
Fan Off:	Yes

Bin Number 	Counts per Bin 	Remarks
        1	           18 	
        2	           13 	
        3	           10 	
        4	           10 	
        5	            9 	
        6	           22 	
        7	           11 	
        8	            5 	
        9	           10 	
       10	           12 	
       11	            4 	
       12	            9 	
       13	           14 	
       14	           16 	
       15	            6 	
       16	            9 	
       17	            9 	
       18	            7 	
       19	            9 	
       20	           10 	
       21	            6 	
       22	           10 	
       23	            6 	
       24	           11 	
       25	            2 	
       26	            6 	
       27	            6 	
       28	           15 	
       29	           13 	
       30	           13 	
       31	           16 	
       32	           11 	
       33	            6 	
       34	           13 	
       35	           15 	
       36	            8 	
       37	           10 	
       38	           16 	
       39	            9 	
       40	            5 	
       41	            7 	
       42	           11 	
       43	            5 	
       44	            5 	
       45	            6 	
       46	           13 	
       47	           13 	
       48	           23 	
       49	            4 	
       50	            9 	
       51	           13 	
       52	           10 	
       53	           13 	
       54	           11 	
       55	           12 	
       56	           10 	
       57	            5 	
       58	           13 	
       59	           14 	
       60	            5 	
       61	           11 	
       62	           14 	
       63	            9 	
       64	           11 	
       65	            6 	
       66	           10 	
       67	           14 	
       68	            6 	
       69	            6 	
       70	           12 	
       71	           10 	
       72	            7 	
       73	           10 	
       74	            8 	
       75	           10 	
       76	            8 	
       77	            5 	
       78	            6 	
       79	           10 	
       80	           11 	
       81	            7 	
       82	           17 	
       83	            5 	
       84	           16 	
       85	            4 	
       86	            5 	
       87	           11 	
       88	            8 	
       89	           11 	
       90	           14 	
       91	            8 	
       92	           12 	
       93	            6 	
       94	            6 	
       95	           14 	
       96	            8 	
       97	           20 	
       98	           11 	
       99	           14 	
      100	           10 	
      101	            7 	
      102	           13 	
      103	           12 	
      104	            8 	
      105	           11 	
      106	           12 	
      107	           11 	
      108	            8 	
      109	           10 	
      110	           12 	
      111	           12 	
      112	           13 	
      113	            5 	
      114	           15 	
      115	            7 	
      116	            6 	
      117	           12 	
      118	           13 	
      119	           11 	
      120	           13 	
      121	           13 	
      122	           11 	
      123	           10 	
      124	           12 	
      125	           16 	
      126	           14 	
      127	           15 	
      128	            7 	
      129	            4 	
      130	           15 	
      131	            9 	
      132	            8 	
      133	           14 	
      134	           11 	
      135	           13 	
      136	           15 	
      137	            8 	
      138	           10 	
      139	           10 	
      140	            9 	
      141	            9 	
      142	           10 	
      143	           14 	
      144	           11 	
      145	           12 	
