Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2018-08-06
Time (HH:MM:SS):	14:02:16
Device Name:	SPCM50A
Serial Number:	M00451789
GUI Revision:	1.0 Build 2
Driver Revision:	1.0.1
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	100
Time between Bins [ms]:	10
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	No
Array Measurement Continuously:	non-applicable
Bins per Array:	non-applicable
Active APD Gating:	No
Fan Off:	Yes

Bin Number 	Counts per Bin 	Remarks
        1	           37 	
        2	           43 	
        3	           42 	
        4	           35 	
        5	           47 	
        6	           48 	
        7	           48 	
        8	           35 	
        9	           47 	
       10	           45 	
       11	           42 	
       12	           45 	
       13	           32 	
       14	           42 	
       15	           54 	
       16	           51 	
       17	           64 	
       18	           50 	
       19	           52 	
       20	           39 	
       21	           54 	
       22	           42 	
       23	           53 	
       24	           40 	
       25	           58 	
       26	           50 	
       27	           59 	
       28	           52 	
       29	           41 	
       30	           46 	
       31	           54 	
       32	           49 	
       33	           45 	
       34	           56 	
       35	           42 	
       36	           52 	
       37	           43 	
       38	           46 	
       39	           33 	
       40	           52 	
       41	           41 	
       42	           58 	
       43	           54 	
       44	           44 	
       45	           45 	
       46	           40 	
       47	           54 	
       48	           38 	
       49	           59 	
       50	           44 	
       51	           49 	
       52	           40 	
       53	           46 	
       54	           49 	
       55	           59 	
       56	           43 	
       57	           46 	
       58	           46 	
       59	           48 	
       60	           48 	
       61	           39 	
       62	           47 	
       63	           41 	
       64	           50 	
       65	           43 	
       66	           52 	
       67	           46 	
       68	           51 	
       69	           36 	
       70	           45 	
       71	           40 	
       72	           50 	
       73	           51 	
       74	           38 	
       75	           49 	
       76	           48 	
       77	           46 	
       78	           49 	
       79	           43 	
       80	           51 	
       81	           58 	
       82	           44 	
       83	           51 	
       84	           53 	
       85	           53 	
       86	           44 	
       87	           44 	
       88	           40 	
       89	           43 	
       90	           37 	
       91	           49 	
       92	           50 	
       93	           61 	
       94	           55 	
       95	           46 	
       96	           39 	
       97	           44 	
       98	           44 	
       99	           44 	
      100	           66 	
      101	           54 	
      102	           41 	
      103	           38 	
      104	           59 	
      105	           46 	
      106	           45 	
      107	           37 	
      108	           34 	
      109	           48 	
      110	           48 	
      111	           40 	
      112	           45 	
      113	           51 	
      114	           76 	
      115	           53 	
      116	           51 	
      117	           49 	
      118	           52 	
      119	           40 	
      120	           42 	
      121	           59 	
      122	           48 	
      123	           28 	
      124	           50 	
      125	           47 	
      126	           50 	
      127	           46 	
      128	           49 	
      129	           40 	
      130	           46 	
      131	           55 	
      132	           46 	
      133	           48 	
      134	           50 	
      135	           41 	
      136	           38 	
      137	           39 	
      138	           59 	
      139	           55 	
      140	           46 	
      141	           44 	
      142	           50 	
      143	           49 	
      144	           51 	
      145	           61 	
