Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2018-08-06
Time (HH:MM:SS):	14:01:48
Device Name:	SPCM50A
Serial Number:	M00451789
GUI Revision:	1.0 Build 2
Driver Revision:	1.0.1
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	100
Time between Bins [ms]:	10
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	No
Array Measurement Continuously:	non-applicable
Bins per Array:	non-applicable
Active APD Gating:	No
Fan Off:	Yes

Bin Number 	Counts per Bin 	Remarks
        1	           50 	
        2	           49 	
        3	           53 	
        4	           54 	
        5	           59 	
        6	           62 	
        7	           51 	
        8	           49 	
        9	           65 	
       10	           44 	
       11	           51 	
       12	           62 	
       13	           57 	
       14	           68 	
       15	           47 	
       16	           46 	
       17	           68 	
       18	           47 	
       19	           44 	
       20	           59 	
       21	           61 	
       22	           73 	
       23	           48 	
       24	           51 	
       25	           66 	
       26	           61 	
       27	           64 	
       28	           70 	
       29	           51 	
       30	           51 	
       31	           59 	
       32	           57 	
       33	           64 	
       34	           75 	
       35	           62 	
       36	           43 	
       37	           70 	
       38	           41 	
       39	           64 	
       40	           41 	
       41	           78 	
       42	           53 	
       43	           48 	
       44	           59 	
       45	           55 	
       46	           56 	
       47	           55 	
       48	           45 	
       49	           58 	
       50	           54 	
       51	           65 	
       52	           51 	
       53	           58 	
       54	           50 	
       55	           54 	
       56	           58 	
       57	           64 	
       58	           61 	
       59	           61 	
       60	           55 	
       61	           67 	
       62	           48 	
       63	           52 	
       64	           58 	
       65	           49 	
       66	           51 	
       67	           71 	
       68	           59 	
       69	           57 	
       70	           61 	
       71	           48 	
       72	           55 	
       73	           48 	
       74	           45 	
       75	           53 	
       76	           52 	
       77	           57 	
       78	           58 	
       79	           55 	
       80	           44 	
       81	           51 	
       82	           52 	
       83	           60 	
       84	           60 	
       85	           55 	
       86	           54 	
       87	           45 	
       88	           51 	
       89	           44 	
       90	           55 	
       91	           59 	
       92	           61 	
       93	           61 	
       94	           46 	
       95	           52 	
       96	           59 	
       97	           54 	
       98	           65 	
       99	           38 	
      100	           60 	
      101	           53 	
      102	           40 	
      103	           45 	
      104	           57 	
      105	           38 	
      106	           64 	
      107	           59 	
      108	           51 	
      109	           54 	
      110	           55 	
      111	           51 	
      112	           65 	
      113	           60 	
      114	           50 	
      115	           48 	
      116	           52 	
      117	           49 	
      118	           46 	
      119	           55 	
      120	           54 	
      121	           59 	
      122	           79 	
      123	           53 	
      124	           59 	
      125	           54 	
      126	           57 	
      127	           48 	
      128	           52 	
      129	           60 	
      130	           51 	
      131	           58 	
      132	           55 	
      133	           53 	
      134	           62 	
      135	           50 	
      136	           54 	
      137	           58 	
      138	           59 	
      139	           51 	
      140	           52 	
      141	           53 	
      142	           60 	
      143	           51 	
      144	           44 	
      145	           60 	
