Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2018-08-06
Time (HH:MM:SS):	14:01:23
Device Name:	SPCM50A
Serial Number:	M00451789
GUI Revision:	1.0 Build 2
Driver Revision:	1.0.1
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	100
Time between Bins [ms]:	10
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	No
Array Measurement Continuously:	non-applicable
Bins per Array:	non-applicable
Active APD Gating:	No
Fan Off:	Yes

Bin Number 	Counts per Bin 	Remarks
        1	           27 	
        2	           35 	
        3	           31 	
        4	           40 	
        5	           32 	
        6	           31 	
        7	           35 	
        8	           46 	
        9	           40 	
       10	           19 	
       11	           24 	
       12	           36 	
       13	           31 	
       14	           38 	
       15	           38 	
       16	           24 	
       17	           36 	
       18	           37 	
       19	           38 	
       20	           36 	
       21	           27 	
       22	           30 	
       23	           41 	
       24	           15 	
       25	           28 	
       26	           28 	
       27	           27 	
       28	           35 	
       29	           35 	
       30	           27 	
       31	           32 	
       32	           29 	
       33	           35 	
       34	           30 	
       35	           28 	
       36	           31 	
       37	           32 	
       38	           34 	
       39	           25 	
       40	           25 	
       41	           40 	
       42	           35 	
       43	           41 	
       44	           25 	
       45	           35 	
       46	           24 	
       47	           29 	
       48	           30 	
       49	           39 	
       50	           21 	
       51	           28 	
       52	           40 	
       53	           27 	
       54	           34 	
       55	           33 	
       56	           37 	
       57	           19 	
       58	           34 	
       59	           33 	
       60	           37 	
       61	           32 	
       62	           45 	
       63	           32 	
       64	           30 	
       65	           35 	
       66	           34 	
       67	           33 	
       68	           37 	
       69	           36 	
       70	           28 	
       71	           32 	
       72	           30 	
       73	           29 	
       74	           32 	
       75	           30 	
       76	           31 	
       77	           42 	
       78	           35 	
       79	           30 	
       80	           32 	
       81	           35 	
       82	           38 	
       83	           34 	
       84	           35 	
       85	           34 	
       86	           33 	
       87	           28 	
       88	           37 	
       89	           33 	
       90	           38 	
       91	           38 	
       92	           41 	
       93	           35 	
       94	           37 	
       95	           36 	
       96	           33 	
       97	           32 	
       98	           34 	
       99	           22 	
      100	           34 	
      101	           34 	
      102	           24 	
      103	           30 	
      104	           24 	
      105	           26 	
      106	           21 	
      107	           29 	
      108	           34 	
      109	           23 	
      110	           43 	
      111	           32 	
      112	           28 	
      113	           34 	
      114	           40 	
      115	           34 	
      116	           25 	
      117	           38 	
      118	           20 	
      119	           41 	
      120	           28 	
      121	           27 	
      122	           32 	
      123	           36 	
      124	           35 	
      125	           41 	
      126	           32 	
      127	           32 	
      128	           33 	
      129	           27 	
      130	           36 	
      131	           38 	
      132	           26 	
      133	           33 	
      134	           39 	
      135	           42 	
      136	           24 	
      137	           39 	
      138	           48 	
      139	           36 	
      140	           28 	
      141	           31 	
      142	           36 	
      143	           38 	
      144	           31 	
      145	           28 	
