Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2018-08-06
Time (HH:MM:SS):	14:02:41
Device Name:	SPCM50A
Serial Number:	M00451789
GUI Revision:	1.0 Build 2
Driver Revision:	1.0.1
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	100
Time between Bins [ms]:	10
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	No
Array Measurement Continuously:	non-applicable
Bins per Array:	non-applicable
Active APD Gating:	No
Fan Off:	Yes

Bin Number 	Counts per Bin 	Remarks
        1	           55 	
        2	           46 	
        3	           48 	
        4	           41 	
        5	           67 	
        6	           51 	
        7	           52 	
        8	           53 	
        9	           49 	
       10	           53 	
       11	           60 	
       12	           66 	
       13	           52 	
       14	           51 	
       15	           49 	
       16	           44 	
       17	           58 	
       18	           44 	
       19	           45 	
       20	           47 	
       21	           48 	
       22	           60 	
       23	           45 	
       24	           49 	
       25	           50 	
       26	           51 	
       27	           47 	
       28	           46 	
       29	           48 	
       30	           50 	
       31	           47 	
       32	           53 	
       33	           49 	
       34	           52 	
       35	           64 	
       36	           56 	
       37	           48 	
       38	           45 	
       39	           61 	
       40	           62 	
       41	           47 	
       42	           53 	
       43	           54 	
       44	           44 	
       45	           56 	
       46	           46 	
       47	           58 	
       48	           37 	
       49	           54 	
       50	           44 	
       51	           40 	
       52	           49 	
       53	           50 	
       54	           60 	
       55	           50 	
       56	           51 	
       57	           54 	
       58	           57 	
       59	           61 	
       60	           55 	
       61	           52 	
       62	           48 	
       63	           42 	
       64	           56 	
       65	           48 	
       66	           62 	
       67	           39 	
       68	           44 	
       69	           57 	
       70	           56 	
       71	           43 	
       72	           58 	
       73	           53 	
       74	           51 	
       75	           65 	
       76	           41 	
       77	           46 	
       78	           59 	
       79	           56 	
       80	           56 	
       81	           56 	
       82	           65 	
       83	           52 	
       84	           49 	
       85	           59 	
       86	           61 	
       87	           45 	
       88	           52 	
       89	           48 	
       90	           55 	
       91	           51 	
       92	           60 	
       93	           55 	
       94	           49 	
       95	           49 	
       96	           50 	
       97	           61 	
       98	           45 	
       99	           56 	
      100	           44 	
      101	           40 	
      102	           48 	
      103	           54 	
      104	           56 	
      105	           52 	
      106	           39 	
      107	           43 	
      108	           43 	
      109	           47 	
      110	           55 	
      111	           57 	
      112	           54 	
      113	           46 	
      114	           56 	
      115	           56 	
      116	           45 	
      117	           44 	
      118	           55 	
      119	           47 	
      120	           46 	
      121	           56 	
      122	           47 	
      123	           58 	
      124	           54 	
      125	           39 	
      126	           52 	
      127	           71 	
      128	           51 	
      129	           60 	
      130	           49 	
      131	           54 	
      132	           39 	
      133	           40 	
      134	           54 	
      135	           49 	
      136	           48 	
      137	           62 	
      138	           76 	
      139	           43 	
      140	           59 	
      141	           54 	
      142	           53 	
      143	           63 	
      144	           62 	
      145	           52 	
