Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2018-08-06
Time (HH:MM:SS):	13:54:10
Device Name:	SPCM50A
Serial Number:	M00451789
GUI Revision:	1.0 Build 2
Driver Revision:	1.0.1
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	100
Time between Bins [ms]:	10
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	No
Array Measurement Continuously:	non-applicable
Bins per Array:	non-applicable
Active APD Gating:	No
Fan Off:	Yes

Bin Number 	Counts per Bin 	Remarks
        1	           10 	
        2	           13 	
        3	           17 	
        4	           14 	
        5	            9 	
        6	           10 	
        7	           23 	
        8	           16 	
        9	           12 	
       10	           11 	
       11	            9 	
       12	           19 	
       13	           14 	
       14	           10 	
       15	           11 	
       16	           10 	
       17	           19 	
       18	           14 	
       19	           11 	
       20	           10 	
       21	           11 	
       22	           19 	
       23	           11 	
       24	           10 	
       25	           17 	
       26	           13 	
       27	           14 	
       28	           16 	
       29	            9 	
       30	            7 	
       31	           19 	
       32	           14 	
       33	            9 	
       34	           14 	
       35	           13 	
       36	           10 	
       37	           10 	
       38	            7 	
       39	           15 	
       40	            7 	
       41	           14 	
       42	           16 	
       43	           11 	
       44	            9 	
       45	           13 	
       46	            8 	
       47	            6 	
       48	           16 	
       49	            9 	
       50	           12 	
       51	           15 	
       52	           10 	
       53	           10 	
       54	           11 	
       55	            8 	
       56	           13 	
       57	           12 	
       58	            8 	
       59	           15 	
       60	           13 	
       61	           11 	
       62	           11 	
       63	            7 	
       64	            5 	
       65	           17 	
       66	           12 	
       67	           16 	
       68	            9 	
       69	           14 	
       70	           17 	
       71	            7 	
       72	           12 	
       73	           13 	
       74	           12 	
       75	           14 	
       76	            9 	
       77	           10 	
       78	            5 	
       79	           12 	
       80	           18 	
       81	           10 	
       82	            7 	
       83	           12 	
       84	            9 	
       85	           10 	
       86	            7 	
       87	           13 	
       88	           11 	
       89	           13 	
       90	           16 	
       91	           11 	
       92	           12 	
       93	           11 	
       94	           17 	
       95	           11 	
       96	            7 	
       97	            8 	
       98	           13 	
       99	           15 	
      100	            9 	
      101	           11 	
      102	            8 	
      103	           11 	
      104	           27 	
      105	           13 	
      106	           12 	
      107	            6 	
      108	           21 	
      109	           18 	
      110	           10 	
      111	           15 	
      112	           13 	
      113	           11 	
      114	            9 	
      115	           16 	
      116	            9 	
      117	            7 	
      118	           13 	
      119	           11 	
      120	           14 	
      121	           14 	
      122	           16 	
      123	           13 	
      124	           10 	
      125	            9 	
      126	           18 	
      127	           17 	
      128	           12 	
      129	            7 	
      130	            8 	
      131	           10 	
      132	           10 	
      133	           16 	
      134	            6 	
      135	           16 	
      136	           19 	
      137	           18 	
      138	            9 	
      139	           11 	
      140	           16 	
      141	           11 	
      142	           13 	
      143	           12 	
      144	            6 	
      145	           11 	
