Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2018-08-06
Time (HH:MM:SS):	13:53:39
Device Name:	SPCM50A
Serial Number:	M00451789
GUI Revision:	1.0 Build 2
Driver Revision:	1.0.1
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	100
Time between Bins [ms]:	10
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	No
Array Measurement Continuously:	non-applicable
Bins per Array:	non-applicable
Active APD Gating:	No
Fan Off:	Yes

Bin Number 	Counts per Bin 	Remarks
        1	          274 	
        2	          312 	
        3	          310 	
        4	          313 	
        5	          327 	
        6	          317 	
        7	          321 	
        8	          296 	
        9	          324 	
       10	          298 	
       11	          305 	
       12	          307 	
       13	          299 	
       14	          328 	
       15	          302 	
       16	          330 	
       17	          299 	
       18	          319 	
       19	          298 	
       20	          315 	
       21	          313 	
       22	          312 	
       23	          335 	
       24	          294 	
       25	          293 	
       26	          325 	
       27	          335 	
       28	          320 	
       29	          255 	
       30	          277 	
       31	          318 	
       32	          307 	
       33	          326 	
       34	          292 	
       35	          335 	
       36	          317 	
       37	          293 	
       38	          330 	
       39	          312 	
       40	          319 	
       41	          318 	
       42	          342 	
       43	          315 	
       44	          330 	
       45	          297 	
       46	          331 	
       47	          291 	
       48	          300 	
       49	          303 	
       50	          293 	
       51	          311 	
       52	          319 	
       53	          358 	
       54	          305 	
       55	          326 	
       56	          336 	
       57	          302 	
       58	          328 	
       59	          315 	
       60	          337 	
       61	          289 	
       62	          284 	
       63	          288 	
       64	          311 	
       65	          307 	
       66	          287 	
       67	          283 	
       68	          315 	
       69	          312 	
       70	          334 	
       71	          294 	
       72	          290 	
       73	          285 	
       74	          296 	
       75	          269 	
       76	          325 	
       77	          276 	
       78	          275 	
       79	          282 	
       80	          282 	
       81	          311 	
       82	          317 	
       83	          354 	
       84	          305 	
       85	          307 	
       86	          318 	
       87	          324 	
       88	          316 	
       89	          300 	
       90	          341 	
       91	          285 	
       92	          310 	
       93	          285 	
       94	          320 	
       95	          261 	
       96	          315 	
       97	          328 	
       98	          276 	
       99	          301 	
      100	          342 	
      101	          295 	
      102	          297 	
      103	          289 	
      104	          302 	
      105	          316 	
      106	          296 	
      107	          281 	
      108	          277 	
      109	          305 	
      110	          311 	
      111	          335 	
      112	          283 	
      113	          279 	
      114	          319 	
      115	          329 	
      116	          285 	
      117	          297 	
      118	          295 	
      119	          274 	
      120	          311 	
      121	          297 	
      122	          290 	
      123	          309 	
      124	          304 	
      125	          304 	
      126	          288 	
      127	          290 	
      128	          293 	
      129	          301 	
      130	          292 	
      131	          312 	
      132	          283 	
      133	          274 	
      134	          307 	
      135	          305 	
      136	          328 	
      137	          282 	
      138	          316 	
      139	          287 	
      140	          311 	
      141	          283 	
      142	          293 	
      143	          318 	
      144	          308 	
      145	          290 	
