Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2018-08-06
Time (HH:MM:SS):	13:55:34
Device Name:	SPCM50A
Serial Number:	M00451789
GUI Revision:	1.0 Build 2
Driver Revision:	1.0.1
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	100
Time between Bins [ms]:	10
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	No
Array Measurement Continuously:	non-applicable
Bins per Array:	non-applicable
Active APD Gating:	No
Fan Off:	Yes

Bin Number 	Counts per Bin 	Remarks
        1	          119 	
        2	           99 	
        3	          123 	
        4	          101 	
        5	          120 	
        6	           92 	
        7	          114 	
        8	          120 	
        9	          133 	
       10	          111 	
       11	          100 	
       12	          120 	
       13	          130 	
       14	          109 	
       15	          119 	
       16	          115 	
       17	          113 	
       18	          113 	
       19	          120 	
       20	          122 	
       21	          100 	
       22	          120 	
       23	          120 	
       24	          113 	
       25	          103 	
       26	          108 	
       27	          125 	
       28	          120 	
       29	          122 	
       30	          108 	
       31	           98 	
       32	          101 	
       33	          105 	
       34	          118 	
       35	          108 	
       36	          119 	
       37	          110 	
       38	          106 	
       39	           99 	
       40	          108 	
       41	          104 	
       42	          112 	
       43	          131 	
       44	          122 	
       45	          120 	
       46	           96 	
       47	          108 	
       48	          115 	
       49	          124 	
       50	          118 	
       51	          115 	
       52	          111 	
       53	          116 	
       54	          110 	
       55	          126 	
       56	          127 	
       57	          110 	
       58	          126 	
       59	          101 	
       60	           96 	
       61	          116 	
       62	          101 	
       63	          109 	
       64	          121 	
       65	          116 	
       66	          108 	
       67	          112 	
       68	          119 	
       69	           97 	
       70	           99 	
       71	          105 	
       72	           93 	
       73	          121 	
       74	          116 	
       75	          106 	
       76	          108 	
       77	          115 	
       78	          113 	
       79	          121 	
       80	          110 	
       81	          111 	
       82	          128 	
       83	          101 	
       84	          111 	
       85	          102 	
       86	           85 	
       87	          106 	
       88	          124 	
       89	          122 	
       90	          107 	
       91	           88 	
       92	          120 	
       93	          108 	
       94	          106 	
       95	          109 	
       96	          117 	
       97	          117 	
       98	          143 	
       99	           98 	
      100	          129 	
      101	          101 	
      102	          114 	
      103	           97 	
      104	          104 	
      105	          112 	
      106	          110 	
      107	          120 	
      108	          108 	
      109	          101 	
      110	          106 	
      111	          114 	
      112	          112 	
      113	          105 	
      114	          103 	
      115	          100 	
      116	          119 	
      117	           94 	
      118	          129 	
      119	          123 	
      120	          112 	
      121	          133 	
      122	           93 	
      123	          119 	
      124	          102 	
      125	          119 	
      126	          109 	
      127	          115 	
      128	           97 	
      129	          111 	
      130	          111 	
      131	          108 	
      132	          102 	
      133	          116 	
      134	          121 	
      135	          119 	
      136	           90 	
      137	           96 	
      138	          102 	
      139	           96 	
      140	          101 	
      141	          116 	
      142	          122 	
      143	          120 	
      144	          104 	
      145	          103 	
