Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2018-08-06
Time (HH:MM:SS):	13:55:05
Device Name:	SPCM50A
Serial Number:	M00451789
GUI Revision:	1.0 Build 2
Driver Revision:	1.0.1
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	100
Time between Bins [ms]:	10
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	No
Array Measurement Continuously:	non-applicable
Bins per Array:	non-applicable
Active APD Gating:	No
Fan Off:	Yes

Bin Number 	Counts per Bin 	Remarks
        1	          165 	
        2	          166 	
        3	          163 	
        4	          166 	
        5	          135 	
        6	          148 	
        7	          158 	
        8	          157 	
        9	          161 	
       10	          140 	
       11	          180 	
       12	          171 	
       13	          166 	
       14	          167 	
       15	          158 	
       16	          175 	
       17	          164 	
       18	          171 	
       19	          159 	
       20	          162 	
       21	          159 	
       22	          152 	
       23	          170 	
       24	          161 	
       25	          128 	
       26	          152 	
       27	          163 	
       28	          157 	
       29	          163 	
       30	          159 	
       31	          151 	
       32	          160 	
       33	          157 	
       34	          165 	
       35	          162 	
       36	          155 	
       37	          165 	
       38	          172 	
       39	          153 	
       40	          160 	
       41	          136 	
       42	          157 	
       43	          173 	
       44	          169 	
       45	          153 	
       46	          132 	
       47	          177 	
       48	          153 	
       49	          192 	
       50	          136 	
       51	          183 	
       52	          152 	
       53	          177 	
       54	          144 	
       55	          155 	
       56	          158 	
       57	          157 	
       58	          161 	
       59	          161 	
       60	          168 	
       61	          172 	
       62	          157 	
       63	          171 	
       64	          170 	
       65	          186 	
       66	          169 	
       67	          178 	
       68	          183 	
       69	          162 	
       70	          172 	
       71	          190 	
       72	          160 	
       73	          182 	
       74	          169 	
       75	          192 	
       76	          158 	
       77	          173 	
       78	          157 	
       79	          163 	
       80	          162 	
       81	          166 	
       82	          144 	
       83	          154 	
       84	          180 	
       85	          150 	
       86	          174 	
       87	          147 	
       88	          155 	
       89	          190 	
       90	          157 	
       91	          160 	
       92	          167 	
       93	          177 	
       94	          176 	
       95	          164 	
       96	          167 	
       97	          175 	
       98	          176 	
       99	          165 	
      100	          193 	
      101	          180 	
      102	          153 	
      103	          186 	
      104	          184 	
      105	          161 	
      106	          160 	
      107	          161 	
      108	          165 	
      109	          173 	
      110	          151 	
      111	          191 	
      112	          180 	
      113	          165 	
      114	          169 	
      115	          184 	
      116	          143 	
      117	          172 	
      118	          180 	
      119	          165 	
      120	          164 	
      121	          166 	
      122	          194 	
      123	          140 	
      124	          179 	
      125	          164 	
      126	          146 	
      127	          152 	
      128	          143 	
      129	          174 	
      130	          157 	
      131	          162 	
      132	          172 	
      133	          145 	
      134	          168 	
      135	          154 	
      136	          152 	
      137	          173 	
      138	          190 	
      139	          173 	
      140	          177 	
      141	          160 	
      142	          192 	
      143	          169 	
      144	          147 	
      145	          139 	
