Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2018-08-06
Time (HH:MM:SS):	13:54:40
Device Name:	SPCM50A
Serial Number:	M00451789
GUI Revision:	1.0 Build 2
Driver Revision:	1.0.1
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	100
Time between Bins [ms]:	10
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	No
Array Measurement Continuously:	non-applicable
Bins per Array:	non-applicable
Active APD Gating:	No
Fan Off:	Yes

Bin Number 	Counts per Bin 	Remarks
        1	           88 	
        2	           85 	
        3	           87 	
        4	           93 	
        5	          106 	
        6	           98 	
        7	           84 	
        8	           84 	
        9	          102 	
       10	           91 	
       11	           86 	
       12	           98 	
       13	           87 	
       14	           82 	
       15	           91 	
       16	           85 	
       17	           83 	
       18	           78 	
       19	           77 	
       20	           79 	
       21	           73 	
       22	          110 	
       23	           86 	
       24	           82 	
       25	           80 	
       26	           66 	
       27	           94 	
       28	          106 	
       29	           98 	
       30	           95 	
       31	           87 	
       32	           83 	
       33	           85 	
       34	           86 	
       35	           93 	
       36	           75 	
       37	           90 	
       38	           68 	
       39	           98 	
       40	           77 	
       41	           89 	
       42	           97 	
       43	          104 	
       44	           76 	
       45	           87 	
       46	           86 	
       47	           98 	
       48	           85 	
       49	          108 	
       50	           91 	
       51	           71 	
       52	          100 	
       53	           95 	
       54	           90 	
       55	           84 	
       56	           72 	
       57	          105 	
       58	           94 	
       59	           94 	
       60	          103 	
       61	           85 	
       62	           87 	
       63	           92 	
       64	           93 	
       65	           80 	
       66	           83 	
       67	           94 	
       68	           87 	
       69	          105 	
       70	           82 	
       71	           90 	
       72	           94 	
       73	           88 	
       74	           92 	
       75	           97 	
       76	           91 	
       77	           97 	
       78	           76 	
       79	           88 	
       80	           88 	
       81	           80 	
       82	           84 	
       83	           94 	
       84	           73 	
       85	           87 	
       86	           70 	
       87	           82 	
       88	           82 	
       89	           80 	
       90	           82 	
       91	           86 	
       92	          101 	
       93	           92 	
       94	          102 	
       95	           94 	
       96	           96 	
       97	           99 	
       98	           88 	
       99	           89 	
      100	           93 	
      101	           90 	
      102	           94 	
      103	           77 	
      104	           87 	
      105	           98 	
      106	          101 	
      107	           96 	
      108	           81 	
      109	           71 	
      110	           99 	
      111	           88 	
      112	           94 	
      113	           87 	
      114	           99 	
      115	           83 	
      116	           93 	
      117	           87 	
      118	           86 	
      119	          101 	
      120	          109 	
      121	           98 	
      122	           84 	
      123	           90 	
      124	           77 	
      125	           71 	
      126	           74 	
      127	           82 	
      128	           80 	
      129	           87 	
      130	           86 	
      131	           85 	
      132	          106 	
      133	           86 	
      134	           90 	
      135	           93 	
      136	           94 	
      137	           98 	
      138	           85 	
      139	           96 	
      140	           90 	
      141	           96 	
      142	          103 	
      143	           87 	
      144	           79 	
      145	           75 	
