Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2018-08-06
Time (HH:MM:SS):	13:55:59
Device Name:	SPCM50A
Serial Number:	M00451789
GUI Revision:	1.0 Build 2
Driver Revision:	1.0.1
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	100
Time between Bins [ms]:	10
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	No
Array Measurement Continuously:	non-applicable
Bins per Array:	non-applicable
Active APD Gating:	No
Fan Off:	Yes

Bin Number 	Counts per Bin 	Remarks
        1	          208 	
        2	          231 	
        3	          221 	
        4	          256 	
        5	          244 	
        6	          241 	
        7	          212 	
        8	          207 	
        9	          231 	
       10	          226 	
       11	          221 	
       12	          223 	
       13	          237 	
       14	          223 	
       15	          233 	
       16	          244 	
       17	          241 	
       18	          223 	
       19	          206 	
       20	          233 	
       21	          229 	
       22	          269 	
       23	          271 	
       24	          237 	
       25	          253 	
       26	          225 	
       27	          202 	
       28	          225 	
       29	          204 	
       30	          229 	
       31	          212 	
       32	          240 	
       33	          222 	
       34	          247 	
       35	          220 	
       36	          220 	
       37	          251 	
       38	          231 	
       39	          251 	
       40	          203 	
       41	          227 	
       42	          235 	
       43	          227 	
       44	          235 	
       45	          211 	
       46	          250 	
       47	          219 	
       48	          233 	
       49	          204 	
       50	          238 	
       51	          225 	
       52	          241 	
       53	          243 	
       54	          230 	
       55	          217 	
       56	          223 	
       57	          215 	
       58	          237 	
       59	          237 	
       60	          236 	
       61	          201 	
       62	          240 	
       63	          215 	
       64	          240 	
       65	          223 	
       66	          223 	
       67	          204 	
       68	          242 	
       69	          199 	
       70	          198 	
       71	          231 	
       72	          244 	
       73	          216 	
       74	          219 	
       75	          197 	
       76	          236 	
       77	          206 	
       78	          220 	
       79	          234 	
       80	          249 	
       81	          208 	
       82	          222 	
       83	          228 	
       84	          212 	
       85	          226 	
       86	          211 	
       87	          210 	
       88	          223 	
       89	          206 	
       90	          195 	
       91	          209 	
       92	          209 	
       93	          226 	
       94	          221 	
       95	          242 	
       96	          187 	
       97	          232 	
       98	          217 	
       99	          204 	
      100	          244 	
      101	          236 	
      102	          198 	
      103	          186 	
      104	          206 	
      105	          227 	
      106	          211 	
      107	          218 	
      108	          211 	
      109	          214 	
      110	          202 	
      111	          225 	
      112	          216 	
      113	          212 	
      114	          187 	
      115	          187 	
      116	          189 	
      117	          211 	
      118	          183 	
      119	          212 	
      120	          236 	
      121	          210 	
      122	          210 	
      123	          219 	
      124	          204 	
      125	          211 	
      126	          226 	
      127	          233 	
      128	          196 	
      129	          236 	
      130	          189 	
      131	          222 	
      132	          220 	
      133	          212 	
      134	          209 	
      135	          219 	
      136	          214 	
      137	          211 	
      138	          231 	
      139	          217 	
      140	          237 	
      141	          234 	
      142	          196 	
      143	          237 	
      144	          208 	
      145	          223 	
