Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2018-08-06
Time (HH:MM:SS):	13:16:01
Device Name:	SPCM50A
Serial Number:	M00451789
GUI Revision:	1.0 Build 2
Driver Revision:	1.0.1
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	100
Time between Bins [ms]:	10
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	No
Array Measurement Continuously:	non-applicable
Bins per Array:	non-applicable
Active APD Gating:	No
Fan Off:	Yes

Bin Number 	Counts per Bin 	Remarks
        1	          150 	
        2	          177 	
        3	          164 	
        4	          176 	
        5	          155 	
        6	          145 	
        7	          177 	
        8	          137 	
        9	          167 	
       10	          183 	
       11	          162 	
       12	          171 	
       13	          155 	
       14	          131 	
       15	          158 	
       16	          146 	
       17	          163 	
       18	          169 	
       19	          153 	
       20	          161 	
       21	          153 	
       22	          162 	
       23	          162 	
       24	          160 	
       25	          162 	
       26	          166 	
       27	          157 	
       28	          169 	
       29	          145 	
       30	          163 	
       31	          159 	
       32	          158 	
       33	          168 	
       34	          154 	
       35	          171 	
       36	          150 	
       37	          161 	
       38	          155 	
       39	          153 	
       40	          159 	
       41	          165 	
       42	          170 	
       43	          164 	
       44	          156 	
       45	          182 	
       46	          173 	
       47	          157 	
       48	          149 	
       49	          161 	
       50	          147 	
       51	          155 	
       52	          150 	
       53	          154 	
       54	          142 	
       55	          171 	
       56	          168 	
       57	          169 	
       58	          157 	
       59	          148 	
       60	          185 	
       61	          178 	
       62	          167 	
       63	          156 	
       64	          164 	
       65	          145 	
       66	          170 	
       67	          156 	
       68	          142 	
       69	          161 	
       70	          170 	
       71	          173 	
       72	          133 	
       73	          137 	
       74	          165 	
       75	          170 	
       76	          166 	
       77	          160 	
       78	          145 	
       79	          171 	
       80	          163 	
       81	          151 	
       82	          138 	
       83	          116 	
       84	          136 	
       85	          163 	
       86	          158 	
       87	          154 	
       88	          138 	
       89	          148 	
       90	          148 	
       91	          158 	
       92	          130 	
       93	          146 	
       94	          149 	
       95	          162 	
       96	          152 	
       97	          157 	
       98	          159 	
       99	          160 	
      100	          136 	
      101	          148 	
      102	          161 	
      103	          181 	
      104	          154 	
      105	          166 	
      106	          163 	
      107	          162 	
      108	          144 	
      109	          165 	
      110	          172 	
      111	          180 	
      112	          171 	
      113	          157 	
      114	          167 	
      115	          171 	
      116	          161 	
      117	          142 	
      118	          151 	
      119	          157 	
      120	          136 	
      121	          136 	
      122	          147 	
      123	          164 	
      124	          139 	
      125	          139 	
      126	          166 	
      127	          162 	
      128	          138 	
      129	          148 	
      130	          147 	
      131	          150 	
      132	          169 	
      133	          144 	
      134	          155 	
      135	          168 	
      136	          132 	
      137	          178 	
      138	          149 	
      139	          146 	
      140	          148 	
      141	          150 	
      142	          130 	
      143	          142 	
      144	          137 	
      145	          155 	
