Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2018-08-06
Time (HH:MM:SS):	13:16:31
Device Name:	SPCM50A
Serial Number:	M00451789
GUI Revision:	1.0 Build 2
Driver Revision:	1.0.1
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	100
Time between Bins [ms]:	10
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	No
Array Measurement Continuously:	non-applicable
Bins per Array:	non-applicable
Active APD Gating:	No
Fan Off:	Yes

Bin Number 	Counts per Bin 	Remarks
        1	          284 	
        2	          286 	
        3	          279 	
        4	          282 	
        5	          319 	
        6	          281 	
        7	          303 	
        8	          297 	
        9	          305 	
       10	          311 	
       11	          288 	
       12	          300 	
       13	          329 	
       14	          290 	
       15	          306 	
       16	          306 	
       17	          312 	
       18	          271 	
       19	          289 	
       20	          309 	
       21	          293 	
       22	          298 	
       23	          257 	
       24	          325 	
       25	          307 	
       26	          261 	
       27	          320 	
       28	          292 	
       29	          307 	
       30	          297 	
       31	          317 	
       32	          295 	
       33	          332 	
       34	          306 	
       35	          310 	
       36	          318 	
       37	          285 	
       38	          291 	
       39	          313 	
       40	          335 	
       41	          286 	
       42	          300 	
       43	          286 	
       44	          295 	
       45	          333 	
       46	          294 	
       47	          273 	
       48	          307 	
       49	          314 	
       50	          281 	
       51	          305 	
       52	          286 	
       53	          271 	
       54	          297 	
       55	          322 	
       56	          278 	
       57	          297 	
       58	          312 	
       59	          274 	
       60	          280 	
       61	          286 	
       62	          281 	
       63	          336 	
       64	          303 	
       65	          292 	
       66	          308 	
       67	          307 	
       68	          311 	
       69	          298 	
       70	          309 	
       71	          326 	
       72	          275 	
       73	          333 	
       74	          283 	
       75	          304 	
       76	          303 	
       77	          300 	
       78	          288 	
       79	          293 	
       80	          307 	
       81	          280 	
       82	          297 	
       83	          304 	
       84	          322 	
       85	          303 	
       86	          283 	
       87	          314 	
       88	          306 	
       89	          278 	
       90	          309 	
       91	          281 	
       92	          298 	
       93	          270 	
       94	          274 	
       95	          338 	
       96	          301 	
       97	          315 	
       98	          337 	
       99	          287 	
      100	          282 	
      101	          305 	
      102	          318 	
      103	          302 	
      104	          305 	
      105	          298 	
      106	          312 	
      107	          336 	
      108	          298 	
      109	          292 	
      110	          304 	
      111	          306 	
      112	          311 	
      113	          300 	
      114	          330 	
      115	          339 	
      116	          344 	
      117	          352 	
      118	          353 	
      119	          332 	
      120	          300 	
      121	          294 	
      122	          297 	
      123	          315 	
      124	          305 	
      125	          288 	
      126	          302 	
      127	          310 	
      128	          330 	
      129	          294 	
      130	          287 	
      131	          310 	
      132	          282 	
      133	          303 	
      134	          314 	
      135	          303 	
      136	          314 	
      137	          344 	
      138	          308 	
      139	          298 	
      140	          318 	
      141	          279 	
      142	          301 	
      143	          313 	
      144	          319 	
      145	          277 	
