Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2018-08-06
Time (HH:MM:SS):	13:32:53
Device Name:	SPCM50A
Serial Number:	M00451789
GUI Revision:	1.0 Build 2
Driver Revision:	1.0.1
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	100
Time between Bins [ms]:	10
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	No
Array Measurement Continuously:	non-applicable
Bins per Array:	non-applicable
Active APD Gating:	No
Fan Off:	Yes

Bin Number 	Counts per Bin 	Remarks
        1	            5 	
        2	            9 	
        3	           10 	
        4	            5 	
        5	            4 	
        6	            9 	
        7	            2 	
        8	            5 	
        9	            9 	
       10	            5 	
       11	            6 	
       12	            7 	
       13	            5 	
       14	            4 	
       15	            6 	
       16	            5 	
       17	            5 	
       18	            2 	
       19	            6 	
       20	            9 	
       21	           11 	
       22	            7 	
       23	           10 	
       24	            4 	
       25	            6 	
       26	           13 	
       27	            4 	
       28	            9 	
       29	           10 	
       30	            4 	
       31	            3 	
       32	           12 	
       33	            9 	
       34	            6 	
       35	            7 	
       36	            7 	
       37	            6 	
       38	            6 	
       39	            4 	
       40	            5 	
       41	            8 	
       42	            4 	
       43	           14 	
       44	            8 	
       45	            7 	
       46	            8 	
       47	            6 	
       48	            6 	
       49	            5 	
       50	            9 	
       51	            7 	
       52	           12 	
       53	           11 	
       54	            8 	
       55	           13 	
       56	            8 	
       57	            5 	
       58	            5 	
       59	           10 	
       60	            8 	
       61	           10 	
       62	            2 	
       63	            8 	
       64	            8 	
       65	            6 	
       66	           11 	
       67	            4 	
       68	            5 	
       69	            6 	
       70	            8 	
       71	            9 	
       72	            9 	
       73	            6 	
       74	            5 	
       75	           11 	
       76	            8 	
       77	            5 	
       78	            4 	
       79	            9 	
       80	            5 	
       81	            7 	
       82	            8 	
       83	            7 	
       84	            7 	
       85	            3 	
       86	            7 	
       87	            7 	
       88	            8 	
       89	            9 	
       90	            6 	
       91	            7 	
       92	           11 	
       93	            7 	
       94	            7 	
       95	            9 	
       96	            2 	
       97	            5 	
       98	            4 	
       99	            7 	
      100	           10 	
      101	            9 	
      102	            8 	
      103	            7 	
      104	            4 	
      105	            6 	
      106	            8 	
      107	            9 	
      108	            7 	
      109	           13 	
      110	           14 	
      111	            6 	
      112	            3 	
      113	            6 	
      114	            7 	
      115	            8 	
      116	            3 	
      117	           13 	
      118	            8 	
      119	           13 	
      120	            6 	
      121	            8 	
      122	            6 	
      123	            6 	
      124	            7 	
      125	            6 	
      126	            9 	
      127	            8 	
      128	            8 	
      129	            5 	
      130	           12 	
      131	            7 	
      132	           10 	
      133	           16 	
      134	            9 	
      135	            4 	
      136	            3 	
      137	            4 	
      138	            4 	
      139	            5 	
      140	            5 	
      141	            9 	
      142	            8 	
      143	            6 	
      144	            9 	
      145	            7 	
