Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2018-08-06
Time (HH:MM:SS):	13:33:18
Device Name:	SPCM50A
Serial Number:	M00451789
GUI Revision:	1.0 Build 2
Driver Revision:	1.0.1
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	100
Time between Bins [ms]:	10
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	No
Array Measurement Continuously:	non-applicable
Bins per Array:	non-applicable
Active APD Gating:	No
Fan Off:	Yes

Bin Number 	Counts per Bin 	Remarks
        1	            3 	
        2	            6 	
        3	            2 	
        4	           14 	
        5	            9 	
        6	            6 	
        7	            6 	
        8	            8 	
        9	            9 	
       10	            7 	
       11	            9 	
       12	            9 	
       13	           11 	
       14	            9 	
       15	            4 	
       16	           14 	
       17	           13 	
       18	            7 	
       19	            6 	
       20	            9 	
       21	           10 	
       22	            9 	
       23	            7 	
       24	            6 	
       25	            8 	
       26	            5 	
       27	            5 	
       28	           11 	
       29	           10 	
       30	           13 	
       31	            4 	
       32	            4 	
       33	            2 	
       34	            7 	
       35	            8 	
       36	           11 	
       37	            9 	
       38	            6 	
       39	            8 	
       40	            6 	
       41	            8 	
       42	            4 	
       43	            5 	
       44	            6 	
       45	           10 	
       46	            8 	
       47	            6 	
       48	            6 	
       49	            7 	
       50	            7 	
       51	            7 	
       52	            4 	
       53	            5 	
       54	            7 	
       55	           13 	
       56	            4 	
       57	            8 	
       58	            4 	
       59	            4 	
       60	           11 	
       61	            8 	
       62	            8 	
       63	            6 	
       64	           11 	
       65	            8 	
       66	            4 	
       67	            8 	
       68	            8 	
       69	            9 	
       70	            4 	
       71	            8 	
       72	           10 	
       73	            7 	
       74	            4 	
       75	            2 	
       76	            2 	
       77	            4 	
       78	            3 	
       79	            7 	
       80	            5 	
       81	           11 	
       82	            8 	
       83	            2 	
       84	            3 	
       85	            8 	
       86	            7 	
       87	            6 	
       88	            4 	
       89	            9 	
       90	            8 	
       91	            4 	
       92	            3 	
       93	           11 	
       94	           10 	
       95	            8 	
       96	           10 	
       97	            4 	
       98	            5 	
       99	            5 	
      100	            6 	
      101	            8 	
      102	            6 	
      103	            7 	
      104	           11 	
      105	            7 	
      106	            8 	
      107	            5 	
      108	            9 	
      109	            5 	
      110	            6 	
      111	           13 	
      112	           11 	
      113	           10 	
      114	            4 	
      115	            6 	
      116	            9 	
      117	            6 	
      118	            7 	
      119	            6 	
      120	            5 	
      121	           11 	
      122	           11 	
      123	            8 	
      124	            4 	
      125	            6 	
      126	           12 	
      127	            3 	
      128	            8 	
      129	            2 	
      130	           10 	
      131	            6 	
      132	            9 	
      133	            5 	
      134	            8 	
      135	            7 	
      136	            8 	
      137	            9 	
      138	            8 	
      139	            6 	
      140	           13 	
      141	            6 	
      142	            2 	
      143	            7 	
      144	            9 	
      145	            3 	
