Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2018-08-06
Time (HH:MM:SS):	13:35:14
Device Name:	SPCM50A
Serial Number:	M00451789
GUI Revision:	1.0 Build 2
Driver Revision:	1.0.1
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	100
Time between Bins [ms]:	10
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	No
Array Measurement Continuously:	non-applicable
Bins per Array:	non-applicable
Active APD Gating:	No
Fan Off:	Yes

Bin Number 	Counts per Bin 	Remarks
        1	          416 	
        2	          377 	
        3	          395 	
        4	          370 	
        5	          411 	
        6	          417 	
        7	          423 	
        8	          415 	
        9	          440 	
       10	          416 	
       11	          395 	
       12	          436 	
       13	          358 	
       14	          439 	
       15	          387 	
       16	          436 	
       17	          408 	
       18	          414 	
       19	          405 	
       20	          421 	
       21	          401 	
       22	          407 	
       23	          413 	
       24	          444 	
       25	          485 	
       26	          413 	
       27	          398 	
       28	          451 	
       29	          375 	
       30	          433 	
       31	          430 	
       32	          409 	
       33	          429 	
       34	          395 	
       35	          389 	
       36	          454 	
       37	          423 	
       38	          426 	
       39	          411 	
       40	          410 	
       41	          403 	
       42	          413 	
       43	          407 	
       44	          428 	
       45	          377 	
       46	          398 	
       47	          398 	
       48	          435 	
       49	          418 	
       50	          384 	
       51	          453 	
       52	          375 	
       53	          437 	
       54	          410 	
       55	          424 	
       56	          435 	
       57	          459 	
       58	          448 	
       59	          434 	
       60	          427 	
       61	          393 	
       62	          431 	
       63	          424 	
       64	          438 	
       65	          399 	
       66	          435 	
       67	          386 	
       68	          428 	
       69	          401 	
       70	          403 	
       71	          433 	
       72	          392 	
       73	          393 	
       74	          428 	
       75	          411 	
       76	          390 	
       77	          450 	
       78	          407 	
       79	          372 	
       80	          422 	
       81	          401 	
       82	          387 	
       83	          394 	
       84	          393 	
       85	          430 	
       86	          382 	
       87	          386 	
       88	          388 	
       89	          426 	
       90	          403 	
       91	          401 	
       92	          401 	
       93	          342 	
       94	          399 	
       95	          392 	
       96	          375 	
       97	          411 	
       98	          425 	
       99	          416 	
      100	          359 	
      101	          442 	
      102	          410 	
      103	          381 	
      104	          404 	
      105	          392 	
      106	          402 	
      107	          394 	
      108	          397 	
      109	          420 	
      110	          403 	
      111	          425 	
      112	          429 	
      113	          419 	
      114	          386 	
      115	          387 	
      116	          396 	
      117	          371 	
      118	          393 	
      119	          450 	
      120	          417 	
      121	          387 	
      122	          412 	
      123	          458 	
      124	          407 	
      125	          393 	
      126	          434 	
      127	          387 	
      128	          407 	
      129	          431 	
      130	          406 	
      131	          410 	
      132	          403 	
      133	          437 	
      134	          411 	
      135	          402 	
      136	          382 	
      137	          395 	
      138	          395 	
      139	          371 	
      140	          415 	
      141	          373 	
      142	          422 	
      143	          366 	
      144	          369 	
      145	          389 	
