Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2018-08-06
Time (HH:MM:SS):	13:36:41
Device Name:	SPCM50A
Serial Number:	M00451789
GUI Revision:	1.0 Build 2
Driver Revision:	1.0.1
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	100
Time between Bins [ms]:	10
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	No
Array Measurement Continuously:	non-applicable
Bins per Array:	non-applicable
Active APD Gating:	No
Fan Off:	Yes

Bin Number 	Counts per Bin 	Remarks
        1	          258 	
        2	          253 	
        3	          242 	
        4	          248 	
        5	          270 	
        6	          270 	
        7	          266 	
        8	          277 	
        9	          272 	
       10	          278 	
       11	          240 	
       12	          278 	
       13	          264 	
       14	          276 	
       15	          248 	
       16	          261 	
       17	          235 	
       18	          260 	
       19	          272 	
       20	          290 	
       21	          267 	
       22	          265 	
       23	          257 	
       24	          226 	
       25	          275 	
       26	          263 	
       27	          252 	
       28	          251 	
       29	          250 	
       30	          236 	
       31	          266 	
       32	          290 	
       33	          234 	
       34	          255 	
       35	          276 	
       36	          243 	
       37	          253 	
       38	          310 	
       39	          262 	
       40	          259 	
       41	          280 	
       42	          268 	
       43	          256 	
       44	          261 	
       45	          274 	
       46	          260 	
       47	          241 	
       48	          248 	
       49	          268 	
       50	          256 	
       51	          270 	
       52	          273 	
       53	          286 	
       54	          283 	
       55	          240 	
       56	          269 	
       57	          270 	
       58	          237 	
       59	          247 	
       60	          278 	
       61	          246 	
       62	          257 	
       63	          250 	
       64	          249 	
       65	          283 	
       66	          258 	
       67	          265 	
       68	          295 	
       69	          275 	
       70	          271 	
       71	          253 	
       72	          299 	
       73	          273 	
       74	          261 	
       75	          257 	
       76	          249 	
       77	          256 	
       78	          266 	
       79	          248 	
       80	          269 	
       81	          276 	
       82	          233 	
       83	          281 	
       84	          253 	
       85	          251 	
       86	          278 	
       87	          269 	
       88	          259 	
       89	          252 	
       90	          252 	
       91	          261 	
       92	          262 	
       93	          264 	
       94	          268 	
       95	          282 	
       96	          279 	
       97	          252 	
       98	          253 	
       99	          271 	
      100	          263 	
      101	          260 	
      102	          278 	
      103	          302 	
      104	          276 	
      105	          250 	
      106	          224 	
      107	          283 	
      108	          254 	
      109	          289 	
      110	          250 	
      111	          265 	
      112	          258 	
      113	          243 	
      114	          256 	
      115	          234 	
      116	          257 	
      117	          243 	
      118	          251 	
      119	          267 	
      120	          252 	
      121	          237 	
      122	          280 	
      123	          249 	
      124	          261 	
      125	          282 	
      126	          280 	
      127	          274 	
      128	          249 	
      129	          236 	
      130	          295 	
      131	          220 	
      132	          264 	
      133	          279 	
      134	          259 	
      135	          263 	
      136	          242 	
      137	          272 	
      138	          242 	
      139	          244 	
      140	          261 	
      141	          244 	
      142	          241 	
      143	          243 	
      144	          251 	
      145	          264 	
