Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2018-08-06
Time (HH:MM:SS):	14:09:06
Device Name:	SPCM50A
Serial Number:	M00451789
GUI Revision:	1.0 Build 2
Driver Revision:	1.0.1
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	100
Time between Bins [ms]:	10
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	No
Array Measurement Continuously:	non-applicable
Bins per Array:	non-applicable
Active APD Gating:	No
Fan Off:	Yes

Bin Number 	Counts per Bin 	Remarks
        1	          158 	
        2	          133 	
        3	          195 	
        4	          144 	
        5	          170 	
        6	          158 	
        7	          159 	
        8	          193 	
        9	          151 	
       10	          169 	
       11	          166 	
       12	          141 	
       13	          152 	
       14	          180 	
       15	          174 	
       16	          156 	
       17	          135 	
       18	          162 	
       19	          169 	
       20	          150 	
       21	          141 	
       22	          141 	
       23	          138 	
       24	          161 	
       25	          146 	
       26	          157 	
       27	          148 	
       28	          149 	
       29	          189 	
       30	          162 	
       31	          157 	
       32	          174 	
       33	          160 	
       34	          173 	
       35	          190 	
       36	          178 	
       37	          157 	
       38	          162 	
       39	          179 	
       40	          165 	
       41	          175 	
       42	          172 	
       43	          180 	
       44	          161 	
       45	          176 	
       46	          162 	
       47	          178 	
       48	          156 	
       49	          145 	
       50	          145 	
       51	          172 	
       52	          194 	
       53	          154 	
       54	          174 	
       55	          206 	
       56	          187 	
       57	          168 	
       58	          166 	
       59	          192 	
       60	          173 	
       61	          162 	
       62	          169 	
       63	          170 	
       64	          159 	
       65	          187 	
       66	          180 	
       67	          156 	
       68	          164 	
       69	          166 	
       70	          167 	
       71	          151 	
       72	          165 	
       73	          181 	
       74	          145 	
       75	          161 	
       76	          162 	
       77	          167 	
       78	          155 	
       79	          164 	
       80	          149 	
       81	          168 	
       82	          170 	
       83	          152 	
       84	          170 	
       85	          186 	
       86	          164 	
       87	          168 	
       88	          160 	
       89	          162 	
       90	          180 	
       91	          173 	
       92	          154 	
       93	          169 	
       94	          171 	
       95	          170 	
       96	          162 	
       97	          174 	
       98	          172 	
       99	          151 	
      100	          158 	
      101	          178 	
      102	          160 	
      103	          159 	
      104	          168 	
      105	          155 	
      106	          164 	
      107	          167 	
      108	          148 	
      109	          151 	
      110	          157 	
      111	          164 	
      112	          190 	
      113	          143 	
      114	          171 	
      115	          150 	
      116	          161 	
      117	          179 	
      118	          145 	
      119	          156 	
      120	          170 	
      121	          182 	
      122	          174 	
      123	          148 	
      124	          146 	
      125	          172 	
      126	          173 	
      127	          157 	
      128	          155 	
      129	          150 	
      130	          183 	
      131	          145 	
      132	          145 	
      133	          170 	
      134	          165 	
      135	          160 	
      136	          156 	
      137	          175 	
      138	          172 	
      139	          179 	
      140	          141 	
      141	          165 	
      142	          172 	
      143	          161 	
      144	          144 	
      145	          172 	
