Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2018-08-06
Time (HH:MM:SS):	14:08:35
Device Name:	SPCM50A
Serial Number:	M00451789
GUI Revision:	1.0 Build 2
Driver Revision:	1.0.1
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	100
Time between Bins [ms]:	10
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	No
Array Measurement Continuously:	non-applicable
Bins per Array:	non-applicable
Active APD Gating:	No
Fan Off:	Yes

Bin Number 	Counts per Bin 	Remarks
        1	          545 	
        2	          523 	
        3	          544 	
        4	          510 	
        5	          528 	
        6	          553 	
        7	          524 	
        8	          571 	
        9	          522 	
       10	          560 	
       11	          521 	
       12	          514 	
       13	          535 	
       14	          536 	
       15	          503 	
       16	          579 	
       17	          547 	
       18	          527 	
       19	          556 	
       20	          550 	
       21	          556 	
       22	          580 	
       23	          537 	
       24	          490 	
       25	          535 	
       26	          513 	
       27	          531 	
       28	          531 	
       29	          523 	
       30	          510 	
       31	          525 	
       32	          518 	
       33	          508 	
       34	          522 	
       35	          516 	
       36	          497 	
       37	          537 	
       38	          553 	
       39	          486 	
       40	          524 	
       41	          516 	
       42	          522 	
       43	          520 	
       44	          539 	
       45	          547 	
       46	          516 	
       47	          546 	
       48	          538 	
       49	          468 	
       50	          459 	
       51	          501 	
       52	          504 	
       53	          491 	
       54	          470 	
       55	          470 	
       56	          507 	
       57	          505 	
       58	          483 	
       59	          488 	
       60	          519 	
       61	          477 	
       62	          539 	
       63	          520 	
       64	          507 	
       65	          495 	
       66	          544 	
       67	          558 	
       68	          531 	
       69	          516 	
       70	          513 	
       71	          552 	
       72	          549 	
       73	          509 	
       74	          531 	
       75	          554 	
       76	          551 	
       77	          530 	
       78	          552 	
       79	          502 	
       80	          494 	
       81	          521 	
       82	          509 	
       83	          511 	
       84	          522 	
       85	          485 	
       86	          567 	
       87	          506 	
       88	          548 	
       89	          511 	
       90	          514 	
       91	          481 	
       92	          533 	
       93	          526 	
       94	          506 	
       95	          476 	
       96	          561 	
       97	          449 	
       98	          493 	
       99	          489 	
      100	          513 	
      101	          471 	
      102	          498 	
      103	          509 	
      104	          465 	
      105	          541 	
      106	          566 	
      107	          510 	
      108	          459 	
      109	          486 	
      110	          469 	
      111	          514 	
      112	          479 	
      113	          444 	
      114	          532 	
      115	          489 	
      116	          487 	
      117	          479 	
      118	          445 	
      119	          531 	
      120	          531 	
      121	          514 	
      122	          509 	
      123	          494 	
      124	          505 	
      125	          527 	
      126	          533 	
      127	          526 	
      128	          492 	
      129	          536 	
      130	          501 	
      131	          477 	
      132	          531 	
      133	          496 	
      134	          501 	
      135	          509 	
      136	          521 	
      137	          473 	
      138	          482 	
      139	          476 	
      140	          503 	
      141	          507 	
      142	          493 	
      143	          499 	
      144	          439 	
      145	          506 	
