Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2018-08-06
Time (HH:MM:SS):	14:10:29
Device Name:	SPCM50A
Serial Number:	M00451789
GUI Revision:	1.0 Build 2
Driver Revision:	1.0.1
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	100
Time between Bins [ms]:	10
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	No
Array Measurement Continuously:	non-applicable
Bins per Array:	non-applicable
Active APD Gating:	No
Fan Off:	Yes

Bin Number 	Counts per Bin 	Remarks
        1	          437 	
        2	          417 	
        3	          421 	
        4	          408 	
        5	          401 	
        6	          386 	
        7	          413 	
        8	          380 	
        9	          415 	
       10	          441 	
       11	          353 	
       12	          420 	
       13	          427 	
       14	          408 	
       15	          417 	
       16	          423 	
       17	          425 	
       18	          384 	
       19	          401 	
       20	          369 	
       21	          396 	
       22	          408 	
       23	          419 	
       24	          407 	
       25	          400 	
       26	          452 	
       27	          392 	
       28	          396 	
       29	          399 	
       30	          396 	
       31	          386 	
       32	          382 	
       33	          373 	
       34	          405 	
       35	          392 	
       36	          402 	
       37	          384 	
       38	          395 	
       39	          393 	
       40	          404 	
       41	          377 	
       42	          396 	
       43	          408 	
       44	          400 	
       45	          427 	
       46	          401 	
       47	          365 	
       48	          369 	
       49	          379 	
       50	          356 	
       51	          412 	
       52	          378 	
       53	          381 	
       54	          415 	
       55	          384 	
       56	          385 	
       57	          392 	
       58	          384 	
       59	          392 	
       60	          420 	
       61	          395 	
       62	          362 	
       63	          374 	
       64	          402 	
       65	          404 	
       66	          398 	
       67	          396 	
       68	          401 	
       69	          404 	
       70	          392 	
       71	          400 	
       72	          404 	
       73	          410 	
       74	          402 	
       75	          456 	
       76	          410 	
       77	          432 	
       78	          410 	
       79	          382 	
       80	          427 	
       81	          409 	
       82	          397 	
       83	          406 	
       84	          449 	
       85	          437 	
       86	          388 	
       87	          380 	
       88	          441 	
       89	          404 	
       90	          389 	
       91	          362 	
       92	          363 	
       93	          382 	
       94	          382 	
       95	          404 	
       96	          398 	
       97	          381 	
       98	          405 	
       99	          414 	
      100	          446 	
      101	          443 	
      102	          437 	
      103	          406 	
      104	          406 	
      105	          445 	
      106	          392 	
      107	          417 	
      108	          424 	
      109	          386 	
      110	          411 	
      111	          411 	
      112	          378 	
      113	          377 	
      114	          370 	
      115	          408 	
      116	          433 	
      117	          438 	
      118	          401 	
      119	          405 	
      120	          406 	
      121	          427 	
      122	          398 	
      123	          388 	
      124	          416 	
      125	          426 	
      126	          406 	
      127	          405 	
      128	          349 	
      129	          391 	
      130	          378 	
      131	          420 	
      132	          420 	
      133	          414 	
      134	          426 	
      135	          401 	
      136	          407 	
      137	          394 	
      138	          408 	
      139	          436 	
      140	          394 	
      141	          414 	
      142	          386 	
      143	          413 	
      144	          365 	
      145	          401 	
