Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2018-08-06
Time (HH:MM:SS):	14:10:01
Device Name:	SPCM50A
Serial Number:	M00451789
GUI Revision:	1.0 Build 2
Driver Revision:	1.0.1
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	100
Time between Bins [ms]:	10
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	No
Array Measurement Continuously:	non-applicable
Bins per Array:	non-applicable
Active APD Gating:	No
Fan Off:	Yes

Bin Number 	Counts per Bin 	Remarks
        1	          721 	
        2	          689 	
        3	          700 	
        4	          713 	
        5	          772 	
        6	          726 	
        7	          735 	
        8	          772 	
        9	          764 	
       10	          774 	
       11	          740 	
       12	          770 	
       13	          755 	
       14	          762 	
       15	          809 	
       16	          761 	
       17	          758 	
       18	          737 	
       19	          745 	
       20	          772 	
       21	          780 	
       22	          714 	
       23	          738 	
       24	          758 	
       25	          769 	
       26	          794 	
       27	          767 	
       28	          776 	
       29	          779 	
       30	          735 	
       31	          691 	
       32	          717 	
       33	          754 	
       34	          726 	
       35	          695 	
       36	          729 	
       37	          702 	
       38	          736 	
       39	          743 	
       40	          724 	
       41	          736 	
       42	          723 	
       43	          742 	
       44	          748 	
       45	          749 	
       46	          757 	
       47	          815 	
       48	          739 	
       49	          713 	
       50	          744 	
       51	          773 	
       52	          713 	
       53	          770 	
       54	          737 	
       55	          730 	
       56	          731 	
       57	          741 	
       58	          725 	
       59	          729 	
       60	          754 	
       61	          763 	
       62	          713 	
       63	          742 	
       64	          734 	
       65	          707 	
       66	          740 	
       67	          728 	
       68	          746 	
       69	          746 	
       70	          771 	
       71	          769 	
       72	          751 	
       73	          757 	
       74	          817 	
       75	          748 	
       76	          735 	
       77	          684 	
       78	          755 	
       79	          730 	
       80	          736 	
       81	          736 	
       82	          786 	
       83	          742 	
       84	          748 	
       85	          686 	
       86	          747 	
       87	          754 	
       88	          714 	
       89	          751 	
       90	          777 	
       91	          784 	
       92	          727 	
       93	          807 	
       94	          782 	
       95	          745 	
       96	          751 	
       97	          707 	
       98	          771 	
       99	          765 	
      100	          758 	
      101	          795 	
      102	          754 	
      103	          811 	
      104	          784 	
      105	          724 	
      106	          732 	
      107	          745 	
      108	          744 	
      109	          792 	
      110	          804 	
      111	          758 	
      112	          733 	
      113	          831 	
      114	          770 	
      115	          776 	
      116	          766 	
      117	          790 	
      118	          772 	
      119	          736 	
      120	          791 	
      121	          768 	
      122	          783 	
      123	          731 	
      124	          763 	
      125	          721 	
      126	          762 	
      127	          757 	
      128	          753 	
      129	          747 	
      130	          779 	
      131	          765 	
      132	          800 	
      133	          745 	
      134	          782 	
      135	          785 	
      136	          743 	
      137	          783 	
      138	          794 	
      139	          817 	
      140	          777 	
      141	          806 	
      142	          720 	
      143	          754 	
      144	          782 	
      145	          778 	
