Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2018-08-06
Time (HH:MM:SS):	14:09:36
Device Name:	SPCM50A
Serial Number:	M00451789
GUI Revision:	1.0 Build 2
Driver Revision:	1.0.1
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	100
Time between Bins [ms]:	10
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	No
Array Measurement Continuously:	non-applicable
Bins per Array:	non-applicable
Active APD Gating:	No
Fan Off:	Yes

Bin Number 	Counts per Bin 	Remarks
        1	           17 	
        2	           17 	
        3	           14 	
        4	           18 	
        5	           18 	
        6	           25 	
        7	           11 	
        8	           17 	
        9	           16 	
       10	           25 	
       11	           10 	
       12	           10 	
       13	           14 	
       14	            9 	
       15	           24 	
       16	           14 	
       17	           20 	
       18	           22 	
       19	           20 	
       20	           13 	
       21	           24 	
       22	           10 	
       23	           26 	
       24	           24 	
       25	           11 	
       26	           12 	
       27	           16 	
       28	           14 	
       29	           21 	
       30	           11 	
       31	           23 	
       32	           24 	
       33	           12 	
       34	           11 	
       35	           14 	
       36	           19 	
       37	           23 	
       38	           15 	
       39	           13 	
       40	           17 	
       41	           21 	
       42	           21 	
       43	           21 	
       44	           15 	
       45	           18 	
       46	           17 	
       47	           16 	
       48	           21 	
       49	           18 	
       50	           13 	
       51	           13 	
       52	           16 	
       53	           19 	
       54	           17 	
       55	           25 	
       56	           18 	
       57	           17 	
       58	           13 	
       59	           11 	
       60	           18 	
       61	           17 	
       62	           13 	
       63	           11 	
       64	           16 	
       65	            7 	
       66	           16 	
       67	           15 	
       68	           12 	
       69	           19 	
       70	           14 	
       71	           14 	
       72	           18 	
       73	           11 	
       74	           19 	
       75	           16 	
       76	           13 	
       77	           17 	
       78	            5 	
       79	            8 	
       80	           16 	
       81	           15 	
       82	           12 	
       83	            8 	
       84	           21 	
       85	           15 	
       86	           12 	
       87	           20 	
       88	           21 	
       89	           23 	
       90	           10 	
       91	           16 	
       92	           20 	
       93	           19 	
       94	           25 	
       95	           20 	
       96	           18 	
       97	           20 	
       98	           24 	
       99	           16 	
      100	           14 	
      101	           23 	
      102	           13 	
      103	           12 	
      104	            7 	
      105	           15 	
      106	           13 	
      107	           11 	
      108	           11 	
      109	           11 	
      110	           24 	
      111	           16 	
      112	           14 	
      113	           17 	
      114	           18 	
      115	           20 	
      116	           14 	
      117	           12 	
      118	           20 	
      119	           16 	
      120	           17 	
      121	           13 	
      122	           15 	
      123	           14 	
      124	           14 	
      125	           12 	
      126	           21 	
      127	           21 	
      128	           11 	
      129	           19 	
      130	           18 	
      131	            9 	
      132	           17 	
      133	           12 	
      134	           24 	
      135	            9 	
      136	           19 	
      137	            9 	
      138	            6 	
      139	           15 	
      140	           20 	
      141	           17 	
      142	            7 	
      143	           12 	
      144	           16 	
      145	           10 	
