Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2018-08-06
Time (HH:MM:SS):	14:10:54
Device Name:	SPCM50A
Serial Number:	M00451789
GUI Revision:	1.0 Build 2
Driver Revision:	1.0.1
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	100
Time between Bins [ms]:	10
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	No
Array Measurement Continuously:	non-applicable
Bins per Array:	non-applicable
Active APD Gating:	No
Fan Off:	Yes

Bin Number 	Counts per Bin 	Remarks
        1	          372 	
        2	          365 	
        3	          396 	
        4	          356 	
        5	          383 	
        6	          359 	
        7	          348 	
        8	          396 	
        9	          382 	
       10	          375 	
       11	          350 	
       12	          385 	
       13	          333 	
       14	          346 	
       15	          367 	
       16	          351 	
       17	          405 	
       18	          387 	
       19	          362 	
       20	          337 	
       21	          372 	
       22	          352 	
       23	          382 	
       24	          380 	
       25	          373 	
       26	          403 	
       27	          367 	
       28	          355 	
       29	          331 	
       30	          364 	
       31	          357 	
       32	          356 	
       33	          375 	
       34	          383 	
       35	          393 	
       36	          385 	
       37	          362 	
       38	          359 	
       39	          387 	
       40	          361 	
       41	          355 	
       42	          346 	
       43	          376 	
       44	          370 	
       45	          385 	
       46	          365 	
       47	          324 	
       48	          404 	
       49	          365 	
       50	          364 	
       51	          383 	
       52	          387 	
       53	          398 	
       54	          388 	
       55	          385 	
       56	          378 	
       57	          359 	
       58	          335 	
       59	          376 	
       60	          381 	
       61	          373 	
       62	          373 	
       63	          348 	
       64	          367 	
       65	          372 	
       66	          377 	
       67	          404 	
       68	          396 	
       69	          349 	
       70	          396 	
       71	          387 	
       72	          364 	
       73	          370 	
       74	          396 	
       75	          381 	
       76	          383 	
       77	          360 	
       78	          376 	
       79	          363 	
       80	          352 	
       81	          391 	
       82	          362 	
       83	          403 	
       84	          357 	
       85	          364 	
       86	          398 	
       87	          448 	
       88	          364 	
       89	          382 	
       90	          376 	
       91	          362 	
       92	          394 	
       93	          399 	
       94	          367 	
       95	          368 	
       96	          435 	
       97	          379 	
       98	          370 	
       99	          403 	
      100	          389 	
      101	          419 	
      102	          388 	
      103	          412 	
      104	          406 	
      105	          376 	
      106	          381 	
      107	          392 	
      108	          391 	
      109	          429 	
      110	          382 	
      111	          388 	
      112	          381 	
      113	          413 	
      114	          385 	
      115	          410 	
      116	          379 	
      117	          386 	
      118	          389 	
      119	          412 	
      120	          395 	
      121	          361 	
      122	          394 	
      123	          372 	
      124	          393 	
      125	          374 	
      126	          398 	
      127	          377 	
      128	          385 	
      129	          374 	
      130	          396 	
      131	          392 	
      132	          374 	
      133	          364 	
      134	          365 	
      135	          389 	
      136	          392 	
      137	          375 	
      138	          394 	
      139	          404 	
      140	          417 	
      141	          404 	
      142	          390 	
      143	          414 	
      144	          381 	
      145	          376 	
