Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2018-08-06
Time (HH:MM:SS):	14:18:48
Device Name:	SPCM50A
Serial Number:	M00451789
GUI Revision:	1.0 Build 2
Driver Revision:	1.0.1
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	100
Time between Bins [ms]:	10
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	No
Array Measurement Continuously:	non-applicable
Bins per Array:	non-applicable
Active APD Gating:	No
Fan Off:	Yes

Bin Number 	Counts per Bin 	Remarks
        1	          279 	
        2	          253 	
        3	          296 	
        4	          286 	
        5	          250 	
        6	          244 	
        7	          271 	
        8	          304 	
        9	          281 	
       10	          274 	
       11	          282 	
       12	          297 	
       13	          240 	
       14	          282 	
       15	          260 	
       16	          262 	
       17	          281 	
       18	          274 	
       19	          311 	
       20	          320 	
       21	          299 	
       22	          251 	
       23	          299 	
       24	          264 	
       25	          282 	
       26	          281 	
       27	          294 	
       28	          276 	
       29	          261 	
       30	          272 	
       31	          275 	
       32	          260 	
       33	          283 	
       34	          282 	
       35	          285 	
       36	          280 	
       37	          277 	
       38	          288 	
       39	          259 	
       40	          287 	
       41	          267 	
       42	          272 	
       43	          277 	
       44	          280 	
       45	          284 	
       46	          264 	
       47	          273 	
       48	          255 	
       49	          298 	
       50	          293 	
       51	          272 	
       52	          303 	
       53	          264 	
       54	          280 	
       55	          287 	
       56	          299 	
       57	          295 	
       58	          278 	
       59	          264 	
       60	          259 	
       61	          282 	
       62	          275 	
       63	          303 	
       64	          248 	
       65	          293 	
       66	          289 	
       67	          284 	
       68	          299 	
       69	          307 	
       70	          295 	
       71	          250 	
       72	          282 	
       73	          270 	
       74	          267 	
       75	          274 	
       76	          274 	
       77	          256 	
       78	          284 	
       79	          301 	
       80	          275 	
       81	          261 	
       82	          291 	
       83	          277 	
       84	          292 	
       85	          295 	
       86	          243 	
       87	          284 	
       88	          286 	
       89	          285 	
       90	          251 	
       91	          291 	
       92	          291 	
       93	          269 	
       94	          268 	
       95	          282 	
       96	          273 	
       97	          271 	
       98	          267 	
       99	          275 	
      100	          282 	
      101	          266 	
      102	          263 	
      103	          267 	
      104	          246 	
      105	          260 	
      106	          288 	
      107	          295 	
      108	          287 	
      109	          262 	
      110	          272 	
      111	          272 	
      112	          291 	
      113	          292 	
      114	          272 	
      115	          290 	
      116	          284 	
      117	          281 	
      118	          269 	
      119	          271 	
      120	          288 	
      121	          284 	
      122	          259 	
      123	          273 	
      124	          295 	
      125	          267 	
      126	          271 	
      127	          263 	
      128	          267 	
      129	          296 	
      130	          276 	
      131	          288 	
      132	          271 	
      133	          253 	
      134	          290 	
      135	          294 	
      136	          265 	
      137	          273 	
      138	          270 	
      139	          289 	
      140	          249 	
      141	          256 	
      142	          249 	
      143	          262 	
      144	          257 	
      145	          245 	
