Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2018-08-06
Time (HH:MM:SS):	14:18:16
Device Name:	SPCM50A
Serial Number:	M00451789
GUI Revision:	1.0 Build 2
Driver Revision:	1.0.1
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	100
Time between Bins [ms]:	10
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	No
Array Measurement Continuously:	non-applicable
Bins per Array:	non-applicable
Active APD Gating:	No
Fan Off:	Yes

Bin Number 	Counts per Bin 	Remarks
        1	          310 	
        2	          243 	
        3	          276 	
        4	          278 	
        5	          323 	
        6	          307 	
        7	          304 	
        8	          268 	
        9	          291 	
       10	          277 	
       11	          287 	
       12	          283 	
       13	          274 	
       14	          314 	
       15	          318 	
       16	          301 	
       17	          304 	
       18	          284 	
       19	          325 	
       20	          291 	
       21	          281 	
       22	          260 	
       23	          274 	
       24	          330 	
       25	          288 	
       26	          298 	
       27	          285 	
       28	          281 	
       29	          332 	
       30	          299 	
       31	          279 	
       32	          302 	
       33	          305 	
       34	          310 	
       35	          301 	
       36	          309 	
       37	          299 	
       38	          301 	
       39	          304 	
       40	          301 	
       41	          304 	
       42	          306 	
       43	          303 	
       44	          258 	
       45	          300 	
       46	          304 	
       47	          289 	
       48	          277 	
       49	          295 	
       50	          290 	
       51	          273 	
       52	          312 	
       53	          290 	
       54	          294 	
       55	          283 	
       56	          280 	
       57	          289 	
       58	          269 	
       59	          283 	
       60	          281 	
       61	          286 	
       62	          263 	
       63	          309 	
       64	          290 	
       65	          277 	
       66	          282 	
       67	          273 	
       68	          289 	
       69	          263 	
       70	          333 	
       71	          295 	
       72	          263 	
       73	          299 	
       74	          280 	
       75	          311 	
       76	          287 	
       77	          273 	
       78	          268 	
       79	          324 	
       80	          292 	
       81	          310 	
       82	          327 	
       83	          303 	
       84	          311 	
       85	          283 	
       86	          305 	
       87	          291 	
       88	          307 	
       89	          293 	
       90	          266 	
       91	          309 	
       92	          284 	
       93	          310 	
       94	          293 	
       95	          275 	
       96	          307 	
       97	          295 	
       98	          288 	
       99	          302 	
      100	          279 	
      101	          290 	
      102	          314 	
      103	          273 	
      104	          313 	
      105	          319 	
      106	          283 	
      107	          308 	
      108	          295 	
      109	          289 	
      110	          286 	
      111	          315 	
      112	          261 	
      113	          253 	
      114	          304 	
      115	          305 	
      116	          289 	
      117	          294 	
      118	          294 	
      119	          284 	
      120	          295 	
      121	          306 	
      122	          287 	
      123	          257 	
      124	          314 	
      125	          313 	
      126	          296 	
      127	          303 	
      128	          301 	
      129	          290 	
      130	          307 	
      131	          301 	
      132	          294 	
      133	          293 	
      134	          309 	
      135	          292 	
      136	          286 	
      137	          309 	
      138	          273 	
      139	          298 	
      140	          303 	
      141	          273 	
      142	          317 	
      143	          325 	
      144	          294 	
      145	          301 	
