Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2018-08-06
Time (HH:MM:SS):	14:20:11
Device Name:	SPCM50A
Serial Number:	M00451789
GUI Revision:	1.0 Build 2
Driver Revision:	1.0.1
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	100
Time between Bins [ms]:	10
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	No
Array Measurement Continuously:	non-applicable
Bins per Array:	non-applicable
Active APD Gating:	No
Fan Off:	Yes

Bin Number 	Counts per Bin 	Remarks
        1	          212 	
        2	          185 	
        3	          167 	
        4	          200 	
        5	          200 	
        6	          230 	
        7	          181 	
        8	          206 	
        9	          199 	
       10	          207 	
       11	          237 	
       12	          219 	
       13	          213 	
       14	          212 	
       15	          197 	
       16	          199 	
       17	          215 	
       18	          195 	
       19	          168 	
       20	          210 	
       21	          219 	
       22	          176 	
       23	          200 	
       24	          204 	
       25	          189 	
       26	          192 	
       27	          224 	
       28	          205 	
       29	          190 	
       30	          206 	
       31	          178 	
       32	          204 	
       33	          210 	
       34	          189 	
       35	          214 	
       36	          204 	
       37	          201 	
       38	          191 	
       39	          200 	
       40	          230 	
       41	          210 	
       42	          210 	
       43	          194 	
       44	          217 	
       45	          172 	
       46	          213 	
       47	          200 	
       48	          200 	
       49	          197 	
       50	          203 	
       51	          192 	
       52	          202 	
       53	          210 	
       54	          188 	
       55	          213 	
       56	          217 	
       57	          216 	
       58	          205 	
       59	          232 	
       60	          184 	
       61	          197 	
       62	          220 	
       63	          222 	
       64	          222 	
       65	          201 	
       66	          183 	
       67	          203 	
       68	          220 	
       69	          222 	
       70	          198 	
       71	          203 	
       72	          204 	
       73	          177 	
       74	          214 	
       75	          203 	
       76	          209 	
       77	          199 	
       78	          196 	
       79	          227 	
       80	          184 	
       81	          192 	
       82	          175 	
       83	          197 	
       84	          222 	
       85	          206 	
       86	          206 	
       87	          195 	
       88	          185 	
       89	          183 	
       90	          169 	
       91	          196 	
       92	          174 	
       93	          192 	
       94	          173 	
       95	          193 	
       96	          194 	
       97	          186 	
       98	          208 	
       99	          194 	
      100	          181 	
      101	          201 	
      102	          179 	
      103	          211 	
      104	          218 	
      105	          212 	
      106	          190 	
      107	          223 	
      108	          216 	
      109	          213 	
      110	          219 	
      111	          233 	
      112	          237 	
      113	          227 	
      114	          207 	
      115	          187 	
      116	          201 	
      117	          204 	
      118	          203 	
      119	          219 	
      120	          238 	
      121	          213 	
      122	          219 	
      123	          205 	
      124	          204 	
      125	          192 	
      126	          193 	
      127	          212 	
      128	          224 	
      129	          224 	
      130	          230 	
      131	          229 	
      132	          225 	
      133	          230 	
      134	          202 	
      135	          231 	
      136	          226 	
      137	          228 	
      138	          233 	
      139	          196 	
      140	          228 	
      141	          204 	
      142	          211 	
      143	          209 	
      144	          219 	
      145	          208 	
