Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2018-08-06
Time (HH:MM:SS):	14:19:43
Device Name:	SPCM50A
Serial Number:	M00451789
GUI Revision:	1.0 Build 2
Driver Revision:	1.0.1
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	100
Time between Bins [ms]:	10
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	No
Array Measurement Continuously:	non-applicable
Bins per Array:	non-applicable
Active APD Gating:	No
Fan Off:	Yes

Bin Number 	Counts per Bin 	Remarks
        1	           24 	
        2	           24 	
        3	           25 	
        4	           21 	
        5	           42 	
        6	           22 	
        7	           18 	
        8	           25 	
        9	           35 	
       10	           26 	
       11	           26 	
       12	           27 	
       13	           17 	
       14	           17 	
       15	           26 	
       16	           26 	
       17	           21 	
       18	           25 	
       19	           28 	
       20	           24 	
       21	           28 	
       22	           21 	
       23	           20 	
       24	           26 	
       25	           25 	
       26	           26 	
       27	           19 	
       28	           23 	
       29	           26 	
       30	           24 	
       31	           21 	
       32	           25 	
       33	           22 	
       34	           23 	
       35	           31 	
       36	           24 	
       37	           27 	
       38	           26 	
       39	           25 	
       40	           23 	
       41	           22 	
       42	           25 	
       43	           29 	
       44	           33 	
       45	           31 	
       46	           22 	
       47	           32 	
       48	           28 	
       49	           24 	
       50	           30 	
       51	           24 	
       52	           18 	
       53	           20 	
       54	           25 	
       55	           25 	
       56	           28 	
       57	           32 	
       58	           11 	
       59	           28 	
       60	           30 	
       61	           20 	
       62	           28 	
       63	           29 	
       64	           20 	
       65	           28 	
       66	           25 	
       67	           12 	
       68	           20 	
       69	           15 	
       70	           19 	
       71	           23 	
       72	           24 	
       73	           31 	
       74	           23 	
       75	           28 	
       76	           19 	
       77	           26 	
       78	           23 	
       79	           20 	
       80	           17 	
       81	           37 	
       82	           23 	
       83	           34 	
       84	           21 	
       85	           26 	
       86	           25 	
       87	           22 	
       88	           27 	
       89	           24 	
       90	           22 	
       91	           18 	
       92	           21 	
       93	           25 	
       94	           26 	
       95	           30 	
       96	           17 	
       97	           18 	
       98	           25 	
       99	           17 	
      100	           24 	
      101	           19 	
      102	           22 	
      103	           26 	
      104	           26 	
      105	           15 	
      106	           22 	
      107	           18 	
      108	           25 	
      109	           29 	
      110	           16 	
      111	           28 	
      112	           22 	
      113	           18 	
      114	           19 	
      115	           24 	
      116	           22 	
      117	           30 	
      118	           15 	
      119	           31 	
      120	           23 	
      121	           25 	
      122	           15 	
      123	           30 	
      124	           14 	
      125	           27 	
      126	           15 	
      127	           25 	
      128	           24 	
      129	           18 	
      130	           19 	
      131	           26 	
      132	           21 	
      133	           20 	
      134	           21 	
      135	           24 	
      136	           14 	
      137	           26 	
      138	           23 	
      139	           22 	
      140	           23 	
      141	           35 	
      142	           31 	
      143	           21 	
      144	           26 	
      145	           20 	
