Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2018-08-06
Time (HH:MM:SS):	14:19:18
Device Name:	SPCM50A
Serial Number:	M00451789
GUI Revision:	1.0 Build 2
Driver Revision:	1.0.1
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	100
Time between Bins [ms]:	10
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	No
Array Measurement Continuously:	non-applicable
Bins per Array:	non-applicable
Active APD Gating:	No
Fan Off:	Yes

Bin Number 	Counts per Bin 	Remarks
        1	          437 	
        2	          464 	
        3	          446 	
        4	          431 	
        5	          435 	
        6	          450 	
        7	          408 	
        8	          417 	
        9	          464 	
       10	          432 	
       11	          453 	
       12	          402 	
       13	          434 	
       14	          445 	
       15	          473 	
       16	          491 	
       17	          473 	
       18	          464 	
       19	          469 	
       20	          415 	
       21	          407 	
       22	          399 	
       23	          436 	
       24	          437 	
       25	          446 	
       26	          464 	
       27	          446 	
       28	          412 	
       29	          450 	
       30	          427 	
       31	          461 	
       32	          458 	
       33	          456 	
       34	          449 	
       35	          415 	
       36	          443 	
       37	          411 	
       38	          453 	
       39	          445 	
       40	          508 	
       41	          459 	
       42	          395 	
       43	          436 	
       44	          445 	
       45	          399 	
       46	          464 	
       47	          480 	
       48	          448 	
       49	          408 	
       50	          469 	
       51	          454 	
       52	          448 	
       53	          432 	
       54	          435 	
       55	          419 	
       56	          433 	
       57	          452 	
       58	          402 	
       59	          449 	
       60	          414 	
       61	          476 	
       62	          397 	
       63	          449 	
       64	          427 	
       65	          460 	
       66	          433 	
       67	          428 	
       68	          397 	
       69	          396 	
       70	          436 	
       71	          422 	
       72	          425 	
       73	          429 	
       74	          396 	
       75	          403 	
       76	          423 	
       77	          459 	
       78	          420 	
       79	          478 	
       80	          415 	
       81	          450 	
       82	          447 	
       83	          432 	
       84	          415 	
       85	          440 	
       86	          450 	
       87	          443 	
       88	          424 	
       89	          402 	
       90	          494 	
       91	          422 	
       92	          442 	
       93	          429 	
       94	          415 	
       95	          406 	
       96	          441 	
       97	          455 	
       98	          438 	
       99	          435 	
      100	          438 	
      101	          444 	
      102	          454 	
      103	          454 	
      104	          428 	
      105	          440 	
      106	          451 	
      107	          458 	
      108	          422 	
      109	          464 	
      110	          454 	
      111	          473 	
      112	          434 	
      113	          464 	
      114	          456 	
      115	          440 	
      116	          447 	
      117	          454 	
      118	          440 	
      119	          429 	
      120	          458 	
      121	          457 	
      122	          454 	
      123	          405 	
      124	          418 	
      125	          476 	
      126	          399 	
      127	          426 	
      128	          449 	
      129	          437 	
      130	          415 	
      131	          467 	
      132	          433 	
      133	          431 	
      134	          410 	
      135	          411 	
      136	          422 	
      137	          422 	
      138	          431 	
      139	          430 	
      140	          453 	
      141	          420 	
      142	          366 	
      143	          426 	
      144	          406 	
      145	          440 	
