Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2018-08-06
Time (HH:MM:SS):	14:20:36
Device Name:	SPCM50A
Serial Number:	M00451789
GUI Revision:	1.0 Build 2
Driver Revision:	1.0.1
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	100
Time between Bins [ms]:	10
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	No
Array Measurement Continuously:	non-applicable
Bins per Array:	non-applicable
Active APD Gating:	No
Fan Off:	Yes

Bin Number 	Counts per Bin 	Remarks
        1	          593 	
        2	          562 	
        3	          625 	
        4	          573 	
        5	          576 	
        6	          646 	
        7	          615 	
        8	          646 	
        9	          609 	
       10	          601 	
       11	          620 	
       12	          540 	
       13	          583 	
       14	          580 	
       15	          568 	
       16	          562 	
       17	          567 	
       18	          578 	
       19	          626 	
       20	          609 	
       21	          620 	
       22	          575 	
       23	          573 	
       24	          557 	
       25	          599 	
       26	          597 	
       27	          612 	
       28	          655 	
       29	          594 	
       30	          632 	
       31	          623 	
       32	          635 	
       33	          654 	
       34	          590 	
       35	          614 	
       36	          586 	
       37	          643 	
       38	          628 	
       39	          589 	
       40	          645 	
       41	          648 	
       42	          623 	
       43	          611 	
       44	          629 	
       45	          620 	
       46	          625 	
       47	          593 	
       48	          627 	
       49	          585 	
       50	          547 	
       51	          597 	
       52	          563 	
       53	          575 	
       54	          642 	
       55	          630 	
       56	          612 	
       57	          610 	
       58	          574 	
       59	          640 	
       60	          642 	
       61	          605 	
       62	          613 	
       63	          640 	
       64	          630 	
       65	          579 	
       66	          636 	
       67	          652 	
       68	          639 	
       69	          583 	
       70	          616 	
       71	          619 	
       72	          600 	
       73	          657 	
       74	          628 	
       75	          641 	
       76	          555 	
       77	          656 	
       78	          623 	
       79	          689 	
       80	          595 	
       81	          626 	
       82	          594 	
       83	          633 	
       84	          623 	
       85	          573 	
       86	          635 	
       87	          562 	
       88	          598 	
       89	          611 	
       90	          600 	
       91	          555 	
       92	          634 	
       93	          577 	
       94	          642 	
       95	          567 	
       96	          604 	
       97	          623 	
       98	          574 	
       99	          623 	
      100	          612 	
      101	          605 	
      102	          638 	
      103	          613 	
      104	          650 	
      105	          617 	
      106	          617 	
      107	          599 	
      108	          688 	
      109	          610 	
      110	          568 	
      111	          633 	
      112	          623 	
      113	          581 	
      114	          591 	
      115	          601 	
      116	          579 	
      117	          595 	
      118	          626 	
      119	          560 	
      120	          609 	
      121	          619 	
      122	          594 	
      123	          605 	
      124	          564 	
      125	          581 	
      126	          596 	
      127	          599 	
      128	          588 	
      129	          560 	
      130	          589 	
      131	          582 	
      132	          592 	
      133	          571 	
      134	          591 	
      135	          576 	
      136	          586 	
      137	          554 	
      138	          558 	
      139	          636 	
      140	          623 	
      141	          603 	
      142	          614 	
      143	          599 	
      144	          616 	
      145	          622 	
