Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2018-08-06
Time (HH:MM:SS):	13:44:13
Device Name:	SPCM50A
Serial Number:	M00451789
GUI Revision:	1.0 Build 2
Driver Revision:	1.0.1
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	100
Time between Bins [ms]:	10
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	No
Array Measurement Continuously:	non-applicable
Bins per Array:	non-applicable
Active APD Gating:	No
Fan Off:	Yes

Bin Number 	Counts per Bin 	Remarks
        1	           25 	
        2	           17 	
        3	           19 	
        4	           15 	
        5	           16 	
        6	           25 	
        7	           21 	
        8	           25 	
        9	           14 	
       10	           22 	
       11	           19 	
       12	           14 	
       13	           15 	
       14	           15 	
       15	           26 	
       16	           24 	
       17	           23 	
       18	           19 	
       19	           19 	
       20	           16 	
       21	           21 	
       22	           21 	
       23	           13 	
       24	           19 	
       25	           15 	
       26	           16 	
       27	           21 	
       28	           12 	
       29	           11 	
       30	           21 	
       31	           20 	
       32	           25 	
       33	           26 	
       34	           19 	
       35	           20 	
       36	           14 	
       37	           18 	
       38	           19 	
       39	           19 	
       40	           17 	
       41	           14 	
       42	           10 	
       43	           20 	
       44	           18 	
       45	           14 	
       46	           14 	
       47	           16 	
       48	           19 	
       49	            5 	
       50	           15 	
       51	           24 	
       52	           18 	
       53	           14 	
       54	           21 	
       55	           17 	
       56	           20 	
       57	           15 	
       58	           13 	
       59	           12 	
       60	           19 	
       61	           21 	
       62	           20 	
       63	           23 	
       64	           11 	
       65	           19 	
       66	            9 	
       67	           16 	
       68	           13 	
       69	           13 	
       70	           19 	
       71	           19 	
       72	           20 	
       73	           29 	
       74	           15 	
       75	           14 	
       76	           14 	
       77	           21 	
       78	            9 	
       79	           20 	
       80	           16 	
       81	           12 	
       82	           15 	
       83	           17 	
       84	           13 	
       85	           17 	
       86	           11 	
       87	           18 	
       88	           32 	
       89	           14 	
       90	           20 	
       91	           19 	
       92	           15 	
       93	           12 	
       94	           22 	
       95	           20 	
       96	           19 	
       97	           17 	
       98	           17 	
       99	           17 	
      100	           25 	
      101	           19 	
      102	           10 	
      103	           23 	
      104	           12 	
      105	           22 	
      106	           22 	
      107	           17 	
      108	           23 	
      109	           20 	
      110	           26 	
      111	           20 	
      112	           29 	
      113	           20 	
      114	           32 	
      115	           14 	
      116	           17 	
      117	           16 	
      118	           20 	
      119	           22 	
      120	           21 	
      121	           18 	
      122	           19 	
      123	           18 	
      124	           22 	
      125	           19 	
      126	           11 	
      127	           18 	
      128	           17 	
      129	           24 	
      130	           19 	
      131	           11 	
      132	           21 	
      133	           19 	
      134	           16 	
      135	           19 	
      136	           18 	
      137	           18 	
      138	           13 	
      139	           12 	
      140	           14 	
      141	           18 	
      142	            8 	
      143	           12 	
      144	           16 	
      145	           19 	
