Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2018-08-06
Time (HH:MM:SS):	13:43:42
Device Name:	SPCM50A
Serial Number:	M00451789
GUI Revision:	1.0 Build 2
Driver Revision:	1.0.1
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	100
Time between Bins [ms]:	10
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	No
Array Measurement Continuously:	non-applicable
Bins per Array:	non-applicable
Active APD Gating:	No
Fan Off:	Yes

Bin Number 	Counts per Bin 	Remarks
        1	           15 	
        2	           21 	
        3	           21 	
        4	           25 	
        5	           25 	
        6	           18 	
        7	           17 	
        8	           33 	
        9	           13 	
       10	           33 	
       11	           13 	
       12	           17 	
       13	           15 	
       14	           15 	
       15	           23 	
       16	           28 	
       17	           15 	
       18	           20 	
       19	           23 	
       20	           17 	
       21	           19 	
       22	           29 	
       23	           21 	
       24	           22 	
       25	           23 	
       26	           22 	
       27	           21 	
       28	           19 	
       29	           24 	
       30	           18 	
       31	           19 	
       32	           11 	
       33	           27 	
       34	           15 	
       35	           20 	
       36	           25 	
       37	           21 	
       38	           21 	
       39	           20 	
       40	           24 	
       41	           27 	
       42	           26 	
       43	           17 	
       44	           15 	
       45	           20 	
       46	           21 	
       47	           18 	
       48	           19 	
       49	           31 	
       50	           14 	
       51	           19 	
       52	           18 	
       53	           24 	
       54	           21 	
       55	           24 	
       56	           19 	
       57	           24 	
       58	           21 	
       59	           33 	
       60	           27 	
       61	           30 	
       62	           32 	
       63	           24 	
       64	           15 	
       65	           23 	
       66	           23 	
       67	           28 	
       68	           16 	
       69	           18 	
       70	           22 	
       71	           16 	
       72	           26 	
       73	           22 	
       74	           25 	
       75	           21 	
       76	           32 	
       77	           20 	
       78	           15 	
       79	           24 	
       80	           19 	
       81	           16 	
       82	           23 	
       83	           18 	
       84	           16 	
       85	           21 	
       86	           25 	
       87	           19 	
       88	           21 	
       89	           22 	
       90	           28 	
       91	           22 	
       92	           22 	
       93	           24 	
       94	           23 	
       95	           15 	
       96	           21 	
       97	           17 	
       98	           22 	
       99	           28 	
      100	           26 	
      101	           18 	
      102	           24 	
      103	           20 	
      104	           23 	
      105	           20 	
      106	           24 	
      107	           34 	
      108	           20 	
      109	           25 	
      110	           21 	
      111	           13 	
      112	           28 	
      113	           19 	
      114	           16 	
      115	           17 	
      116	           14 	
      117	           26 	
      118	           22 	
      119	           32 	
      120	           22 	
      121	           24 	
      122	           22 	
      123	           16 	
      124	           22 	
      125	           27 	
      126	           21 	
      127	           19 	
      128	           30 	
      129	           22 	
      130	           27 	
      131	           27 	
      132	           23 	
      133	           22 	
      134	           17 	
      135	           11 	
      136	           17 	
      137	           22 	
      138	           25 	
      139	           22 	
      140	           33 	
      141	           23 	
      142	           23 	
      143	           15 	
      144	           27 	
      145	           22 	
