Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2018-08-06
Time (HH:MM:SS):	13:45:37
Device Name:	SPCM50A
Serial Number:	M00451789
GUI Revision:	1.0 Build 2
Driver Revision:	1.0.1
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	100
Time between Bins [ms]:	10
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	No
Array Measurement Continuously:	non-applicable
Bins per Array:	non-applicable
Active APD Gating:	No
Fan Off:	Yes

Bin Number 	Counts per Bin 	Remarks
        1	            6 	
        2	            5 	
        3	           11 	
        4	            6 	
        5	            7 	
        6	           10 	
        7	            6 	
        8	            9 	
        9	           12 	
       10	            7 	
       11	            8 	
       12	            6 	
       13	            9 	
       14	            8 	
       15	            9 	
       16	            8 	
       17	            9 	
       18	            7 	
       19	            4 	
       20	           10 	
       21	           10 	
       22	           10 	
       23	            4 	
       24	           10 	
       25	            9 	
       26	            7 	
       27	            5 	
       28	           12 	
       29	            6 	
       30	           12 	
       31	           10 	
       32	            8 	
       33	            9 	
       34	            8 	
       35	            2 	
       36	            5 	
       37	            9 	
       38	            8 	
       39	            7 	
       40	            9 	
       41	            8 	
       42	           10 	
       43	            4 	
       44	            6 	
       45	            6 	
       46	            6 	
       47	            8 	
       48	           12 	
       49	            9 	
       50	            6 	
       51	           10 	
       52	            5 	
       53	            8 	
       54	           12 	
       55	            6 	
       56	            8 	
       57	            8 	
       58	            4 	
       59	            9 	
       60	           10 	
       61	           14 	
       62	            8 	
       63	           10 	
       64	            8 	
       65	            7 	
       66	           17 	
       67	           14 	
       68	            9 	
       69	            8 	
       70	            1 	
       71	            6 	
       72	            6 	
       73	            7 	
       74	            9 	
       75	           11 	
       76	           10 	
       77	            3 	
       78	            6 	
       79	            5 	
       80	            8 	
       81	            7 	
       82	            5 	
       83	            9 	
       84	            7 	
       85	           10 	
       86	           14 	
       87	            9 	
       88	            5 	
       89	            4 	
       90	            4 	
       91	            8 	
       92	            8 	
       93	           12 	
       94	            6 	
       95	            3 	
       96	            6 	
       97	            6 	
       98	            9 	
       99	           12 	
      100	            9 	
      101	            7 	
      102	            7 	
      103	           10 	
      104	            9 	
      105	            5 	
      106	            8 	
      107	            7 	
      108	           13 	
      109	           10 	
      110	            5 	
      111	           10 	
      112	            7 	
      113	            7 	
      114	            6 	
      115	            5 	
      116	           10 	
      117	            4 	
      118	           12 	
      119	            7 	
      120	            8 	
      121	            3 	
      122	            6 	
      123	           10 	
      124	           10 	
      125	            8 	
      126	            3 	
      127	            9 	
      128	           12 	
      129	            7 	
      130	            7 	
      131	            8 	
      132	           14 	
      133	            5 	
      134	            8 	
      135	           15 	
      136	            8 	
      137	           10 	
      138	            8 	
      139	            8 	
      140	           16 	
      141	            4 	
      142	            9 	
      143	           12 	
      144	            9 	
      145	            8 	
