Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2018-08-06
Time (HH:MM:SS):	13:45:09
Device Name:	SPCM50A
Serial Number:	M00451789
GUI Revision:	1.0 Build 2
Driver Revision:	1.0.1
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	100
Time between Bins [ms]:	10
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	No
Array Measurement Continuously:	non-applicable
Bins per Array:	non-applicable
Active APD Gating:	No
Fan Off:	Yes

Bin Number 	Counts per Bin 	Remarks
        1	           31 	
        2	           37 	
        3	           23 	
        4	           24 	
        5	           38 	
        6	           32 	
        7	           33 	
        8	           37 	
        9	           36 	
       10	           34 	
       11	           27 	
       12	           30 	
       13	           38 	
       14	           35 	
       15	           35 	
       16	           26 	
       17	           34 	
       18	           32 	
       19	           30 	
       20	           30 	
       21	           35 	
       22	           41 	
       23	           29 	
       24	           31 	
       25	           30 	
       26	           29 	
       27	           29 	
       28	           24 	
       29	           28 	
       30	           41 	
       31	           29 	
       32	           24 	
       33	           24 	
       34	           36 	
       35	           30 	
       36	           25 	
       37	           39 	
       38	           41 	
       39	           33 	
       40	           37 	
       41	           24 	
       42	           39 	
       43	           34 	
       44	           36 	
       45	           28 	
       46	           24 	
       47	           43 	
       48	           24 	
       49	           30 	
       50	           35 	
       51	           31 	
       52	           28 	
       53	           30 	
       54	           28 	
       55	           43 	
       56	           27 	
       57	           36 	
       58	           30 	
       59	           31 	
       60	           34 	
       61	           27 	
       62	           18 	
       63	           28 	
       64	           22 	
       65	           38 	
       66	           34 	
       67	           33 	
       68	           52 	
       69	           30 	
       70	           36 	
       71	           34 	
       72	           33 	
       73	           35 	
       74	           31 	
       75	           27 	
       76	           29 	
       77	           44 	
       78	           31 	
       79	           45 	
       80	           43 	
       81	           32 	
       82	           31 	
       83	           23 	
       84	           38 	
       85	           26 	
       86	           33 	
       87	           34 	
       88	           40 	
       89	           31 	
       90	           31 	
       91	           30 	
       92	           29 	
       93	           37 	
       94	           30 	
       95	           29 	
       96	           31 	
       97	           38 	
       98	           27 	
       99	           34 	
      100	           28 	
      101	           27 	
      102	           28 	
      103	           51 	
      104	           36 	
      105	           25 	
      106	           26 	
      107	           23 	
      108	           30 	
      109	           24 	
      110	           28 	
      111	           22 	
      112	           30 	
      113	           32 	
      114	           31 	
      115	           33 	
      116	           32 	
      117	           29 	
      118	           31 	
      119	           36 	
      120	           25 	
      121	           30 	
      122	           27 	
      123	           29 	
      124	           35 	
      125	           29 	
      126	           28 	
      127	           31 	
      128	           41 	
      129	           38 	
      130	           23 	
      131	           30 	
      132	           33 	
      133	           22 	
      134	           22 	
      135	           43 	
      136	           40 	
      137	           41 	
      138	           39 	
      139	           35 	
      140	           28 	
      141	           33 	
      142	           22 	
      143	           22 	
      144	           28 	
      145	           26 	
