Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2018-08-06
Time (HH:MM:SS):	13:44:43
Device Name:	SPCM50A
Serial Number:	M00451789
GUI Revision:	1.0 Build 2
Driver Revision:	1.0.1
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	100
Time between Bins [ms]:	10
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	No
Array Measurement Continuously:	non-applicable
Bins per Array:	non-applicable
Active APD Gating:	No
Fan Off:	Yes

Bin Number 	Counts per Bin 	Remarks
        1	           23 	
        2	           15 	
        3	           16 	
        4	           14 	
        5	            9 	
        6	            9 	
        7	           17 	
        8	           14 	
        9	           19 	
       10	           19 	
       11	            8 	
       12	           15 	
       13	           11 	
       14	           16 	
       15	           16 	
       16	            8 	
       17	           12 	
       18	            9 	
       19	           13 	
       20	           10 	
       21	           16 	
       22	           14 	
       23	            9 	
       24	           24 	
       25	           10 	
       26	           11 	
       27	           12 	
       28	            5 	
       29	           12 	
       30	           15 	
       31	           17 	
       32	           13 	
       33	            4 	
       34	           19 	
       35	           17 	
       36	           14 	
       37	           22 	
       38	           14 	
       39	           10 	
       40	           13 	
       41	           13 	
       42	           13 	
       43	           12 	
       44	           20 	
       45	           13 	
       46	           13 	
       47	           12 	
       48	           14 	
       49	           22 	
       50	           10 	
       51	           11 	
       52	           11 	
       53	           10 	
       54	           20 	
       55	           21 	
       56	           14 	
       57	           12 	
       58	           23 	
       59	           12 	
       60	           20 	
       61	           16 	
       62	           12 	
       63	           20 	
       64	           17 	
       65	           16 	
       66	           14 	
       67	           17 	
       68	            6 	
       69	           22 	
       70	           10 	
       71	           20 	
       72	           12 	
       73	           18 	
       74	           16 	
       75	           11 	
       76	           11 	
       77	           13 	
       78	           12 	
       79	           11 	
       80	           23 	
       81	           15 	
       82	            9 	
       83	           17 	
       84	            9 	
       85	           10 	
       86	            8 	
       87	           21 	
       88	           11 	
       89	           18 	
       90	           13 	
       91	           15 	
       92	           11 	
       93	           16 	
       94	           12 	
       95	           11 	
       96	            9 	
       97	           11 	
       98	           12 	
       99	            8 	
      100	           16 	
      101	           17 	
      102	           17 	
      103	           18 	
      104	            8 	
      105	           17 	
      106	           15 	
      107	           15 	
      108	            9 	
      109	           11 	
      110	           17 	
      111	            7 	
      112	           10 	
      113	           11 	
      114	           17 	
      115	            8 	
      116	           10 	
      117	           15 	
      118	           20 	
      119	           14 	
      120	           13 	
      121	           12 	
      122	           16 	
      123	            8 	
      124	           13 	
      125	           11 	
      126	           18 	
      127	            7 	
      128	           21 	
      129	            4 	
      130	            9 	
      131	           19 	
      132	           13 	
      133	           12 	
      134	           17 	
      135	           13 	
      136	           19 	
      137	           15 	
      138	           13 	
      139	           14 	
      140	           15 	
      141	           15 	
      142	           17 	
      143	           15 	
      144	           16 	
      145	            4 	
