Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2018-08-06
Time (HH:MM:SS):	13:46:02
Device Name:	SPCM50A
Serial Number:	M00451789
GUI Revision:	1.0 Build 2
Driver Revision:	1.0.1
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	100
Time between Bins [ms]:	10
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	No
Array Measurement Continuously:	non-applicable
Bins per Array:	non-applicable
Active APD Gating:	No
Fan Off:	Yes

Bin Number 	Counts per Bin 	Remarks
        1	           39 	
        2	           45 	
        3	           62 	
        4	           40 	
        5	           57 	
        6	           55 	
        7	           52 	
        8	           61 	
        9	           52 	
       10	           51 	
       11	           60 	
       12	           39 	
       13	           69 	
       14	           52 	
       15	           66 	
       16	           49 	
       17	           54 	
       18	           61 	
       19	           59 	
       20	           63 	
       21	           56 	
       22	           54 	
       23	           47 	
       24	           61 	
       25	           57 	
       26	           52 	
       27	           51 	
       28	           71 	
       29	           56 	
       30	           41 	
       31	           52 	
       32	           64 	
       33	           71 	
       34	           55 	
       35	           52 	
       36	           62 	
       37	           49 	
       38	           51 	
       39	           63 	
       40	           57 	
       41	           65 	
       42	           57 	
       43	           75 	
       44	           50 	
       45	           53 	
       46	           63 	
       47	           68 	
       48	           55 	
       49	           61 	
       50	           56 	
       51	           40 	
       52	           69 	
       53	           85 	
       54	           66 	
       55	           72 	
       56	           56 	
       57	           61 	
       58	           60 	
       59	           50 	
       60	           52 	
       61	           65 	
       62	           66 	
       63	           60 	
       64	           61 	
       65	           53 	
       66	           57 	
       67	           63 	
       68	           52 	
       69	           64 	
       70	           72 	
       71	           56 	
       72	           53 	
       73	           63 	
       74	           48 	
       75	           52 	
       76	           61 	
       77	           50 	
       78	           60 	
       79	           53 	
       80	           48 	
       81	           48 	
       82	           67 	
       83	           64 	
       84	           59 	
       85	           39 	
       86	           56 	
       87	           60 	
       88	           69 	
       89	           53 	
       90	           58 	
       91	           70 	
       92	           64 	
       93	           49 	
       94	           56 	
       95	           55 	
       96	           53 	
       97	           60 	
       98	           57 	
       99	           58 	
      100	           51 	
      101	           64 	
      102	           52 	
      103	           42 	
      104	           55 	
      105	           64 	
      106	           55 	
      107	           70 	
      108	           57 	
      109	           55 	
      110	           62 	
      111	           64 	
      112	           65 	
      113	           63 	
      114	           67 	
      115	           50 	
      116	           62 	
      117	           42 	
      118	           55 	
      119	           68 	
      120	           71 	
      121	           70 	
      122	           47 	
      123	           65 	
      124	           51 	
      125	           69 	
      126	           58 	
      127	           68 	
      128	           54 	
      129	           58 	
      130	           46 	
      131	           57 	
      132	           57 	
      133	           70 	
      134	           52 	
      135	           41 	
      136	           60 	
      137	           52 	
      138	           60 	
      139	           51 	
      140	           49 	
      141	           52 	
      142	           69 	
      143	           61 	
      144	           65 	
      145	           59 	
