Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2018-08-09
Time (HH:MM:SS):	11:43:44
Device Name:	SPCM50A
Serial Number:	M00451789
GUI Revision:	1.0 Build 2
Driver Revision:	1.0.1
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	100
Time between Bins [ms]:	10
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	No
Array Measurement Continuously:	non-applicable
Bins per Array:	non-applicable
Active APD Gating:	No
Fan Off:	No

Bin Number 	Counts per Bin 	Remarks
        1	         1051 	
        2	         1010 	
        3	          913 	
        4	         1014 	
        5	         1129 	
        6	         1123 	
        7	         1146 	
        8	          990 	
        9	          931 	
       10	          972 	
       11	          960 	
       12	         1051 	
       13	          926 	
       14	         1006 	
       15	         1015 	
       16	          991 	
       17	          990 	
       18	          944 	
       19	          926 	
       20	         1046 	
       21	          981 	
       22	          939 	
       23	         1021 	
       24	          960 	
       25	         1038 	
       26	         1007 	
       27	          956 	
       28	         1028 	
       29	         1015 	
       30	         1044 	
       31	         1035 	
       32	         1024 	
       33	          986 	
       34	         1025 	
       35	          931 	
       36	          973 	
       37	          992 	
       38	         1003 	
       39	         1045 	
       40	         1056 	
       41	         1020 	
       42	          918 	
       43	          942 	
       44	          951 	
       45	          924 	
       46	          947 	
       47	          973 	
       48	          878 	
       49	         1020 	
       50	          936 	
       51	          950 	
       52	          945 	
       53	         1021 	
       54	          955 	
       55	          985 	
       56	          985 	
       57	          981 	
       58	          950 	
       59	         1054 	
       60	         1042 	
       61	         1003 	
       62	          944 	
       63	          972 	
       64	          967 	
       65	         1020 	
       66	          996 	
       67	         1106 	
       68	         1033 	
       69	         1015 	
       70	         1046 	
       71	          950 	
       72	          973 	
       73	          975 	
       74	          913 	
       75	         1016 	
       76	         1012 	
       77	          947 	
       78	          960 	
       79	          938 	
       80	          997 	
       81	          958 	
       82	          953 	
       83	          978 	
       84	         1001 	
       85	          981 	
       86	         1000 	
       87	         1041 	
       88	         1010 	
       89	          995 	
       90	          989 	
       91	         1018 	
       92	         1101 	
       93	         1015 	
       94	          981 	
       95	          963 	
       96	         1039 	
       97	          994 	
       98	         1005 	
       99	         1004 	
      100	          993 	
      101	          985 	
      102	         1015 	
      103	         1042 	
      104	          955 	
      105	          976 	
      106	         1076 	
      107	         1117 	
      108	         1084 	
      109	         1057 	
      110	          987 	
      111	         1025 	
      112	         1018 	
      113	          994 	
      114	          962 	
      115	          938 	
      116	         1027 	
      117	          999 	
      118	          980 	
      119	          976 	
      120	          980 	
      121	          956 	
      122	          956 	
      123	          983 	
      124	          994 	
      125	         1092 	
      126	          999 	
      127	          964 	
      128	          997 	
      129	          969 	
      130	          996 	
      131	          976 	
      132	         1016 	
      133	          964 	
      134	          955 	
      135	          996 	
      136	          948 	
      137	         1013 	
      138	          988 	
      139	         1060 	
      140	          996 	
      141	         1010 	
      142	          965 	
      143	         1072 	
      144	         1049 	
      145	         1052 	
