Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2018-08-02
Time (HH:MM:SS):	10:18:28
Device Name:	SPCM50A
Serial Number:	M00451789
GUI Revision:	1.0 Build 2
Driver Revision:	1.0.1
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	100
Time between Bins [ms]:	10
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	No
Array Measurement Continuously:	non-applicable
Bins per Array:	non-applicable
Active APD Gating:	No
Fan Off:	Yes

Bin Number 	Counts per Bin 	Remarks
        1	          216 	
        2	          199 	
        3	          199 	
        4	          229 	
        5	          215 	
        6	          191 	
        7	          218 	
        8	          243 	
        9	          239 	
       10	          197 	
       11	          217 	
       12	          240 	
       13	          231 	
       14	          208 	
       15	          222 	
       16	          202 	
       17	          222 	
       18	          213 	
       19	          220 	
       20	          205 	
       21	          238 	
       22	          220 	
       23	          245 	
       24	          211 	
       25	          221 	
       26	          203 	
       27	          203 	
       28	          224 	
       29	          248 	
       30	          216 	
       31	          212 	
       32	          218 	
       33	          209 	
       34	          220 	
       35	          209 	
       36	          211 	
       37	          201 	
       38	          205 	
       39	          210 	
       40	          209 	
       41	          210 	
       42	          243 	
       43	          227 	
       44	          215 	
       45	          214 	
       46	          219 	
       47	          228 	
       48	          187 	
       49	          199 	
       50	          217 	
       51	          193 	
       52	          212 	
       53	          202 	
       54	          237 	
       55	          213 	
       56	          224 	
       57	          208 	
       58	          213 	
       59	          196 	
       60	          211 	
       61	          199 	
       62	          222 	
       63	          208 	
       64	          222 	
       65	          210 	
       66	          219 	
       67	          217 	
       68	          244 	
       69	          222 	
       70	          226 	
       71	          199 	
       72	          216 	
       73	          209 	
       74	          206 	
       75	          213 	
       76	          191 	
       77	          210 	
       78	          239 	
       79	          194 	
       80	          235 	
       81	          217 	
       82	          219 	
       83	          220 	
       84	          192 	
       85	          205 	
       86	          210 	
       87	          219 	
       88	          228 	
       89	          228 	
       90	          219 	
       91	          229 	
       92	          253 	
       93	          214 	
       94	          184 	
       95	          201 	
       96	          248 	
       97	          219 	
       98	          225 	
       99	          218 	
      100	          217 	
      101	          223 	
      102	          210 	
      103	          185 	
      104	          218 	
      105	          182 	
      106	          203 	
      107	          216 	
      108	          240 	
      109	          210 	
      110	          203 	
      111	          193 	
      112	          236 	
      113	          221 	
      114	          249 	
      115	          199 	
      116	          217 	
      117	          227 	
      118	          233 	
      119	          227 	
      120	          228 	
      121	          200 	
      122	          230 	
      123	          234 	
      124	          232 	
      125	          197 	
      126	          207 	
      127	          230 	
      128	          218 	
      129	          202 	
      130	          267 	
      131	          232 	
      132	          221 	
      133	          205 	
      134	          224 	
      135	          228 	
      136	          243 	
      137	          199 	
      138	          209 	
      139	          234 	
      140	          232 	
      141	          206 	
      142	          210 	
      143	          229 	
      144	          224 	
      145	          229 	
      146	          218 	
      147	          232 	
      148	          219 	
      149	          228 	
      150	          213 	
      151	          200 	
      152	          220 	
      153	          195 	
      154	          211 	
      155	          213 	
      156	          229 	
      157	          223 	
      158	          216 	
      159	          245 	
      160	          204 	
      161	          235 	
      162	          195 	
      163	          239 	
      164	          216 	
      165	          205 	
      166	          209 	
      167	          225 	
      168	          205 	
      169	          228 	
      170	          205 	
      171	          214 	
      172	          233 	
      173	          245 	
      174	          228 	
      175	          204 	
      176	          218 	
      177	          224 	
      178	          230 	
      179	          210 	
      180	          239 	
      181	          239 	
      182	          207 	
      183	          230 	
      184	          211 	
      185	          242 	
      186	          242 	
      187	          241 	
      188	          231 	
      189	          250 	
      190	          241 	
      191	          234 	
      192	          233 	
      193	          267 	
      194	          233 	
      195	          228 	
      196	          230 	
      197	          214 	
      198	          224 	
      199	          237 	
      200	          252 	
      201	          225 	
      202	          237 	
      203	          235 	
