Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2018-08-02
Time (HH:MM:SS):	10:17:00
Device Name:	SPCM50A
Serial Number:	M00451789
GUI Revision:	1.0 Build 2
Driver Revision:	1.0.1
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	100
Time between Bins [ms]:	10
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	No
Array Measurement Continuously:	non-applicable
Bins per Array:	non-applicable
Active APD Gating:	No
Fan Off:	Yes

Bin Number 	Counts per Bin 	Remarks
        1	          603 	
        2	          567 	
        3	          603 	
        4	          596 	
        5	          546 	
        6	          588 	
        7	          588 	
        8	          621 	
        9	          644 	
       10	          547 	
       11	          604 	
       12	          596 	
       13	          555 	
       14	          620 	
       15	          586 	
       16	          656 	
       17	          575 	
       18	          603 	
       19	          605 	
       20	          586 	
       21	          589 	
       22	          603 	
       23	          545 	
       24	          602 	
       25	          590 	
       26	          581 	
       27	          587 	
       28	          598 	
       29	          602 	
       30	          571 	
       31	          578 	
       32	          575 	
       33	          553 	
       34	          597 	
       35	          565 	
       36	          591 	
       37	          638 	
       38	          604 	
       39	          606 	
       40	          596 	
       41	          580 	
       42	          555 	
       43	          603 	
       44	          601 	
       45	          584 	
       46	          604 	
       47	          607 	
       48	          566 	
       49	          614 	
       50	          626 	
       51	          529 	
       52	          596 	
       53	          604 	
       54	          657 	
       55	          628 	
       56	          554 	
       57	          597 	
       58	          617 	
       59	          613 	
       60	          622 	
       61	          606 	
       62	          576 	
       63	          616 	
       64	          638 	
       65	          620 	
       66	          612 	
       67	          604 	
       68	          618 	
       69	          583 	
       70	          561 	
       71	          592 	
       72	          607 	
       73	          595 	
       74	          615 	
       75	          557 	
       76	          607 	
       77	          577 	
       78	          591 	
       79	          600 	
       80	          653 	
       81	          597 	
       82	          623 	
       83	          540 	
       84	          601 	
       85	          582 	
       86	          596 	
       87	          628 	
       88	          610 	
       89	          591 	
       90	          617 	
       91	          643 	
       92	          613 	
       93	          640 	
       94	          602 	
       95	          568 	
       96	          594 	
       97	          586 	
       98	          611 	
       99	          587 	
      100	          579 	
      101	          577 	
      102	          593 	
      103	          577 	
      104	          642 	
      105	          588 	
      106	          561 	
      107	          589 	
      108	          586 	
      109	          574 	
      110	          615 	
      111	          616 	
      112	          625 	
      113	          611 	
      114	          594 	
      115	          577 	
      116	          583 	
      117	          621 	
      118	          606 	
      119	          606 	
      120	          600 	
      121	          627 	
      122	          578 	
      123	          627 	
      124	          604 	
      125	          595 	
      126	          564 	
      127	          604 	
      128	          590 	
      129	          599 	
      130	          605 	
      131	          640 	
      132	          603 	
      133	          588 	
      134	          610 	
      135	          605 	
      136	          543 	
      137	          588 	
      138	          579 	
      139	          597 	
      140	          631 	
      141	          605 	
      142	          628 	
      143	          616 	
      144	          641 	
      145	          588 	
      146	          617 	
      147	          586 	
      148	          597 	
      149	          613 	
      150	          594 	
      151	          536 	
      152	          520 	
      153	          583 	
      154	          569 	
      155	          613 	
      156	          607 	
      157	          574 	
      158	          618 	
      159	          633 	
      160	          555 	
      161	          617 	
      162	          617 	
      163	          607 	
      164	          563 	
      165	          626 	
      166	          637 	
      167	          603 	
      168	          624 	
      169	          598 	
      170	          606 	
      171	          632 	
      172	          609 	
      173	          620 	
      174	          609 	
      175	          601 	
      176	          626 	
      177	          620 	
      178	          579 	
      179	          592 	
      180	          617 	
      181	          603 	
      182	          622 	
      183	          613 	
      184	          623 	
      185	          611 	
      186	          619 	
      187	          578 	
      188	          586 	
      189	          609 	
      190	          595 	
      191	          631 	
      192	          621 	
      193	          592 	
      194	          631 	
      195	          615 	
      196	          573 	
      197	          617 	
      198	          590 	
      199	          622 	
      200	          640 	
      201	          634 	
      202	          615 	
      203	          579 	
