Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2018-08-02
Time (HH:MM:SS):	10:13:17
Device Name:	SPCM50A
Serial Number:	M00451789
GUI Revision:	1.0 Build 2
Driver Revision:	1.0.1
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	100
Time between Bins [ms]:	10
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	No
Array Measurement Continuously:	non-applicable
Bins per Array:	non-applicable
Active APD Gating:	No
Fan Off:	Yes

Bin Number 	Counts per Bin 	Remarks
        1	         1127 	
        2	         1084 	
        3	         1130 	
        4	         1077 	
        5	         1102 	
        6	         1183 	
        7	         1114 	
        8	         1174 	
        9	         1171 	
       10	         1125 	
       11	         1152 	
       12	         1202 	
       13	         1045 	
       14	         1107 	
       15	         1089 	
       16	         1128 	
       17	         1167 	
       18	         1171 	
       19	         1139 	
       20	         1099 	
       21	         1179 	
       22	         1116 	
       23	         1155 	
       24	         1156 	
       25	         1175 	
       26	         1146 	
       27	         1182 	
       28	         1215 	
       29	         1186 	
       30	         1179 	
       31	         1222 	
       32	         1158 	
       33	         1113 	
       34	         1185 	
       35	         1143 	
       36	         1228 	
       37	         1172 	
       38	         1135 	
       39	         1224 	
       40	         1203 	
       41	         1178 	
       42	         1102 	
       43	         1188 	
       44	         1136 	
       45	         1093 	
       46	         1118 	
       47	         1145 	
       48	         1202 	
       49	         1225 	
       50	         1189 	
       51	         1148 	
       52	         1089 	
       53	         1092 	
       54	         1081 	
       55	         1084 	
       56	         1105 	
       57	         1109 	
       58	         1110 	
       59	         1145 	
       60	         1164 	
       61	         1163 	
       62	         1126 	
       63	         1167 	
       64	         1128 	
       65	         1139 	
       66	         1121 	
       67	         1108 	
       68	         1122 	
       69	         1113 	
       70	         1092 	
       71	         1125 	
       72	         1166 	
       73	         1185 	
       74	         1172 	
       75	         1148 	
       76	         1214 	
       77	         1188 	
       78	         1220 	
       79	         1123 	
       80	         1171 	
       81	         1213 	
       82	         1197 	
       83	         1232 	
       84	         1180 	
       85	         1233 	
       86	         1184 	
       87	         1122 	
       88	         1180 	
       89	         1194 	
       90	         1116 	
       91	         1160 	
       92	         1194 	
       93	         1252 	
       94	         1236 	
       95	         1179 	
       96	         1168 	
       97	         1151 	
       98	         1187 	
       99	         1207 	
      100	         1192 	
      101	         1173 	
      102	         1185 	
      103	         1194 	
      104	         1291 	
      105	         1251 	
      106	         1172 	
      107	         1144 	
      108	         1173 	
      109	         1158 	
      110	         1085 	
      111	         1151 	
      112	         1159 	
      113	         1093 	
      114	         1152 	
      115	         1169 	
