Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2018-08-02
Time (HH:MM:SS):	10:20:36
Device Name:	SPCM50A
Serial Number:	M00451789
GUI Revision:	1.0 Build 2
Driver Revision:	1.0.1
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	100
Time between Bins [ms]:	10
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	No
Array Measurement Continuously:	non-applicable
Bins per Array:	non-applicable
Active APD Gating:	No
Fan Off:	Yes

Bin Number 	Counts per Bin 	Remarks
        1	          476 	
        2	          483 	
        3	          515 	
        4	          462 	
        5	          444 	
        6	          452 	
        7	          454 	
        8	          459 	
        9	          455 	
       10	          456 	
       11	          471 	
       12	          461 	
       13	          421 	
       14	          461 	
       15	          439 	
       16	          471 	
       17	          430 	
       18	          457 	
       19	          443 	
       20	          445 	
       21	          438 	
       22	          447 	
       23	          437 	
       24	          453 	
       25	          428 	
       26	          418 	
       27	          426 	
       28	          488 	
       29	          466 	
       30	          449 	
       31	          424 	
       32	          443 	
       33	          467 	
       34	          475 	
       35	          465 	
       36	          479 	
       37	          457 	
       38	          461 	
       39	          439 	
       40	          475 	
       41	          421 	
       42	          452 	
       43	          491 	
       44	          451 	
       45	          475 	
       46	          466 	
       47	          452 	
       48	          469 	
       49	          439 	
       50	          431 	
       51	          479 	
       52	          463 	
       53	          479 	
       54	          471 	
       55	          457 	
       56	          472 	
       57	          437 	
       58	          455 	
       59	          475 	
       60	          478 	
       61	          468 	
       62	          416 	
       63	          480 	
       64	          447 	
       65	          452 	
       66	          462 	
       67	          476 	
       68	          448 	
       69	          437 	
       70	          480 	
       71	          441 	
       72	          432 	
       73	          503 	
       74	          473 	
       75	          476 	
       76	          469 	
       77	          458 	
       78	          440 	
       79	          454 	
       80	          431 	
       81	          458 	
       82	          423 	
       83	          417 	
       84	          452 	
       85	          446 	
       86	          439 	
       87	          475 	
       88	          440 	
       89	          429 	
       90	          442 	
       91	          444 	
       92	          456 	
       93	          464 	
       94	          461 	
       95	          446 	
       96	          445 	
       97	          468 	
       98	          414 	
       99	          418 	
      100	          479 	
      101	          427 	
      102	          494 	
      103	          463 	
      104	          458 	
      105	          474 	
      106	          442 	
      107	          430 	
      108	          463 	
      109	          470 	
      110	          450 	
      111	          438 	
      112	          442 	
      113	          529 	
      114	          432 	
      115	          470 	
      116	          409 	
      117	          446 	
      118	          449 	
      119	          431 	
      120	          442 	
      121	          435 	
      122	          437 	
      123	          451 	
      124	          443 	
      125	          453 	
      126	          491 	
      127	          458 	
      128	          458 	
      129	          452 	
      130	          468 	
      131	          459 	
      132	          478 	
      133	          447 	
      134	          469 	
      135	          441 	
      136	          440 	
      137	          441 	
      138	          436 	
      139	          473 	
      140	          454 	
      141	          478 	
      142	          442 	
      143	          466 	
      144	          448 	
      145	          475 	
      146	          474 	
      147	          451 	
      148	          488 	
      149	          466 	
      150	          432 	
      151	          473 	
      152	          421 	
      153	          451 	
      154	          483 	
      155	          448 	
      156	          455 	
      157	          396 	
      158	          488 	
      159	          471 	
      160	          425 	
      161	          464 	
      162	          465 	
      163	          475 	
      164	          478 	
      165	          482 	
      166	          471 	
      167	          493 	
      168	          475 	
      169	          448 	
      170	          495 	
      171	          492 	
      172	          461 	
      173	          456 	
      174	          490 	
      175	          454 	
      176	          474 	
      177	          409 	
      178	          487 	
      179	          433 	
      180	          484 	
      181	          473 	
      182	          453 	
      183	          448 	
      184	          472 	
      185	          475 	
      186	          450 	
      187	          449 	
      188	          478 	
      189	          451 	
      190	          466 	
      191	          452 	
      192	          465 	
      193	          441 	
      194	          448 	
      195	          502 	
      196	          438 	
      197	          504 	
      198	          439 	
      199	          490 	
      200	          495 	
      201	          453 	
      202	          455 	
      203	          422 	
      204	          508 	
      205	          439 	
      206	          474 	
