Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2018-08-02
Time (HH:MM:SS):	10:19:30
Device Name:	SPCM50A
Serial Number:	M00451789
GUI Revision:	1.0 Build 2
Driver Revision:	1.0.1
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	100
Time between Bins [ms]:	10
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	No
Array Measurement Continuously:	non-applicable
Bins per Array:	non-applicable
Active APD Gating:	No
Fan Off:	Yes

Bin Number 	Counts per Bin 	Remarks
        1	          603 	
        2	          626 	
        3	          640 	
        4	          631 	
        5	          598 	
        6	          650 	
        7	          654 	
        8	          606 	
        9	          613 	
       10	          652 	
       11	          633 	
       12	          585 	
       13	          630 	
       14	          623 	
       15	          603 	
       16	          630 	
       17	          611 	
       18	          604 	
       19	          585 	
       20	          585 	
       21	          658 	
       22	          663 	
       23	          652 	
       24	          624 	
       25	          625 	
       26	          673 	
       27	          635 	
       28	          627 	
       29	          627 	
       30	          620 	
       31	          615 	
       32	          616 	
       33	          639 	
       34	          585 	
       35	          610 	
       36	          565 	
       37	          596 	
       38	          593 	
       39	          632 	
       40	          621 	
       41	          611 	
       42	          654 	
       43	          580 	
       44	          598 	
       45	          638 	
       46	          622 	
       47	          617 	
       48	          610 	
       49	          644 	
       50	          600 	
       51	          599 	
       52	          622 	
       53	          625 	
       54	          617 	
       55	          611 	
       56	          593 	
       57	          622 	
       58	          579 	
       59	          603 	
       60	          638 	
       61	          609 	
       62	          558 	
       63	          638 	
       64	          563 	
       65	          575 	
       66	          638 	
       67	          586 	
       68	          601 	
       69	          665 	
       70	          598 	
       71	          639 	
       72	          624 	
       73	          608 	
       74	          619 	
       75	          630 	
       76	          600 	
       77	          618 	
       78	          635 	
       79	          664 	
       80	          651 	
       81	          609 	
       82	          609 	
       83	          618 	
       84	          631 	
       85	          632 	
       86	          566 	
       87	          645 	
       88	          618 	
       89	          623 	
       90	          634 	
       91	          650 	
       92	          641 	
       93	          659 	
       94	          678 	
       95	          653 	
       96	          639 	
       97	          628 	
       98	          630 	
       99	          682 	
      100	          643 	
      101	          591 	
      102	          634 	
      103	          600 	
      104	          611 	
      105	          565 	
      106	          633 	
      107	          635 	
      108	          624 	
      109	          612 	
      110	          612 	
      111	          668 	
      112	          622 	
      113	          652 	
      114	          652 	
      115	          595 	
      116	          625 	
      117	          614 	
      118	          642 	
      119	          632 	
      120	          585 	
      121	          623 	
      122	          624 	
      123	          646 	
      124	          691 	
      125	          587 	
      126	          621 	
      127	          556 	
      128	          615 	
      129	          674 	
      130	          583 	
      131	          631 	
      132	          665 	
      133	          603 	
      134	          593 	
      135	          676 	
      136	          627 	
      137	          657 	
      138	          672 	
      139	          652 	
      140	          592 	
      141	          575 	
      142	          607 	
      143	          609 	
      144	          581 	
      145	          641 	
      146	          619 	
      147	          638 	
      148	          608 	
      149	          643 	
      150	          647 	
      151	          597 	
      152	          641 	
      153	          602 	
      154	          602 	
      155	          666 	
      156	          607 	
      157	          621 	
      158	          623 	
      159	          604 	
      160	          604 	
      161	          639 	
      162	          674 	
      163	          624 	
      164	          619 	
      165	          589 	
      166	          654 	
      167	          635 	
      168	          638 	
      169	          623 	
      170	          599 	
      171	          612 	
      172	          604 	
      173	          622 	
      174	          636 	
      175	          628 	
      176	          589 	
      177	          613 	
      178	          643 	
      179	          602 	
      180	          647 	
      181	          623 	
      182	          644 	
      183	          613 	
      184	          625 	
      185	          632 	
      186	          615 	
      187	          588 	
      188	          577 	
      189	          580 	
      190	          641 	
      191	          613 	
      192	          627 	
      193	          616 	
      194	          629 	
      195	          569 	
      196	          624 	
      197	          642 	
      198	          613 	
      199	          624 	
      200	          613 	
      201	          617 	
      202	          599 	
      203	          643 	
      204	          572 	
      205	          623 	
      206	          637 	
      207	          619 	
      208	          624 	
      209	          608 	
      210	          639 	
      211	          636 	
      212	          568 	
      213	          608 	
      214	          626 	
      215	          614 	
      216	          574 	
      217	          624 	
      218	          667 	
      219	          595 	
      220	          646 	
      221	          597 	
      222	          649 	
      223	          614 	
      224	          600 	
      225	          614 	
      226	          602 	
      227	          621 	
      228	          628 	
      229	          604 	
      230	          621 	
      231	          624 	
      232	          602 	
      233	          579 	
      234	          635 	
      235	          627 	
      236	          658 	
      237	          599 	
      238	          616 	
      239	          635 	
      240	          603 	
      241	          599 	
      242	          597 	
      243	          569 	
      244	          588 	
      245	          588 	
      246	          684 	
      247	          636 	
      248	          670 	
      249	          617 	
      250	          632 	
      251	          574 	
      252	          614 	
      253	          620 	
      254	          633 	
      255	          626 	
      256	          644 	
      257	          590 	
      258	          649 	
      259	          609 	
      260	          594 	
      261	          633 	
      262	          579 	
      263	          607 	
      264	          587 	
      265	          639 	
      266	          599 	
      267	          612 	
      268	          558 	
      269	          593 	
      270	          609 	
      271	          637 	
      272	          617 	
      273	          636 	
      274	          589 	
      275	          604 	
      276	          614 	
      277	          631 	
      278	          612 	
      279	          603 	
      280	          626 	
      281	          592 	
      282	          589 	
      283	          593 	
      284	          643 	
      285	          633 	
      286	          590 	
      287	          631 	
      288	          635 	
      289	          605 	
      290	          614 	
      291	          616 	
      292	          614 	
      293	          605 	
      294	          622 	
      295	          621 	
      296	          589 	
      297	          558 	
      298	          649 	
      299	          618 	
