Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2018-08-02
Time (HH:MM:SS):	10:15:43
Device Name:	SPCM50A
Serial Number:	M00451789
GUI Revision:	1.0 Build 2
Driver Revision:	1.0.1
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	100
Time between Bins [ms]:	10
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	No
Array Measurement Continuously:	non-applicable
Bins per Array:	non-applicable
Active APD Gating:	No
Fan Off:	Yes

Bin Number 	Counts per Bin 	Remarks
        1	           29 	
        2	           25 	
        3	           28 	
        4	           20 	
        5	           26 	
        6	           15 	
        7	           25 	
        8	           18 	
        9	           18 	
       10	           23 	
       11	           15 	
       12	           16 	
       13	           23 	
       14	           16 	
       15	           19 	
       16	           25 	
       17	           23 	
       18	           19 	
       19	           23 	
       20	           22 	
       21	           22 	
       22	           17 	
       23	           35 	
       24	           15 	
       25	           18 	
       26	           22 	
       27	           21 	
       28	           15 	
       29	           21 	
       30	           16 	
       31	           25 	
       32	           18 	
       33	           15 	
       34	           19 	
       35	           12 	
       36	           16 	
       37	           18 	
       38	           12 	
       39	           15 	
       40	           21 	
       41	           10 	
       42	           23 	
       43	           26 	
       44	           20 	
       45	           17 	
       46	           14 	
       47	           16 	
       48	           21 	
       49	           33 	
       50	           26 	
       51	           20 	
       52	           12 	
       53	           14 	
       54	           24 	
       55	           20 	
       56	           21 	
       57	           24 	
       58	           35 	
       59	           23 	
       60	           22 	
       61	           16 	
       62	           24 	
       63	           28 	
       64	           13 	
       65	           17 	
       66	           14 	
       67	           19 	
       68	           24 	
       69	           21 	
       70	           27 	
       71	           14 	
       72	           23 	
       73	           24 	
       74	           14 	
       75	           20 	
       76	           14 	
       77	           20 	
       78	           15 	
       79	           15 	
       80	           23 	
       81	           20 	
       82	           17 	
       83	           24 	
       84	           28 	
       85	           17 	
       86	           16 	
       87	           21 	
       88	           20 	
       89	           19 	
       90	           15 	
       91	           14 	
       92	           28 	
       93	           23 	
       94	           16 	
       95	           20 	
       96	           23 	
       97	           17 	
       98	           11 	
       99	           26 	
      100	           13 	
      101	           20 	
      102	           26 	
      103	           27 	
      104	           20 	
      105	           21 	
      106	           23 	
      107	           15 	
      108	           25 	
      109	           28 	
      110	           22 	
      111	           29 	
      112	           18 	
      113	           22 	
      114	           28 	
      115	           17 	
      116	           22 	
      117	           27 	
      118	           18 	
      119	           11 	
      120	           23 	
      121	           23 	
      122	           17 	
      123	           19 	
      124	           26 	
      125	           12 	
      126	           28 	
      127	           17 	
      128	           18 	
      129	           27 	
      130	           24 	
      131	           17 	
      132	           20 	
      133	           25 	
      134	           28 	
      135	           26 	
      136	           29 	
      137	           21 	
      138	           23 	
      139	           17 	
      140	           24 	
      141	           23 	
      142	           24 	
      143	           14 	
      144	           25 	
      145	           16 	
      146	           17 	
      147	           28 	
      148	           15 	
      149	           21 	
      150	           33 	
      151	           22 	
      152	           20 	
      153	           23 	
      154	           21 	
      155	           20 	
      156	           13 	
      157	           22 	
      158	           30 	
      159	           20 	
      160	           18 	
      161	           21 	
      162	           18 	
      163	           13 	
      164	           33 	
      165	           19 	
      166	           15 	
      167	           19 	
      168	           17 	
      169	           27 	
      170	           20 	
      171	           21 	
      172	           23 	
      173	           18 	
      174	           19 	
      175	           26 	
      176	           18 	
      177	           17 	
      178	           25 	
      179	           18 	
      180	           24 	
      181	           19 	
      182	           19 	
      183	           21 	
      184	           19 	
      185	           29 	
      186	           19 	
      187	           22 	
      188	           13 	
      189	           13 	
      190	           28 	
      191	           16 	
      192	           23 	
      193	           12 	
      194	           25 	
      195	           22 	
      196	           22 	
      197	           22 	
      198	           19 	
      199	           25 	
      200	           28 	
      201	           20 	
      202	           18 	
      203	           28 	
