Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2018-08-02
Time (HH:MM:SS):	10:34:53
Device Name:	SPCM50A
Serial Number:	M00451789
GUI Revision:	1.0 Build 2
Driver Revision:	1.0.1
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	100
Time between Bins [ms]:	10
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	No
Array Measurement Continuously:	non-applicable
Bins per Array:	non-applicable
Active APD Gating:	No
Fan Off:	Yes

Bin Number 	Counts per Bin 	Remarks
        1	           13 	
        2	           16 	
        3	           31 	
        4	           19 	
        5	           24 	
        6	           20 	
        7	           21 	
        8	           15 	
        9	           15 	
       10	           18 	
       11	           18 	
       12	           16 	
       13	           23 	
       14	           20 	
       15	           17 	
       16	           13 	
       17	           16 	
       18	           18 	
       19	           17 	
       20	           20 	
       21	           17 	
       22	           22 	
       23	           15 	
       24	           26 	
       25	           17 	
       26	           20 	
       27	           14 	
       28	           23 	
       29	           16 	
       30	           16 	
       31	           22 	
       32	           12 	
       33	           19 	
       34	           13 	
       35	           18 	
       36	           13 	
       37	           14 	
       38	           23 	
       39	           16 	
       40	           17 	
       41	           20 	
       42	           28 	
       43	           20 	
       44	           19 	
       45	           26 	
       46	           19 	
       47	           20 	
       48	           19 	
       49	           18 	
       50	           16 	
       51	           19 	
       52	           18 	
       53	           22 	
       54	           23 	
       55	           18 	
       56	           20 	
       57	           27 	
       58	           19 	
       59	           11 	
       60	           18 	
       61	           28 	
       62	           31 	
       63	           18 	
       64	           25 	
       65	           22 	
       66	           15 	
       67	           23 	
       68	           24 	
       69	           17 	
       70	           12 	
       71	           16 	
       72	           16 	
       73	           13 	
       74	           23 	
       75	           18 	
       76	           24 	
       77	           27 	
       78	           17 	
       79	           24 	
       80	            9 	
       81	           27 	
       82	           20 	
       83	           22 	
       84	           14 	
       85	           18 	
       86	           14 	
       87	           19 	
       88	           14 	
       89	           26 	
       90	           14 	
       91	           17 	
       92	           19 	
       93	           19 	
       94	           23 	
       95	           18 	
       96	           17 	
       97	            9 	
       98	           19 	
       99	           24 	
      100	           25 	
      101	           18 	
      102	           18 	
      103	           16 	
      104	           20 	
      105	           25 	
      106	           16 	
      107	           24 	
      108	           24 	
      109	           18 	
      110	           20 	
      111	           19 	
      112	           17 	
      113	           17 	
      114	           20 	
      115	           18 	
      116	           23 	
      117	           18 	
      118	           22 	
      119	           29 	
      120	           23 	
      121	           13 	
      122	           23 	
      123	           19 	
      124	           16 	
      125	           19 	
      126	           19 	
      127	           23 	
      128	           11 	
      129	           22 	
      130	           24 	
      131	           20 	
      132	           21 	
      133	           14 	
      134	           20 	
      135	           21 	
      136	           24 	
      137	            9 	
      138	           20 	
      139	           13 	
      140	           20 	
      141	           12 	
      142	           22 	
      143	           23 	
      144	           18 	
      145	           19 	
      146	           26 	
      147	           25 	
      148	           26 	
      149	           15 	
      150	           23 	
      151	           13 	
      152	            9 	
      153	           17 	
      154	           18 	
      155	           16 	
      156	           28 	
      157	           18 	
      158	           16 	
      159	           21 	
      160	           20 	
      161	           22 	
      162	           21 	
      163	           24 	
      164	            6 	
      165	           23 	
      166	           16 	
      167	           23 	
      168	           14 	
      169	           15 	
      170	           20 	
      171	           20 	
      172	           14 	
      173	           28 	
      174	           20 	
      175	           17 	
      176	            8 	
      177	           19 	
      178	           19 	
      179	           11 	
      180	           14 	
      181	           20 	
      182	           14 	
      183	           16 	
      184	           18 	
      185	           22 	
      186	           15 	
      187	           17 	
      188	           16 	
      189	           17 	
      190	           25 	
      191	           22 	
      192	           19 	
      193	           23 	
      194	           20 	
      195	           27 	
      196	           19 	
      197	           16 	
      198	           22 	
      199	           23 	
      200	           25 	
      201	           19 	
      202	           16 	
      203	           21 	
      204	           21 	
