Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2018-08-02
Time (HH:MM:SS):	10:33:09
Device Name:	SPCM50A
Serial Number:	M00451789
GUI Revision:	1.0 Build 2
Driver Revision:	1.0.1
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	100
Time between Bins [ms]:	10
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	No
Array Measurement Continuously:	non-applicable
Bins per Array:	non-applicable
Active APD Gating:	No
Fan Off:	Yes

Bin Number 	Counts per Bin 	Remarks
        1	         1838 	
        2	         1745 	
        3	         1711 	
        4	         1766 	
        5	         1754 	
        6	         1721 	
        7	         1761 	
        8	         1734 	
        9	         1802 	
       10	         1872 	
       11	         1787 	
       12	         1763 	
       13	         1751 	
       14	         1861 	
       15	         1713 	
       16	         1834 	
       17	         1774 	
       18	         1857 	
       19	         1776 	
       20	         1762 	
       21	         1815 	
       22	         1834 	
       23	         1841 	
       24	         1795 	
       25	         1802 	
       26	         1766 	
       27	         1824 	
       28	         1844 	
       29	         1822 	
       30	         1753 	
       31	         1772 	
       32	         1803 	
       33	         1780 	
       34	         1827 	
       35	         1762 	
       36	         1814 	
       37	         1771 	
       38	         1739 	
       39	         1763 	
       40	         1815 	
       41	         1747 	
       42	         1776 	
       43	         1790 	
       44	         1811 	
       45	         1794 	
       46	         1837 	
       47	         1873 	
       48	         1774 	
       49	         1853 	
       50	         1809 	
       51	         1780 	
       52	         1814 	
       53	         1745 	
       54	         1821 	
       55	         1779 	
       56	         1800 	
       57	         1857 	
       58	         1781 	
       59	         1783 	
       60	         1781 	
       61	         1835 	
       62	         1725 	
       63	         1836 	
       64	         1812 	
       65	         1823 	
       66	         1874 	
       67	         1743 	
       68	         1821 	
       69	         1715 	
       70	         1796 	
       71	         1742 	
       72	         1796 	
       73	         1793 	
       74	         1720 	
       75	         1809 	
       76	         1766 	
       77	         1781 	
       78	         1706 	
       79	         1803 	
       80	         1739 	
       81	         1803 	
       82	         1799 	
       83	         1848 	
       84	         1844 	
       85	         1875 	
       86	         1881 	
       87	         1762 	
       88	         1792 	
       89	         1775 	
       90	         1858 	
       91	         1755 	
       92	         1814 	
       93	         1776 	
       94	         1767 	
       95	         1861 	
       96	         1772 	
       97	         1776 	
       98	         1779 	
       99	         1739 	
      100	         1760 	
      101	         1781 	
      102	         1807 	
      103	         1733 	
      104	         1827 	
      105	         1875 	
      106	         1819 	
      107	         1756 	
      108	         1763 	
      109	         1854 	
      110	         1784 	
      111	         1807 	
      112	         1803 	
      113	         1789 	
      114	         1732 	
      115	         1794 	
      116	         1820 	
      117	         1851 	
      118	         1797 	
      119	         1810 	
      120	         1866 	
      121	         1802 	
      122	         1776 	
      123	         1741 	
      124	         1759 	
      125	         1759 	
      126	         1813 	
      127	         1737 	
      128	         1755 	
      129	         1760 	
      130	         1852 	
      131	         1849 	
      132	         1854 	
      133	         1742 	
      134	         1745 	
      135	         1856 	
      136	         1769 	
      137	         1851 	
      138	         1807 	
      139	         1771 	
      140	         1818 	
      141	         1841 	
      142	         1844 	
      143	         1817 	
      144	         1858 	
      145	         1771 	
      146	         1787 	
      147	         1829 	
      148	         1824 	
      149	         1825 	
      150	         1750 	
      151	         1783 	
      152	         1743 	
      153	         1748 	
      154	         1780 	
      155	         1848 	
      156	         1791 	
      157	         1819 	
      158	         1755 	
      159	         1847 	
      160	         1770 	
      161	         1721 	
      162	         1722 	
      163	         1788 	
      164	         1756 	
      165	         1768 	
      166	         1812 	
      167	         1777 	
      168	         1841 	
      169	         1801 	
      170	         1798 	
      171	         1686 	
      172	         1811 	
      173	         1744 	
      174	         1753 	
      175	         1817 	
      176	         1767 	
      177	         1801 	
      178	         1799 	
      179	         1824 	
      180	         1731 	
      181	         1888 	
      182	         1843 	
      183	         1934 	
      184	         1766 	
      185	         1886 	
      186	         1828 	
      187	         1849 	
      188	         1759 	
      189	         1845 	
      190	         1749 	
      191	         1893 	
      192	         1818 	
      193	         1799 	
      194	         1826 	
      195	         1794 	
      196	         1753 	
      197	         1705 	
      198	         1720 	
      199	         1824 	
      200	         1780 	
      201	         1817 	
      202	         1803 	
      203	         1844 	
      204	         1787 	
      205	         1803 	
      206	         1781 	
      207	         1797 	
      208	         1797 	
      209	         1791 	
      210	         1803 	
      211	         1756 	
      212	         1744 	
      213	         1822 	
      214	         1752 	
      215	         1751 	
      216	         1847 	
      217	         1798 	
