Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2018-08-02
Time (HH:MM:SS):	10:30:15
Device Name:	SPCM50A
Serial Number:	M00451789
GUI Revision:	1.0 Build 2
Driver Revision:	1.0.1
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	100
Time between Bins [ms]:	10
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	No
Array Measurement Continuously:	non-applicable
Bins per Array:	non-applicable
Active APD Gating:	No
Fan Off:	Yes

Bin Number 	Counts per Bin 	Remarks
        1	          668 	
        2	          652 	
        3	          669 	
        4	          653 	
        5	          711 	
        6	          697 	
        7	          689 	
        8	          683 	
        9	          663 	
       10	          640 	
       11	          635 	
       12	          649 	
       13	          622 	
       14	          711 	
       15	          624 	
       16	          671 	
       17	          714 	
       18	          695 	
       19	          682 	
       20	          660 	
       21	          690 	
       22	          724 	
       23	          651 	
       24	          671 	
       25	          653 	
       26	          678 	
       27	          670 	
       28	          669 	
       29	          632 	
       30	          621 	
       31	          629 	
       32	          641 	
       33	          642 	
       34	          714 	
       35	          650 	
       36	          662 	
       37	          673 	
       38	          643 	
       39	          622 	
       40	          690 	
       41	          676 	
       42	          634 	
       43	          690 	
       44	          700 	
       45	          689 	
       46	          683 	
       47	          683 	
       48	          654 	
       49	          680 	
       50	          648 	
       51	          657 	
       52	          569 	
       53	          632 	
       54	          692 	
       55	          712 	
       56	          600 	
       57	          593 	
       58	          669 	
       59	          697 	
       60	          719 	
       61	          644 	
       62	          695 	
       63	          671 	
       64	          641 	
       65	          660 	
       66	          688 	
       67	          697 	
       68	          641 	
       69	          702 	
       70	          669 	
       71	          660 	
       72	          666 	
       73	          665 	
       74	          710 	
       75	          608 	
       76	          674 	
       77	          676 	
       78	          703 	
       79	          654 	
       80	          667 	
       81	          639 	
       82	          648 	
       83	          693 	
       84	          679 	
       85	          672 	
       86	          699 	
       87	          651 	
       88	          666 	
       89	          623 	
       90	          696 	
       91	          642 	
       92	          658 	
       93	          664 	
       94	          661 	
       95	          668 	
       96	          688 	
       97	          668 	
       98	          711 	
       99	          687 	
      100	          658 	
      101	          653 	
      102	          671 	
      103	          712 	
      104	          662 	
      105	          663 	
      106	          639 	
      107	          657 	
      108	          662 	
      109	          691 	
      110	          632 	
      111	          703 	
      112	          642 	
      113	          682 	
      114	          673 	
      115	          697 	
      116	          696 	
      117	          707 	
      118	          692 	
      119	          650 	
      120	          696 	
      121	          666 	
      122	          684 	
      123	          703 	
      124	          661 	
      125	          644 	
      126	          700 	
      127	          686 	
      128	          716 	
      129	          668 	
      130	          717 	
      131	          621 	
      132	          643 	
      133	          665 	
      134	          691 	
      135	          718 	
      136	          687 	
      137	          659 	
      138	          635 	
      139	          665 	
      140	          690 	
      141	          663 	
      142	          637 	
      143	          728 	
      144	          669 	
      145	          715 	
      146	          696 	
      147	          645 	
      148	          704 	
      149	          653 	
      150	          666 	
      151	          709 	
      152	          727 	
      153	          634 	
      154	          692 	
      155	          697 	
      156	          662 	
      157	          650 	
      158	          630 	
      159	          653 	
      160	          656 	
      161	          647 	
      162	          662 	
      163	          688 	
      164	          664 	
      165	          687 	
      166	          689 	
      167	          650 	
      168	          662 	
      169	          654 	
      170	          678 	
      171	          668 	
      172	          657 	
      173	          672 	
      174	          713 	
      175	          698 	
      176	          680 	
      177	          675 	
      178	          694 	
      179	          673 	
      180	          643 	
      181	          651 	
      182	          713 	
      183	          660 	
      184	          684 	
      185	          705 	
      186	          651 	
      187	          644 	
      188	          670 	
      189	          640 	
      190	          627 	
      191	          675 	
      192	          679 	
      193	          682 	
      194	          685 	
      195	          684 	
      196	          687 	
      197	          702 	
      198	          699 	
      199	          618 	
      200	          705 	
      201	          672 	
      202	          670 	
