Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2018-08-02
Time (HH:MM:SS):	10:36:34
Device Name:	SPCM50A
Serial Number:	M00451789
GUI Revision:	1.0 Build 2
Driver Revision:	1.0.1
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	100
Time between Bins [ms]:	10
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	No
Array Measurement Continuously:	non-applicable
Bins per Array:	non-applicable
Active APD Gating:	No
Fan Off:	Yes

Bin Number 	Counts per Bin 	Remarks
        1	          887 	
        2	          929 	
        3	          881 	
        4	          932 	
        5	          948 	
        6	          897 	
        7	          888 	
        8	          857 	
        9	          902 	
       10	          957 	
       11	          919 	
       12	          849 	
       13	          922 	
       14	          932 	
       15	          927 	
       16	          941 	
       17	          903 	
       18	          926 	
       19	          912 	
       20	          888 	
       21	          928 	
       22	          933 	
       23	          898 	
       24	          931 	
       25	          896 	
       26	          947 	
       27	          889 	
       28	          954 	
       29	          884 	
       30	          919 	
       31	          953 	
       32	          904 	
       33	          893 	
       34	          958 	
       35	          931 	
       36	          950 	
       37	          891 	
       38	          954 	
       39	          879 	
       40	          925 	
       41	          889 	
       42	          926 	
       43	          912 	
       44	          935 	
       45	          987 	
       46	          917 	
       47	          929 	
       48	          915 	
       49	          911 	
       50	         1010 	
       51	          905 	
       52	          925 	
       53	          940 	
       54	          896 	
       55	          939 	
       56	          953 	
       57	          982 	
       58	          954 	
       59	          945 	
       60	          892 	
       61	          916 	
       62	          941 	
       63	          939 	
       64	          909 	
       65	          969 	
       66	          950 	
       67	          818 	
       68	          932 	
       69	          923 	
       70	          976 	
       71	          916 	
       72	          904 	
       73	          948 	
       74	          933 	
       75	          936 	
       76	          979 	
       77	          945 	
       78	          935 	
       79	          916 	
       80	          961 	
       81	          977 	
       82	          961 	
       83	          944 	
       84	          914 	
       85	          977 	
       86	          912 	
       87	          922 	
       88	          940 	
       89	          928 	
       90	          930 	
       91	          962 	
       92	          988 	
       93	          927 	
       94	          927 	
       95	          922 	
       96	          897 	
       97	          861 	
       98	          964 	
       99	          930 	
      100	          930 	
      101	          942 	
      102	          935 	
      103	          945 	
      104	          936 	
      105	          857 	
      106	          914 	
      107	          946 	
      108	          907 	
      109	         1007 	
      110	          965 	
      111	          960 	
      112	          937 	
      113	          914 	
      114	          929 	
      115	          938 	
      116	          966 	
      117	          970 	
      118	          934 	
      119	          913 	
      120	          962 	
      121	          916 	
      122	          928 	
      123	          923 	
      124	          931 	
      125	          945 	
      126	          932 	
      127	          912 	
      128	         1021 	
      129	          893 	
      130	          940 	
      131	          911 	
      132	          843 	
      133	          898 	
      134	          951 	
      135	         1020 	
      136	          875 	
      137	          946 	
      138	          893 	
      139	          901 	
      140	          947 	
      141	          973 	
      142	          949 	
      143	          953 	
      144	          915 	
      145	          939 	
      146	          913 	
      147	          894 	
      148	          892 	
      149	          903 	
      150	          946 	
      151	          975 	
      152	          879 	
      153	          892 	
      154	          951 	
      155	          932 	
      156	          967 	
      157	          930 	
      158	          931 	
      159	          966 	
      160	          923 	
      161	          910 	
      162	          930 	
      163	          978 	
      164	          912 	
      165	          937 	
      166	          938 	
      167	          913 	
      168	          920 	
      169	          960 	
      170	          902 	
      171	          894 	
      172	          873 	
      173	          907 	
      174	          887 	
      175	          940 	
      176	          920 	
      177	          942 	
      178	          931 	
      179	          931 	
      180	          920 	
      181	          918 	
      182	          923 	
      183	          942 	
      184	          891 	
      185	          902 	
      186	          878 	
      187	          903 	
      188	          969 	
      189	          911 	
      190	          949 	
      191	          931 	
      192	          949 	
      193	          812 	
      194	          953 	
      195	          965 	
      196	          956 	
      197	          923 	
      198	          922 	
      199	          938 	
      200	          883 	
      201	          964 	
      202	          880 	
      203	          941 	
      204	          917 	
