Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2018-08-02
Time (HH:MM:SS):	10:35:43
Device Name:	SPCM50A
Serial Number:	M00451789
GUI Revision:	1.0 Build 2
Driver Revision:	1.0.1
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	100
Time between Bins [ms]:	10
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	No
Array Measurement Continuously:	non-applicable
Bins per Array:	non-applicable
Active APD Gating:	No
Fan Off:	Yes

Bin Number 	Counts per Bin 	Remarks
        1	          450 	
        2	          453 	
        3	          462 	
        4	          455 	
        5	          426 	
        6	          431 	
        7	          425 	
        8	          435 	
        9	          425 	
       10	          459 	
       11	          417 	
       12	          456 	
       13	          426 	
       14	          437 	
       15	          458 	
       16	          423 	
       17	          451 	
       18	          402 	
       19	          426 	
       20	          442 	
       21	          424 	
       22	          462 	
       23	          443 	
       24	          451 	
       25	          405 	
       26	          443 	
       27	          451 	
       28	          449 	
       29	          459 	
       30	          397 	
       31	          399 	
       32	          454 	
       33	          411 	
       34	          428 	
       35	          476 	
       36	          458 	
       37	          441 	
       38	          446 	
       39	          433 	
       40	          458 	
       41	          420 	
       42	          438 	
       43	          451 	
       44	          425 	
       45	          432 	
       46	          401 	
       47	          409 	
       48	          386 	
       49	          408 	
       50	          433 	
       51	          446 	
       52	          435 	
       53	          420 	
       54	          423 	
       55	          444 	
       56	          453 	
       57	          451 	
       58	          447 	
       59	          453 	
       60	          442 	
       61	          446 	
       62	          453 	
       63	          447 	
       64	          449 	
       65	          463 	
       66	          432 	
       67	          417 	
       68	          454 	
       69	          393 	
       70	          454 	
       71	          486 	
       72	          425 	
       73	          435 	
       74	          417 	
       75	          435 	
       76	          415 	
       77	          453 	
       78	          424 	
       79	          430 	
       80	          428 	
       81	          462 	
       82	          417 	
       83	          443 	
       84	          428 	
       85	          459 	
       86	          423 	
       87	          447 	
       88	          462 	
       89	          429 	
       90	          436 	
       91	          492 	
       92	          465 	
       93	          405 	
       94	          424 	
       95	          419 	
       96	          422 	
       97	          416 	
       98	          457 	
       99	          470 	
      100	          405 	
      101	          447 	
      102	          419 	
      103	          446 	
      104	          465 	
      105	          428 	
      106	          469 	
      107	          472 	
      108	          466 	
      109	          491 	
      110	          475 	
      111	          440 	
      112	          422 	
      113	          451 	
      114	          431 	
      115	          434 	
      116	          443 	
      117	          428 	
      118	          453 	
      119	          461 	
      120	          423 	
      121	          443 	
      122	          478 	
      123	          460 	
      124	          432 	
      125	          443 	
      126	          467 	
      127	          445 	
      128	          454 	
      129	          424 	
      130	          398 	
      131	          405 	
      132	          453 	
      133	          436 	
      134	          416 	
      135	          412 	
      136	          484 	
      137	          442 	
      138	          446 	
      139	          403 	
      140	          412 	
      141	          386 	
      142	          386 	
      143	          410 	
      144	          443 	
      145	          411 	
      146	          424 	
      147	          469 	
      148	          472 	
      149	          450 	
      150	          475 	
      151	          441 	
      152	          440 	
      153	          438 	
      154	          417 	
      155	          428 	
      156	          475 	
      157	          419 	
      158	          416 	
      159	          425 	
      160	          435 	
      161	          471 	
      162	          432 	
      163	          436 	
      164	          392 	
      165	          428 	
      166	          474 	
      167	          423 	
      168	          421 	
      169	          449 	
      170	          443 	
      171	          453 	
      172	          458 	
      173	          411 	
      174	          418 	
      175	          420 	
      176	          446 	
      177	          432 	
      178	          491 	
      179	          416 	
      180	          457 	
      181	          431 	
      182	          440 	
      183	          416 	
      184	          422 	
      185	          414 	
      186	          403 	
      187	          465 	
      188	          435 	
      189	          420 	
      190	          458 	
      191	          399 	
      192	          427 	
      193	          411 	
      194	          424 	
      195	          429 	
      196	          459 	
      197	          439 	
      198	          446 	
      199	          453 	
      200	          434 	
      201	          441 	
      202	          412 	
      203	          451 	
