Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2018-08-02
Time (HH:MM:SS):	10:34:00
Device Name:	SPCM50A
Serial Number:	M00451789
GUI Revision:	1.0 Build 2
Driver Revision:	1.0.1
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	100
Time between Bins [ms]:	10
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	No
Array Measurement Continuously:	non-applicable
Bins per Array:	non-applicable
Active APD Gating:	No
Fan Off:	Yes

Bin Number 	Counts per Bin 	Remarks
        1	          973 	
        2	          954 	
        3	          985 	
        4	         1048 	
        5	         1003 	
        6	          961 	
        7	          971 	
        8	         1023 	
        9	          956 	
       10	         1040 	
       11	         1041 	
       12	          994 	
       13	         1010 	
       14	         1011 	
       15	         1048 	
       16	         1019 	
       17	         1002 	
       18	         1033 	
       19	         1055 	
       20	         1049 	
       21	          967 	
       22	         1014 	
       23	         1010 	
       24	         1034 	
       25	         1057 	
       26	         1002 	
       27	          981 	
       28	         1000 	
       29	          986 	
       30	          930 	
       31	         1046 	
       32	          976 	
       33	         1046 	
       34	          997 	
       35	          992 	
       36	         1024 	
       37	          960 	
       38	         1029 	
       39	         1050 	
       40	         1031 	
       41	         1070 	
       42	         1012 	
       43	         1017 	
       44	         1032 	
       45	          949 	
       46	         1007 	
       47	          994 	
       48	          995 	
       49	         1028 	
       50	         1006 	
       51	         1030 	
       52	          986 	
       53	         1048 	
       54	         1012 	
       55	         1015 	
       56	          968 	
       57	         1004 	
       58	          999 	
       59	         1020 	
       60	         1012 	
       61	         1019 	
       62	          997 	
       63	         1023 	
       64	         1007 	
       65	         1032 	
       66	         1053 	
       67	         1019 	
       68	          976 	
       69	         1017 	
       70	         1006 	
       71	         1053 	
       72	         1050 	
       73	         1019 	
       74	          989 	
       75	         1027 	
       76	          918 	
       77	          998 	
       78	          981 	
       79	         1029 	
       80	         1022 	
       81	          978 	
       82	          982 	
       83	         1024 	
       84	          986 	
       85	         1036 	
       86	         1059 	
       87	          990 	
       88	         1008 	
       89	          964 	
       90	         1022 	
       91	          975 	
       92	         1059 	
       93	         1064 	
       94	         1023 	
       95	          997 	
       96	         1030 	
       97	         1026 	
       98	          967 	
       99	          984 	
      100	          996 	
      101	         1015 	
      102	         1008 	
      103	         1052 	
      104	          972 	
      105	         1011 	
      106	          986 	
      107	         1006 	
      108	         1015 	
      109	          980 	
      110	          998 	
      111	         1012 	
      112	         1027 	
      113	         1052 	
      114	         1034 	
      115	          990 	
      116	         1019 	
      117	          999 	
      118	          968 	
      119	          995 	
      120	         1048 	
      121	          983 	
      122	         1032 	
      123	         1003 	
      124	          978 	
      125	          985 	
      126	          928 	
      127	         1006 	
      128	          967 	
      129	          993 	
      130	          981 	
      131	         1054 	
      132	         1026 	
      133	          995 	
      134	         1000 	
      135	         1018 	
      136	         1020 	
      137	         1003 	
      138	         1037 	
      139	         1022 	
      140	         1005 	
      141	          997 	
      142	         1055 	
      143	         1032 	
      144	         1038 	
      145	         1021 	
      146	         1033 	
      147	         1010 	
      148	         1006 	
      149	         1009 	
      150	          993 	
      151	         1020 	
      152	         1027 	
      153	          974 	
      154	         1005 	
      155	          965 	
      156	         1064 	
      157	          992 	
      158	         1076 	
      159	          965 	
      160	         1030 	
      161	          964 	
      162	         1102 	
      163	         1017 	
      164	         1006 	
      165	          988 	
      166	         1055 	
      167	         1074 	
      168	         1030 	
      169	          992 	
      170	         1006 	
      171	          996 	
      172	          990 	
      173	         1046 	
      174	          983 	
      175	          998 	
      176	         1027 	
      177	         1010 	
      178	         1049 	
      179	         1005 	
      180	          971 	
      181	          980 	
      182	          946 	
      183	         1026 	
      184	         1002 	
      185	          959 	
      186	          991 	
      187	         1035 	
      188	          999 	
      189	          972 	
      190	         1024 	
      191	         1042 	
      192	          965 	
      193	         1001 	
      194	          979 	
      195	         1007 	
      196	          979 	
      197	         1017 	
      198	          974 	
      199	          982 	
      200	         1006 	
      201	          948 	
