Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2018-08-01
Time (HH:MM:SS):	17:29:41
Device Name:	SPCM50A
Serial Number:	M00451789
GUI Revision:	1.0 Build 2
Driver Revision:	1.0.1
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	100
Time between Bins [ms]:	10
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	No
Array Measurement Continuously:	non-applicable
Bins per Array:	non-applicable
Active APD Gating:	No
Fan Off:	Yes

Bin Number 	Counts per Bin 	Remarks
        1	           48 	
        2	           47 	
        3	           38 	
        4	           45 	
        5	           43 	
        6	           50 	
        7	           39 	
        8	           43 	
        9	           42 	
       10	           42 	
       11	           39 	
       12	           44 	
       13	           47 	
       14	           36 	
       15	           48 	
       16	           40 	
       17	           30 	
       18	           31 	
       19	           50 	
       20	           46 	
       21	           42 	
       22	           45 	
       23	           50 	
       24	           41 	
       25	           46 	
       26	           38 	
       27	           40 	
       28	           35 	
       29	           44 	
       30	           39 	
       31	           42 	
       32	           51 	
       33	           50 	
       34	           45 	
       35	           47 	
       36	           34 	
       37	           55 	
       38	           37 	
       39	           44 	
       40	           49 	
       41	           52 	
       42	           41 	
       43	           47 	
       44	           44 	
       45	           35 	
       46	           35 	
       47	           54 	
       48	           42 	
       49	           40 	
       50	           51 	
       51	           42 	
       52	           34 	
       53	           44 	
       54	           39 	
       55	           37 	
       56	           53 	
       57	           53 	
       58	           51 	
       59	           50 	
       60	           49 	
       61	           48 	
       62	           43 	
       63	           37 	
       64	           36 	
       65	           43 	
       66	           56 	
       67	           39 	
       68	           58 	
       69	           52 	
       70	           44 	
       71	           51 	
       72	           41 	
       73	           41 	
       74	           37 	
       75	           42 	
       76	           48 	
       77	           52 	
       78	           53 	
       79	           46 	
       80	           40 	
       81	           39 	
       82	           49 	
       83	           53 	
       84	           36 	
       85	           51 	
       86	           47 	
       87	           48 	
       88	           36 	
       89	           35 	
       90	           56 	
       91	           48 	
