Thorlabs Single Photon Counter Data Export

Date (YYYY-MM-DD):	2018-08-01
Time (HH:MM:SS):	17:26:49
Device Name:	SPCM50A
Serial Number:	M00451789
GUI Revision:	1.0 Build 2
Driver Revision:	1.0.1
Firmware Revision:	1.0.0

Application settings:
Operating Mode:	Free Running Timed Counter
Bin Length [ms]:	100
Time between Bins [ms]:	10
Pulse Blind Time [ns]:	0
Trigger Edge:	non-applicable
Array Measurement:	No
Array Measurement Continuously:	non-applicable
Bins per Array:	non-applicable
Active APD Gating:	No
Fan Off:	Yes

Bin Number 	Counts per Bin 	Remarks
        1	           22 	
        2	           14 	
        3	            8 	
        4	           13 	
        5	           17 	
        6	           11 	
        7	           23 	
        8	           17 	
        9	           12 	
       10	           15 	
       11	           10 	
       12	           17 	
       13	           23 	
       14	           13 	
       15	           13 	
       16	           16 	
       17	           12 	
       18	           15 	
       19	            9 	
       20	           12 	
       21	           22 	
       22	           19 	
       23	           15 	
       24	           16 	
       25	           17 	
       26	           18 	
       27	           17 	
       28	           16 	
       29	           17 	
       30	           13 	
       31	           15 	
       32	           21 	
       33	           16 	
       34	           18 	
       35	           14 	
       36	           10 	
       37	           15 	
       38	           16 	
       39	           10 	
       40	           15 	
       41	           24 	
       42	           16 	
       43	           12 	
       44	           16 	
       45	           13 	
       46	           16 	
       47	           16 	
       48	           16 	
       49	           23 	
       50	           18 	
       51	            8 	
       52	           17 	
       53	            8 	
       54	           23 	
       55	           14 	
       56	           14 	
       57	            8 	
       58	           14 	
       59	           13 	
       60	           12 	
       61	           17 	
       62	           19 	
       63	           19 	
       64	           16 	
       65	            7 	
       66	           12 	
       67	            7 	
       68	           14 	
       69	           15 	
       70	           26 	
       71	           10 	
       72	           11 	
       73	           25 	
       74	           21 	
       75	            7 	
       76	           21 	
       77	           10 	
       78	           12 	
       79	           15 	
       80	           13 	
       81	           14 	
       82	           23 	
       83	           10 	
       84	           15 	
       85	           10 	
       86	           17 	
       87	           15 	
       88	           16 	
       89	           22 	
       90	           21 	
